dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
fomc,gpt54,llm_only,,0.10124,0.0,-0.10124,0.0,300,prevalence
fomc,gpt54,expert_only,20.0,0.235473,0.013583,0.009703,0.013583,300,prevalence
fomc,gpt54,expert_only,26.0,0.18864,0.010891,0.001965,0.010891,300,prevalence
fomc,gpt54,expert_only,33.0,0.180569,0.010415,0.007903,0.010415,300,prevalence
fomc,gpt54,expert_only,43.0,0.146709,0.008463,-0.00613,0.008463,300,prevalence
fomc,gpt54,expert_only,56.0,0.137336,0.007923,0.005558,0.007923,300,prevalence
fomc,gpt54,expert_only,72.0,0.112035,0.006459,-0.005995,0.006459,300,prevalence
fomc,gpt54,expert_only,93.0,0.105017,0.006057,-0.004595,0.006057,300,prevalence
fomc,gpt54,expert_only,120.0,0.090529,0.005225,-0.002485,0.005225,300,prevalence
fomc,gpt54,expert_only,155.0,0.074409,0.004291,-0.003753,0.004291,300,prevalence
fomc,gpt54,expert_only,200.0,0.065687,0.003765,0.007952,0.003765,300,prevalence
fomc,gpt54,dsl,20.0,0.233469,0.013468,0.009672,0.013468,300,prevalence
fomc,gpt54,dsl,26.0,0.174925,0.010099,0.001288,0.010099,300,prevalence
fomc,gpt54,dsl,33.0,0.147904,0.008514,0.011418,0.008514,300,prevalence
fomc,gpt54,dsl,43.0,0.113816,0.006568,-0.003498,0.006568,300,prevalence
fomc,gpt54,dsl,56.0,0.104937,0.006058,-0.000475,0.006058,300,prevalence
fomc,gpt54,dsl,72.0,0.088503,0.005109,-0.001933,0.005109,300,prevalence
fomc,gpt54,dsl,93.0,0.07827,0.004509,-0.005264,0.004509,300,prevalence
fomc,gpt54,dsl,120.0,0.066555,0.003839,0.002978,0.003839,300,prevalence
fomc,gpt54,dsl,155.0,0.055581,0.003206,-0.002411,0.003206,300,prevalence
fomc,gpt54,dsl,200.0,0.052153,0.003005,0.003321,0.003005,300,prevalence
fomc,gpt54,ppi,20.0,0.178328,0.010292,-0.005043,0.010292,300,prevalence
fomc,gpt54,ppi,26.0,0.147859,0.008533,-0.004113,0.008533,300,prevalence
fomc,gpt54,ppi,33.0,0.14557,0.008397,0.006047,0.008397,300,prevalence
fomc,gpt54,ppi,43.0,0.112331,0.006468,-0.008348,0.006468,300,prevalence
fomc,gpt54,ppi,56.0,0.103576,0.005978,-0.002284,0.005978,300,prevalence
fomc,gpt54,ppi,72.0,0.088098,0.005081,-0.003914,0.005081,300,prevalence
fomc,gpt54,ppi,93.0,0.078358,0.004507,-0.006839,0.004507,300,prevalence
fomc,gpt54,ppi,120.0,0.066662,0.003847,0.001939,0.003847,300,prevalence
fomc,gpt54,ppi,155.0,0.055811,0.003216,-0.003562,0.003216,300,prevalence
fomc,gpt54,ppi,200.0,0.051971,0.002996,0.002856,0.002996,300,prevalence
fomc,gpt54,ppipp,20.0,0.188507,0.010881,0.003901,0.010881,300,prevalence
fomc,gpt54,ppipp,26.0,0.156399,0.00903,0.000516,0.00903,300,prevalence
fomc,gpt54,ppipp,33.0,0.152176,0.008773,0.008329,0.008773,300,prevalence
fomc,gpt54,ppipp,43.0,0.119255,0.006877,-0.005974,0.006877,300,prevalence
fomc,gpt54,ppipp,56.0,0.11126,0.006422,0.002538,0.006422,300,prevalence
fomc,gpt54,ppipp,72.0,0.092556,0.005338,-0.004248,0.005338,300,prevalence
fomc,gpt54,ppipp,93.0,0.085559,0.004931,-0.004969,0.004931,300,prevalence
fomc,gpt54,ppipp,120.0,0.07368,0.004254,0.000195,0.004254,300,prevalence
fomc,gpt54,ppipp,155.0,0.060346,0.003479,-0.003272,0.003479,300,prevalence
fomc,gpt54,ppipp,200.0,0.054996,0.003159,0.005617,0.003159,300,prevalence
