dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
fomc,llama,llm_only,,0.17562,0.0,0.17562,0.0,300,prevalence
fomc,llama,expert_only,20.0,0.235473,0.013583,0.009703,0.013583,300,prevalence
fomc,llama,expert_only,26.0,0.18864,0.010891,0.001965,0.010891,300,prevalence
fomc,llama,expert_only,33.0,0.180569,0.010415,0.007903,0.010415,300,prevalence
fomc,llama,expert_only,43.0,0.146709,0.008463,-0.00613,0.008463,300,prevalence
fomc,llama,expert_only,56.0,0.137336,0.007923,0.005558,0.007923,300,prevalence
fomc,llama,expert_only,72.0,0.112035,0.006459,-0.005995,0.006459,300,prevalence
fomc,llama,expert_only,93.0,0.105017,0.006057,-0.004595,0.006057,300,prevalence
fomc,llama,expert_only,120.0,0.090529,0.005225,-0.002485,0.005225,300,prevalence
fomc,llama,expert_only,155.0,0.074409,0.004291,-0.003753,0.004291,300,prevalence
fomc,llama,expert_only,200.0,0.065687,0.003765,0.007952,0.003765,300,prevalence
fomc,llama,dsl,20.0,0.236974,0.013673,0.008339,0.013673,300,prevalence
fomc,llama,dsl,26.0,0.18023,0.010403,0.003883,0.010403,300,prevalence
fomc,llama,dsl,33.0,0.165216,0.00953,0.006881,0.00953,300,prevalence
fomc,llama,dsl,43.0,0.130761,0.007528,-0.009818,0.007528,300,prevalence
fomc,llama,dsl,56.0,0.121871,0.007016,0.009284,0.007016,300,prevalence
fomc,llama,dsl,72.0,0.102818,0.005936,-0.000489,0.005936,300,prevalence
fomc,llama,dsl,93.0,0.096152,0.005542,-0.005492,0.005542,300,prevalence
fomc,llama,dsl,120.0,0.079823,0.004607,-0.002086,0.004607,300,prevalence
fomc,llama,dsl,155.0,0.06892,0.003975,-0.003051,0.003975,300,prevalence
fomc,llama,dsl,200.0,0.058655,0.003369,0.00589,0.003369,300,prevalence
fomc,llama,ppi,20.0,0.211074,0.012133,0.019702,0.012133,300,prevalence
fomc,llama,ppi,26.0,0.170375,0.009818,0.010452,0.009818,300,prevalence
fomc,llama,ppi,33.0,0.164093,0.009453,0.010802,0.009453,300,prevalence
fomc,llama,ppi,43.0,0.129186,0.007451,-0.005866,0.007451,300,prevalence
fomc,llama,ppi,56.0,0.121327,0.006975,0.01115,0.006975,300,prevalence
fomc,llama,ppi,72.0,0.102209,0.0059,0.001483,0.0059,300,prevalence
fomc,llama,ppi,93.0,0.095748,0.005523,-0.004094,0.005523,300,prevalence
fomc,llama,ppi,120.0,0.079509,0.00459,-0.001082,0.00459,300,prevalence
fomc,llama,ppi,155.0,0.068845,0.003973,-0.002159,0.003973,300,prevalence
fomc,llama,ppi,200.0,0.058733,0.003369,0.006743,0.003369,300,prevalence
fomc,llama,ppipp,20.0,0.211441,0.012186,0.012582,0.012186,300,prevalence
fomc,llama,ppipp,26.0,0.17082,0.009856,0.005939,0.009856,300,prevalence
fomc,llama,ppipp,33.0,0.164807,0.009502,0.00873,0.009502,300,prevalence
fomc,llama,ppipp,43.0,0.132059,0.007616,-0.006153,0.007616,300,prevalence
fomc,llama,ppipp,56.0,0.124661,0.007183,0.007915,0.007183,300,prevalence
fomc,llama,ppipp,72.0,0.103261,0.00596,-0.002438,0.00596,300,prevalence
fomc,llama,ppipp,93.0,0.097108,0.005601,-0.004358,0.005601,300,prevalence
fomc,llama,ppipp,120.0,0.082337,0.004752,-0.001907,0.004752,300,prevalence
fomc,llama,ppipp,155.0,0.069403,0.004003,-0.003036,0.004003,300,prevalence
fomc,llama,ppipp,200.0,0.060596,0.003473,0.007262,0.003473,300,prevalence
