dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
vuamc,llama,llm_only,,0.467153,0.0,0.467153,0.0,300,prevalence
vuamc,llama,expert_only,20.0,0.255541,0.014699,-0.022002,0.014699,300,prevalence
vuamc,llama,expert_only,26.0,0.234449,0.013532,-0.005426,0.013532,300,prevalence
vuamc,llama,expert_only,33.0,0.195631,0.01127,0.012951,0.01127,300,prevalence
vuamc,llama,expert_only,43.0,0.166834,0.009625,0.006609,0.009625,300,prevalence
vuamc,llama,expert_only,56.0,0.153386,0.008854,-0.003116,0.008854,300,prevalence
vuamc,llama,expert_only,72.0,0.137134,0.007869,-0.015196,0.007869,300,prevalence
vuamc,llama,expert_only,93.0,0.125741,0.007257,-0.003078,0.007257,300,prevalence
vuamc,llama,expert_only,120.0,0.105176,0.006071,-0.001854,0.006071,300,prevalence
vuamc,llama,expert_only,155.0,0.09256,0.005343,-0.002087,0.005343,300,prevalence
vuamc,llama,expert_only,200.0,0.078994,0.004554,-0.004253,0.004554,300,prevalence
vuamc,llama,dsl,20.0,0.256047,0.014735,-0.020496,0.014735,300,prevalence
vuamc,llama,dsl,26.0,0.214944,0.012405,-0.005987,0.012405,300,prevalence
vuamc,llama,dsl,33.0,0.154346,0.008911,0.001149,0.008911,300,prevalence
vuamc,llama,dsl,43.0,0.12835,0.00736,0.014983,0.00736,300,prevalence
vuamc,llama,dsl,56.0,0.11594,0.006693,0.001664,0.006693,300,prevalence
vuamc,llama,dsl,72.0,0.096781,0.005576,-0.006282,0.005576,300,prevalence
vuamc,llama,dsl,93.0,0.093026,0.005361,-0.005559,0.005361,300,prevalence
vuamc,llama,dsl,120.0,0.075632,0.004366,-0.000595,0.004366,300,prevalence
vuamc,llama,dsl,155.0,0.066208,0.003819,-0.002859,0.003819,300,prevalence
vuamc,llama,dsl,200.0,0.057445,0.003316,0.00146,0.003316,300,prevalence
vuamc,llama,ppi,20.0,0.206794,0.011924,0.010462,0.011924,300,prevalence
vuamc,llama,ppi,26.0,0.176125,0.010166,0.003734,0.010166,300,prevalence
vuamc,llama,ppi,33.0,0.15388,0.008845,0.014505,0.008845,300,prevalence
vuamc,llama,ppi,43.0,0.129298,0.007354,0.02223,0.007354,300,prevalence
vuamc,llama,ppi,56.0,0.118011,0.006802,0.006905,0.006802,300,prevalence
vuamc,llama,ppi,72.0,0.097018,0.005599,-0.002987,0.005599,300,prevalence
vuamc,llama,ppi,93.0,0.093401,0.005391,-0.00195,0.005391,300,prevalence
vuamc,llama,ppi,120.0,0.076283,0.004402,0.002159,0.004402,300,prevalence
vuamc,llama,ppi,155.0,0.066117,0.003817,-0.000954,0.003817,300,prevalence
vuamc,llama,ppi,200.0,0.05752,0.003316,0.003085,0.003316,300,prevalence
vuamc,llama,ppipp,20.0,0.21376,0.012339,-0.00423,0.012339,300,prevalence
vuamc,llama,ppipp,26.0,0.190497,0.010998,0.000517,0.010998,300,prevalence
vuamc,llama,ppipp,33.0,0.162476,0.009343,0.014558,0.009343,300,prevalence
vuamc,llama,ppipp,43.0,0.137887,0.007918,0.014379,0.007918,300,prevalence
vuamc,llama,ppipp,56.0,0.127685,0.007371,0.002029,0.007371,300,prevalence
vuamc,llama,ppipp,72.0,0.110939,0.006383,-0.009166,0.006383,300,prevalence
vuamc,llama,ppipp,93.0,0.104718,0.006045,-0.002224,0.006045,300,prevalence
vuamc,llama,ppipp,120.0,0.085581,0.004941,0.000193,0.004941,300,prevalence
vuamc,llama,ppipp,155.0,0.076209,0.004399,-0.001459,0.004399,300,prevalence
vuamc,llama,ppipp,200.0,0.064285,0.003711,-0.00073,0.003711,300,prevalence
