dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
misogynistic,gpt54,llm_only,200,,0.344689,0.0,-0.344689,0.0,300,300,prevalence
misogynistic,gpt54,expert_only,200,239.0,0.064762,0.003711,0.007856,0.003711,300,300,prevalence
misogynistic,gpt54,expert_only,200,286.0,0.062433,0.003601,-0.002834,0.003601,300,300,prevalence
misogynistic,gpt54,expert_only,200,342.0,0.063124,0.003644,0.001196,0.003644,300,300,prevalence
misogynistic,gpt54,expert_only,200,408.0,0.065326,0.003759,-0.005364,0.003759,300,300,prevalence
misogynistic,gpt54,expert_only,200,488.0,0.065637,0.003786,0.002894,0.003786,300,300,prevalence
misogynistic,gpt54,expert_only,200,584.0,0.061567,0.003553,-0.001868,0.003553,300,300,prevalence
misogynistic,gpt54,expert_only,200,698.0,0.059111,0.003406,0.003593,0.003406,300,300,prevalence
misogynistic,gpt54,expert_only,200,834.0,0.060439,0.003489,0.000896,0.003489,300,300,prevalence
misogynistic,gpt54,expert_only,200,997.0,0.06463,0.003728,-0.0027,0.003728,300,300,prevalence
misogynistic,gpt54,dsl,200,239.0,0.061633,0.003523,0.008615,0.003523,300,300,prevalence
misogynistic,gpt54,dsl,200,286.0,0.059433,0.003426,-0.003283,0.003426,300,300,prevalence
misogynistic,gpt54,dsl,200,342.0,0.054694,0.003158,-0.000275,0.003158,300,300,prevalence
misogynistic,gpt54,dsl,200,408.0,0.05787,0.00333,-0.004773,0.00333,300,300,prevalence
misogynistic,gpt54,dsl,200,488.0,0.056459,0.003259,0.001321,0.003259,300,300,prevalence
misogynistic,gpt54,dsl,200,584.0,0.048544,0.002802,-0.00101,0.002802,300,300,prevalence
misogynistic,gpt54,dsl,200,698.0,0.047548,0.002742,-0.002286,0.002742,300,300,prevalence
misogynistic,gpt54,dsl,200,834.0,0.049618,0.002864,0.000876,0.002864,300,300,prevalence
misogynistic,gpt54,dsl,200,997.0,0.050554,0.002918,0.000779,0.002918,300,300,prevalence
misogynistic,gpt54,ppi,200,239.0,0.061593,0.003525,0.008181,0.003525,300,300,prevalence
misogynistic,gpt54,ppi,200,286.0,0.059495,0.003428,-0.003865,0.003428,300,300,prevalence
misogynistic,gpt54,ppi,200,342.0,0.054762,0.003161,-0.001114,0.003161,300,300,prevalence
misogynistic,gpt54,ppi,200,408.0,0.058123,0.003339,-0.005774,0.003339,300,300,prevalence
misogynistic,gpt54,ppi,200,488.0,0.056761,0.003277,-6.5e-05,0.003277,300,300,prevalence
misogynistic,gpt54,ppi,200,584.0,0.04886,0.002817,-0.002614,0.002817,300,300,prevalence
misogynistic,gpt54,ppi,200,698.0,0.047782,0.002749,-0.003937,0.002749,300,300,prevalence
misogynistic,gpt54,ppi,200,834.0,0.049935,0.002882,-0.001045,0.002882,300,300,prevalence
misogynistic,gpt54,ppi,200,997.0,0.050601,0.002921,-0.001105,0.002921,300,300,prevalence
misogynistic,gpt54,ppipp,200,239.0,0.062625,0.003585,0.008099,0.003585,300,300,prevalence
misogynistic,gpt54,ppipp,200,286.0,0.059998,0.003459,-0.003146,0.003459,300,300,prevalence
misogynistic,gpt54,ppipp,200,342.0,0.057695,0.003331,0.000403,0.003331,300,300,prevalence
misogynistic,gpt54,ppipp,200,408.0,0.060107,0.003457,-0.005237,0.003457,300,300,prevalence
misogynistic,gpt54,ppipp,200,488.0,0.059481,0.003432,0.001904,0.003432,300,300,prevalence
misogynistic,gpt54,ppipp,200,584.0,0.052927,0.003054,-0.001846,0.003054,300,300,prevalence
misogynistic,gpt54,ppipp,200,698.0,0.051175,0.002954,0.000606,0.002954,300,300,prevalence
misogynistic,gpt54,ppipp,200,834.0,0.052475,0.00303,0.000415,0.00303,300,300,prevalence
misogynistic,gpt54,ppipp,200,997.0,0.055679,0.003213,-0.001569,0.003213,300,300,prevalence
