dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
vuamc,deepseek,llm_only,50,,0.153477,0.0,-0.153477,0.0,300,300,prevalence
vuamc,deepseek,expert_only,50,70.0,0.174432,0.010069,0.003057,0.010069,300,300,prevalence
vuamc,deepseek,expert_only,50,97.0,0.160455,0.009231,-0.01352,0.009231,300,300,prevalence
vuamc,deepseek,expert_only,50,136.0,0.15692,0.009057,-0.003638,0.009057,300,300,prevalence
vuamc,deepseek,expert_only,50,189.0,0.149188,0.008612,0.00226,0.008612,300,300,prevalence
vuamc,deepseek,expert_only,50,264.0,0.157872,0.009111,-0.004275,0.009111,300,300,prevalence
vuamc,deepseek,expert_only,50,368.0,0.169848,0.009769,0.014852,0.009769,300,300,prevalence
vuamc,deepseek,expert_only,50,513.0,0.168381,0.009714,0.006564,0.009714,300,300,prevalence
vuamc,deepseek,expert_only,50,715.0,0.159585,0.009194,-0.010332,0.009194,300,300,prevalence
vuamc,deepseek,expert_only,50,997.0,0.172656,0.009968,-0.001406,0.009968,300,300,prevalence
vuamc,deepseek,dsl,50,70.0,0.162031,0.009352,0.004159,0.009352,300,300,prevalence
vuamc,deepseek,dsl,50,97.0,0.14008,0.00808,-0.005908,0.00808,300,300,prevalence
vuamc,deepseek,dsl,50,136.0,0.138825,0.008004,-0.007139,0.008004,300,300,prevalence
vuamc,deepseek,dsl,50,189.0,0.128527,0.007417,0.003937,0.007417,300,300,prevalence
vuamc,deepseek,dsl,50,264.0,0.122869,0.007094,0.000444,0.007094,300,300,prevalence
vuamc,deepseek,dsl,50,368.0,0.13308,0.007613,0.018014,0.007613,300,300,prevalence
vuamc,deepseek,dsl,50,513.0,0.135003,0.007759,0.01291,0.007759,300,300,prevalence
vuamc,deepseek,dsl,50,715.0,0.115474,0.006667,0.000939,0.006667,300,300,prevalence
vuamc,deepseek,dsl,50,997.0,0.124039,0.007161,0.001202,0.007161,300,300,prevalence
vuamc,deepseek,ppi,50,70.0,0.163118,0.009417,0.001001,0.009417,300,300,prevalence
vuamc,deepseek,ppi,50,97.0,0.14117,0.008124,-0.011398,0.008124,300,300,prevalence
vuamc,deepseek,ppi,50,136.0,0.139231,0.008003,-0.013041,0.008003,300,300,prevalence
vuamc,deepseek,ppi,50,189.0,0.129652,0.007483,-0.003188,0.007483,300,300,prevalence
vuamc,deepseek,ppi,50,264.0,0.123792,0.007128,-0.009073,0.007128,300,300,prevalence
vuamc,deepseek,ppi,50,368.0,0.132965,0.007662,0.008238,0.007662,300,300,prevalence
vuamc,deepseek,ppi,50,513.0,0.132416,0.007643,0.00295,0.007643,300,300,prevalence
vuamc,deepseek,ppi,50,715.0,0.115083,0.006619,-0.010019,0.006619,300,300,prevalence
vuamc,deepseek,ppi,50,997.0,0.123071,0.007079,-0.010649,0.007079,300,300,prevalence
vuamc,deepseek,ppipp,50,70.0,0.165522,0.009554,0.00355,0.009554,300,300,prevalence
vuamc,deepseek,ppipp,50,97.0,0.144728,0.008336,-0.009859,0.008336,300,300,prevalence
vuamc,deepseek,ppipp,50,136.0,0.141537,0.008164,-0.00607,0.008164,300,300,prevalence
vuamc,deepseek,ppipp,50,189.0,0.1315,0.007591,0.002408,0.007591,300,300,prevalence
vuamc,deepseek,ppipp,50,264.0,0.129694,0.007486,-0.002714,0.007486,300,300,prevalence
vuamc,deepseek,ppipp,50,368.0,0.142986,0.008209,0.015106,0.008209,300,300,prevalence
vuamc,deepseek,ppipp,50,513.0,0.142226,0.008197,0.008322,0.008197,300,300,prevalence
vuamc,deepseek,ppipp,50,715.0,0.127238,0.007338,-0.00584,0.007338,300,300,prevalence
vuamc,deepseek,ppipp,50,997.0,0.135594,0.007828,-0.001147,0.007828,300,300,prevalence
