dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
cuad,deepseek,llm_only,,0.059417,0.0,-0.117957,0.0,300,300
cuad,deepseek,expert_only,20.0,0.761447,0.014498,0.846775,0.11618,300,300
cuad,deepseek,expert_only,26.0,0.650135,0.012518,0.770591,0.096745,300,300
cuad,deepseek,expert_only,33.0,0.567766,0.011238,0.664291,0.085342,300,300
cuad,deepseek,expert_only,43.0,0.486053,0.009967,0.54569,0.068312,300,300
cuad,deepseek,expert_only,56.0,0.423793,0.008712,0.405284,0.056663,300,300
cuad,deepseek,expert_only,72.0,0.365652,0.007689,0.291714,0.045531,300,300
cuad,deepseek,expert_only,93.0,0.333078,0.006419,0.27855,0.04475,300,300
cuad,deepseek,expert_only,120.0,0.293208,0.00597,0.202488,0.035278,300,300
cuad,deepseek,expert_only,155.0,0.251882,0.004779,0.131466,0.028658,300,300
cuad,deepseek,expert_only,200.0,0.234664,0.004706,0.140148,0.025584,300,300
cuad,deepseek,dsl,20.0,0.565781,0.011071,0.070702,0.092421,300,300
cuad,deepseek,dsl,26.0,0.455776,0.009551,0.11256,0.069209,300,300
cuad,deepseek,dsl,33.0,0.203859,0.005439,0.044674,0.026392,300,300
cuad,deepseek,dsl,43.0,0.149117,0.003711,-0.013648,0.021146,300,300
cuad,deepseek,dsl,56.0,0.131679,0.002858,0.005198,0.019319,300,300
cuad,deepseek,dsl,72.0,0.116109,0.002549,-0.003107,0.014944,300,300
cuad,deepseek,dsl,93.0,0.101295,0.002031,0.010014,0.01433,300,300
cuad,deepseek,dsl,120.0,0.083109,0.00171,-0.005711,0.012312,300,300
cuad,deepseek,dsl,155.0,0.072439,0.001358,-0.004722,0.010013,300,300
cuad,deepseek,dsl,200.0,0.063586,0.001338,0.001761,0.008656,300,300
cuad,deepseek,ppi,20.0,0.20978,0.006837,0.005153,0.02881,300,300
cuad,deepseek,ppi,26.0,0.179704,0.004909,0.001506,0.023491,300,300
cuad,deepseek,ppi,33.0,0.178935,0.004796,0.005447,0.021525,300,300
cuad,deepseek,ppi,43.0,0.143459,0.00365,-0.01648,0.018951,300,300
cuad,deepseek,ppi,56.0,0.131637,0.00297,0.001941,0.018702,300,300
cuad,deepseek,ppi,72.0,0.115501,0.002578,0.007716,0.014561,300,300
cuad,deepseek,ppi,93.0,0.099709,0.00202,0.009796,0.013232,300,300
cuad,deepseek,ppi,120.0,0.085482,0.001864,-0.010727,0.011445,300,300
cuad,deepseek,ppi,155.0,0.073891,0.001452,-0.005573,0.009609,300,300
cuad,deepseek,ppi,200.0,0.064036,0.001349,0.00281,0.008215,300,300
cuad,deepseek,ppipp,20.0,0.346454,0.008274,0.315386,0.057237,300,300
cuad,deepseek,ppipp,26.0,0.305523,0.006499,0.238061,0.043454,300,300
cuad,deepseek,ppipp,33.0,0.274115,0.005602,0.219092,0.037973,300,300
cuad,deepseek,ppipp,43.0,0.238132,0.004975,0.147484,0.033523,300,300
cuad,deepseek,ppipp,56.0,0.210217,0.004223,0.121484,0.029115,300,300
cuad,deepseek,ppipp,72.0,0.188655,0.003743,0.072855,0.023407,300,300
cuad,deepseek,ppipp,93.0,0.176859,0.003251,0.084368,0.022817,300,300
cuad,deepseek,ppipp,120.0,0.149553,0.002736,0.051879,0.019115,300,300
cuad,deepseek,ppipp,155.0,0.138478,0.002592,0.035788,0.015882,300,300
cuad,deepseek,ppipp,200.0,0.124893,0.002153,0.043019,0.013784,300,300
