dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,,0.153478,0.0,0.153478,0.0,0.065498,0.0,300,300,high_variance
cuad,deepseek,expert_only,20.0,1.81629,0.103459,0.296226,0.103459,0.379036,0.011711,300,300,high_variance
cuad,deepseek,expert_only,26.0,1.581959,0.089287,0.3331,0.089287,0.335877,0.010404,300,300,high_variance
cuad,deepseek,expert_only,33.0,1.226897,0.070217,0.161705,0.070217,0.267313,0.007801,300,300,high_variance
cuad,deepseek,expert_only,43.0,1.010316,0.057287,0.190276,0.057287,0.223579,0.006323,300,300,high_variance
cuad,deepseek,expert_only,56.0,0.922904,0.052888,0.112227,0.052888,0.200683,0.005749,300,300,high_variance
cuad,deepseek,expert_only,72.0,0.803591,0.045619,0.146432,0.045619,0.173052,0.005258,300,300,high_variance
cuad,deepseek,expert_only,93.0,0.666153,0.038395,0.038718,0.038395,0.152008,0.004147,300,300,high_variance
cuad,deepseek,expert_only,120.0,0.533532,0.03073,0.036835,0.03073,0.121924,0.003227,300,300,high_variance
cuad,deepseek,expert_only,155.0,0.445398,0.025635,0.035103,0.025635,0.106398,0.0029,300,300,high_variance
cuad,deepseek,expert_only,200.0,0.405597,0.023377,0.023628,0.023377,0.092629,0.002543,300,300,high_variance
cuad,deepseek,dsl,20.0,1.295107,0.074771,0.009346,0.074771,0.306092,0.0082,300,300,high_variance
cuad,deepseek,dsl,26.0,0.999399,0.057367,0.107324,0.057367,0.240657,0.006793,300,300,high_variance
cuad,deepseek,dsl,33.0,0.447788,0.025846,-0.010705,0.025846,0.117593,0.003712,300,300,high_variance
cuad,deepseek,dsl,43.0,0.275289,0.015763,0.035258,0.015763,0.083279,0.002574,300,300,high_variance
cuad,deepseek,dsl,56.0,0.279096,0.016069,-0.020809,0.016069,0.077871,0.002277,300,300,high_variance
cuad,deepseek,dsl,72.0,0.236361,0.013645,-0.003016,0.013645,0.063922,0.00188,300,300,high_variance
cuad,deepseek,dsl,93.0,0.206868,0.011933,-0.008654,0.011933,0.057932,0.001702,300,300,high_variance
cuad,deepseek,dsl,120.0,0.173876,0.010038,0.001736,0.010038,0.047827,0.001275,300,300,high_variance
cuad,deepseek,dsl,155.0,0.134598,0.007751,0.009624,0.007751,0.041049,0.001118,300,300,high_variance
cuad,deepseek,dsl,200.0,0.126495,0.007303,-0.001325,0.007303,0.034362,0.000965,300,300,high_variance
cuad,deepseek,ppi,20.0,0.450954,0.026032,-0.00728,0.026032,0.12128,0.003942,300,300,high_variance
cuad,deepseek,ppi,26.0,0.364466,0.021042,-0.002269,0.021042,0.11084,0.003501,300,300,high_variance
cuad,deepseek,ppi,33.0,0.393714,0.022613,-0.040148,0.022613,0.113783,0.003957,300,300,high_variance
cuad,deepseek,ppi,43.0,0.274807,0.015775,0.029469,0.015775,0.084424,0.00266,300,300,high_variance
cuad,deepseek,ppi,56.0,0.282798,0.016308,-0.013736,0.016308,0.079482,0.002434,300,300,high_variance
cuad,deepseek,ppi,72.0,0.221062,0.012763,-0.001781,0.012763,0.062723,0.001872,300,300,high_variance
cuad,deepseek,ppi,93.0,0.207459,0.011974,-0.005268,0.011974,0.057928,0.001689,300,300,high_variance
cuad,deepseek,ppi,120.0,0.169448,0.009781,0.003631,0.009781,0.048244,0.001284,300,300,high_variance
cuad,deepseek,ppi,155.0,0.135452,0.00777,0.015393,0.00777,0.04104,0.00115,300,300,high_variance
cuad,deepseek,ppi,200.0,0.124389,0.007181,-0.00106,0.007181,0.034707,0.00103,300,300,high_variance
cuad,deepseek,ppipp,20.0,0.771364,0.044413,0.056922,0.044413,0.186942,0.005365,300,300,high_variance
cuad,deepseek,ppipp,26.0,0.659849,0.03794,0.059722,0.03794,0.169498,0.00462,300,300,high_variance
cuad,deepseek,ppipp,33.0,0.617911,0.035642,0.026544,0.035642,0.151437,0.004172,300,300,high_variance
cuad,deepseek,ppipp,43.0,0.484547,0.027607,0.078334,0.027607,0.121859,0.003321,300,300,high_variance
cuad,deepseek,ppipp,56.0,0.483022,0.027875,0.014484,0.027875,0.114139,0.003139,300,300,high_variance
cuad,deepseek,ppipp,72.0,0.42614,0.024409,0.053391,0.024409,0.098871,0.002829,300,300,high_variance
cuad,deepseek,ppipp,93.0,0.359693,0.020767,0.000571,0.020767,0.088659,0.002353,300,300,high_variance
cuad,deepseek,ppipp,120.0,0.297554,0.017169,0.010352,0.017169,0.071667,0.001862,300,300,high_variance
cuad,deepseek,ppipp,155.0,0.245768,0.014158,0.016246,0.014158,0.063485,0.001684,300,300,high_variance
cuad,deepseek,ppipp,200.0,0.229616,0.013254,0.005161,0.013254,0.054738,0.001427,300,300,high_variance
