dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,,0.009374,0.0,0.009374,0.0,0.183328,0.0,300,300,low_variance
cuad,deepseek,expert_only,20.0,1.496303,0.081332,0.504434,0.081332,1.715614,0.06889,300,300,low_variance
cuad,deepseek,expert_only,26.0,0.871136,0.048842,0.20789,0.048842,1.082827,0.035557,300,300,low_variance
cuad,deepseek,expert_only,33.0,0.685559,0.038514,0.158121,0.038514,0.864791,0.02626,300,300,low_variance
cuad,deepseek,expert_only,43.0,0.691553,0.038956,0.151597,0.038956,0.816355,0.026205,300,300,low_variance
cuad,deepseek,expert_only,56.0,0.508484,0.028989,0.080305,0.028989,0.638548,0.01967,300,300,low_variance
cuad,deepseek,expert_only,72.0,0.479977,0.027177,0.093823,0.027177,0.577419,0.017127,300,300,low_variance
cuad,deepseek,expert_only,93.0,0.392631,0.022594,0.031861,0.022594,0.49364,0.014054,300,300,low_variance
cuad,deepseek,expert_only,120.0,0.322693,0.018585,0.022697,0.018585,0.410074,0.011222,300,300,low_variance
cuad,deepseek,expert_only,155.0,0.266459,0.015343,0.019507,0.015343,0.346474,0.009024,300,300,low_variance
cuad,deepseek,expert_only,200.0,0.231755,0.013376,0.005868,0.013376,0.293708,0.007973,300,300,low_variance
cuad,deepseek,dsl,20.0,0.672216,0.038784,-0.024738,0.038784,0.886404,0.023192,300,300,low_variance
cuad,deepseek,dsl,26.0,0.53825,0.031076,-0.001085,0.031076,0.691276,0.018522,300,300,low_variance
cuad,deepseek,dsl,33.0,0.281504,0.014981,-0.109168,0.014981,0.373426,0.010893,300,300,low_variance
cuad,deepseek,dsl,43.0,0.241518,0.012226,-0.116153,0.012226,0.305268,0.00864,300,300,low_variance
cuad,deepseek,dsl,56.0,0.208844,0.009562,-0.127235,0.009562,0.266164,0.007162,300,300,low_variance
cuad,deepseek,dsl,72.0,0.208315,0.009551,-0.126604,0.009551,0.246342,0.00679,300,300,low_variance
cuad,deepseek,dsl,93.0,0.186645,0.007921,-0.126541,0.007921,0.22313,0.005681,300,300,low_variance
cuad,deepseek,dsl,120.0,0.181426,0.006795,-0.138067,0.006795,0.208004,0.005186,300,300,low_variance
cuad,deepseek,dsl,155.0,0.159318,0.005793,-0.123757,0.005793,0.184053,0.004574,300,300,low_variance
cuad,deepseek,dsl,200.0,0.163901,0.005039,-0.138734,0.005039,0.179395,0.004303,300,300,low_variance
cuad,deepseek,ppi,20.0,0.409085,0.023617,-0.004777,0.023617,0.50846,0.018247,300,300,low_variance
cuad,deepseek,ppi,26.0,0.355459,0.020497,-0.017821,0.020497,0.462318,0.015519,300,300,low_variance
cuad,deepseek,ppi,33.0,0.311485,0.017879,-0.033603,0.017879,0.430033,0.013908,300,300,low_variance
cuad,deepseek,ppi,43.0,0.300815,0.017306,-0.025266,0.017306,0.377542,0.01344,300,300,low_variance
cuad,deepseek,ppi,56.0,0.228417,0.01302,-0.036329,0.01302,0.303834,0.008593,300,300,low_variance
cuad,deepseek,ppi,72.0,0.217227,0.012306,-0.041917,0.012306,0.270489,0.007742,300,300,low_variance
cuad,deepseek,ppi,93.0,0.183316,0.010403,-0.033691,0.010403,0.235892,0.0064,300,300,low_variance
cuad,deepseek,ppi,120.0,0.180335,0.009827,-0.059596,0.009827,0.222271,0.006185,300,300,low_variance
cuad,deepseek,ppi,155.0,0.163094,0.009183,-0.036047,0.009183,0.199392,0.005256,300,300,low_variance
cuad,deepseek,ppi,200.0,0.14342,0.007638,-0.05537,0.007638,0.177539,0.004838,300,300,low_variance
cuad,deepseek,ppipp,20.0,0.576929,0.032965,0.082723,0.032965,0.716507,0.024333,300,300,low_variance
cuad,deepseek,ppipp,26.0,0.473706,0.027333,0.016295,0.027333,0.622883,0.020138,300,300,low_variance
cuad,deepseek,ppipp,33.0,0.362712,0.020935,-0.009026,0.020935,0.49191,0.014409,300,300,low_variance
cuad,deepseek,ppipp,43.0,0.367624,0.021224,-0.002526,0.021224,0.463098,0.014426,300,300,low_variance
cuad,deepseek,ppipp,56.0,0.277966,0.015942,-0.031912,0.015942,0.367271,0.010669,300,300,low_variance
cuad,deepseek,ppipp,72.0,0.271003,0.015586,-0.023841,0.015586,0.337791,0.009493,300,300,low_variance
cuad,deepseek,ppipp,93.0,0.233238,0.013221,-0.044289,0.013221,0.302495,0.008617,300,300,low_variance
cuad,deepseek,ppipp,120.0,0.194368,0.010716,-0.057717,0.010716,0.251163,0.006512,300,300,low_variance
cuad,deepseek,ppipp,155.0,0.16086,0.008872,-0.047576,0.008872,0.21698,0.005652,300,300,low_variance
cuad,deepseek,ppipp,200.0,0.149514,0.007901,-0.060202,0.007901,0.187836,0.005139,300,300,low_variance
