dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
cuad,deepseek,llm_only,,0.061024,0.0,-0.061024,0.0,300,prevalence
cuad,deepseek,expert_only,20.0,0.21332,0.012295,0.012374,0.012295,300,prevalence
cuad,deepseek,expert_only,26.0,0.189455,0.010937,0.002938,0.010937,300,prevalence
cuad,deepseek,expert_only,33.0,0.167885,0.009692,0.002115,0.009692,300,prevalence
cuad,deepseek,expert_only,43.0,0.139812,0.008069,-0.003791,0.008069,300,prevalence
cuad,deepseek,expert_only,56.0,0.126013,0.007275,0.000224,0.007275,300,prevalence
cuad,deepseek,expert_only,72.0,0.109011,0.006276,-0.008161,0.006276,300,prevalence
cuad,deepseek,expert_only,93.0,0.102335,0.005878,0.010351,0.005878,300,prevalence
cuad,deepseek,expert_only,120.0,0.081828,0.004718,-0.004363,0.004718,300,prevalence
cuad,deepseek,expert_only,155.0,0.077438,0.004471,0.000165,0.004471,300,prevalence
cuad,deepseek,expert_only,200.0,0.062891,0.003625,-0.003491,0.003625,300,prevalence
cuad,deepseek,dsl,20.0,0.216167,0.012461,0.012195,0.012461,300,prevalence
cuad,deepseek,dsl,26.0,0.165471,0.009553,-0.000886,0.009553,300,prevalence
cuad,deepseek,dsl,33.0,0.093294,0.005386,-0.000892,0.005386,300,prevalence
cuad,deepseek,dsl,43.0,0.068825,0.003955,-0.006693,0.003955,300,prevalence
cuad,deepseek,dsl,56.0,0.062422,0.003604,3.7e-05,0.003604,300,prevalence
cuad,deepseek,dsl,72.0,0.050129,0.002894,0.000396,0.002894,300,prevalence
cuad,deepseek,dsl,93.0,0.04606,0.002659,0.000185,0.002659,300,prevalence
cuad,deepseek,dsl,120.0,0.038069,0.002194,-0.002297,0.002194,300,prevalence
cuad,deepseek,dsl,155.0,0.03468,0.002002,-0.000643,0.002002,300,prevalence
cuad,deepseek,dsl,200.0,0.027071,0.001559,-0.002003,0.001559,300,prevalence
cuad,deepseek,ppi,20.0,0.099239,0.005725,-0.003952,0.005725,300,prevalence
cuad,deepseek,ppi,26.0,0.096869,0.00557,-0.008748,0.00557,300,prevalence
cuad,deepseek,ppi,33.0,0.088702,0.005121,-0.001117,0.005121,300,prevalence
cuad,deepseek,ppi,43.0,0.069537,0.003989,-0.007862,0.003989,300,prevalence
cuad,deepseek,ppi,56.0,0.062373,0.003601,-0.000672,0.003601,300,prevalence
cuad,deepseek,ppi,72.0,0.050182,0.002897,-0.000899,0.002897,300,prevalence
cuad,deepseek,ppi,93.0,0.046714,0.002697,-0.000556,0.002697,300,prevalence
cuad,deepseek,ppi,120.0,0.037964,0.002186,-0.00281,0.002186,300,prevalence
cuad,deepseek,ppi,155.0,0.03475,0.002005,-0.001182,0.002005,300,prevalence
cuad,deepseek,ppi,200.0,0.027154,0.001562,-0.002274,0.001562,300,prevalence
cuad,deepseek,ppipp,20.0,0.132489,0.007647,0.003167,0.007647,300,prevalence
cuad,deepseek,ppipp,26.0,0.124723,0.007198,-0.003263,0.007198,300,prevalence
cuad,deepseek,ppipp,33.0,0.110303,0.006368,0.00036,0.006368,300,prevalence
cuad,deepseek,ppipp,43.0,0.090341,0.005206,-0.005593,0.005206,300,prevalence
cuad,deepseek,ppipp,56.0,0.081098,0.004682,-0.000331,0.004682,300,prevalence
cuad,deepseek,ppipp,72.0,0.069673,0.004015,-0.004313,0.004015,300,prevalence
cuad,deepseek,ppipp,93.0,0.065719,0.003783,0.004956,0.003783,300,prevalence
cuad,deepseek,ppipp,120.0,0.052114,0.003002,-0.00343,0.003002,300,prevalence
cuad,deepseek,ppipp,155.0,0.050272,0.002902,-0.000403,0.002902,300,prevalence
cuad,deepseek,ppipp,200.0,0.039579,0.002279,-0.002824,0.002279,300,prevalence
