dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,llama,llm_only,,0.66957,0.0,0.66957,0.0,0.715476,0.0,300,300,high_variance
cuad,llama,expert_only,20.0,3.822758,0.210888,1.127562,0.210888,4.403365,0.191861,300,300,high_variance
cuad,llama,expert_only,26.0,3.34555,0.180482,1.191892,0.180482,3.687009,0.147735,300,300,high_variance
cuad,llama,expert_only,33.0,1.9137,0.107678,0.428784,0.107678,2.22919,0.077659,300,300,high_variance
cuad,llama,expert_only,43.0,1.775691,0.099361,0.437406,0.099361,2.04428,0.076029,300,300,high_variance
cuad,llama,expert_only,56.0,1.328434,0.075333,0.249412,0.075333,1.54505,0.0528,300,300,high_variance
cuad,llama,expert_only,72.0,1.232689,0.067268,0.40254,0.067268,1.415983,0.047026,300,300,high_variance
cuad,llama,expert_only,93.0,1.040226,0.058107,0.262975,0.058107,1.216675,0.041675,300,300,high_variance
cuad,llama,expert_only,120.0,0.861841,0.048226,0.21225,0.048226,0.995944,0.031898,300,300,high_variance
cuad,llama,expert_only,155.0,0.63574,0.035967,0.126796,0.035967,0.753784,0.021998,300,300,high_variance
cuad,llama,expert_only,200.0,0.545297,0.03104,0.091113,0.03104,0.651496,0.020147,300,300,high_variance
cuad,llama,dsl,20.0,1.39489,0.080446,-0.06535,0.080446,1.786442,0.047934,300,300,high_variance
cuad,llama,dsl,26.0,1.220932,0.070218,0.107162,0.070218,1.493788,0.043126,300,300,high_variance
cuad,llama,dsl,33.0,0.677347,0.038791,-0.085871,0.038791,0.833834,0.027311,300,300,high_variance
cuad,llama,dsl,43.0,0.588688,0.033394,-0.109569,0.033394,0.718388,0.023701,300,300,high_variance
cuad,llama,dsl,56.0,0.489779,0.027105,-0.139575,0.027105,0.608089,0.018951,300,300,high_variance
cuad,llama,dsl,72.0,0.431113,0.02435,-0.089381,0.02435,0.528855,0.016064,300,300,high_variance
cuad,llama,dsl,93.0,0.404794,0.022277,-0.122398,0.022277,0.484794,0.01428,300,300,high_variance
cuad,llama,dsl,120.0,0.37458,0.020454,-0.121635,0.020454,0.436442,0.013177,300,300,high_variance
cuad,llama,dsl,155.0,0.290658,0.015778,-0.098979,0.015778,0.351345,0.010176,300,300,high_variance
cuad,llama,dsl,200.0,0.285067,0.014206,-0.143959,0.014206,0.335873,0.009623,300,300,high_variance
cuad,llama,ppi,20.0,1.817909,0.104936,-0.036367,0.104936,2.041883,0.09507,300,300,high_variance
cuad,llama,ppi,26.0,1.260342,0.072634,0.075957,0.072634,1.450406,0.061286,300,300,high_variance
cuad,llama,ppi,33.0,0.90784,0.052155,0.090171,0.052155,1.070827,0.036705,300,300,high_variance
cuad,llama,ppi,43.0,0.793193,0.045767,0.027698,0.045767,0.931116,0.032715,300,300,high_variance
cuad,llama,ppi,56.0,0.602892,0.034769,0.028376,0.034769,0.739237,0.020738,300,300,high_variance
cuad,llama,ppi,72.0,0.53294,0.030684,0.039586,0.030684,0.654054,0.018122,300,300,high_variance
cuad,llama,ppi,93.0,0.502359,0.028994,-0.013286,0.028994,0.591834,0.016703,300,300,high_variance
cuad,llama,ppi,120.0,0.464911,0.026832,-0.012297,0.026832,0.550376,0.015545,300,300,high_variance
cuad,llama,ppi,155.0,0.388308,0.022372,0.025046,0.022372,0.475785,0.012296,300,300,high_variance
cuad,llama,ppi,200.0,0.361651,0.020633,-0.055436,0.020633,0.430415,0.011856,300,300,high_variance
cuad,llama,ppipp,20.0,1.495753,0.084723,0.289594,0.084723,1.809985,0.065028,300,300,high_variance
cuad,llama,ppipp,26.0,1.32427,0.073253,0.379328,0.073253,1.561114,0.051993,300,300,high_variance
cuad,llama,ppipp,33.0,0.9221,0.052774,0.121433,0.052774,1.136464,0.03256,300,300,high_variance
cuad,llama,ppipp,43.0,0.856844,0.048779,0.142668,0.048779,1.066817,0.033017,300,300,high_variance
cuad,llama,ppipp,56.0,0.717723,0.041365,0.042508,0.041365,0.879655,0.026186,300,300,high_variance
cuad,llama,ppipp,72.0,0.676967,0.038188,0.144139,0.038188,0.814784,0.023913,300,300,high_variance
cuad,llama,ppipp,93.0,0.578583,0.033166,0.06906,0.033166,0.708318,0.019729,300,300,high_variance
cuad,llama,ppipp,120.0,0.517838,0.029783,0.045179,0.029783,0.611639,0.016786,300,300,high_variance
cuad,llama,ppipp,155.0,0.393988,0.022684,0.029286,0.022684,0.476721,0.01257,300,300,high_variance
cuad,llama,ppipp,200.0,0.335391,0.019332,-0.019365,0.019332,0.416248,0.01118,300,300,high_variance
