dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,mistral,llm_only,,0.305053,0.0,0.305053,0.0,0.046115,0.0,300,300,high_variance
cuad,mistral,expert_only,20.0,2.134688,0.120908,0.413852,0.120908,0.394288,0.012263,300,300,high_variance
cuad,mistral,expert_only,26.0,1.754633,0.097941,0.448321,0.097941,0.332166,0.009781,300,300,high_variance
cuad,mistral,expert_only,33.0,1.415785,0.079643,0.318632,0.079643,0.274386,0.008145,300,300,high_variance
cuad,mistral,expert_only,43.0,1.095583,0.062389,0.180565,0.062389,0.217459,0.006263,300,300,high_variance
cuad,mistral,expert_only,56.0,0.84277,0.048475,0.072836,0.048475,0.181101,0.00497,300,300,high_variance
cuad,mistral,expert_only,72.0,0.803488,0.046313,0.045982,0.046313,0.162057,0.004527,300,300,high_variance
cuad,mistral,expert_only,93.0,0.754607,0.043414,0.063306,0.043414,0.147175,0.00435,300,300,high_variance
cuad,mistral,expert_only,120.0,0.566022,0.032411,0.072346,0.032411,0.120062,0.003412,300,300,high_variance
cuad,mistral,expert_only,155.0,0.496695,0.028455,0.061638,0.028455,0.098127,0.002717,300,300,high_variance
cuad,mistral,expert_only,200.0,0.393066,0.022452,0.057189,0.022452,0.083535,0.002273,300,300,high_variance
cuad,mistral,dsl,20.0,1.384472,0.079819,-0.073614,0.079819,0.297217,0.008288,300,300,high_variance
cuad,mistral,dsl,26.0,1.144561,0.065232,0.182959,0.065232,0.2474,0.006492,300,300,high_variance
cuad,mistral,dsl,33.0,0.691313,0.039877,0.029179,0.039877,0.137285,0.004233,300,300,high_variance
cuad,mistral,dsl,43.0,0.606772,0.034971,-0.035684,0.034971,0.122417,0.003578,300,300,high_variance
cuad,mistral,dsl,56.0,0.516072,0.029723,-0.035989,0.029723,0.101803,0.002852,300,300,high_variance
cuad,mistral,dsl,72.0,0.429683,0.024807,-0.003783,0.024807,0.089054,0.002598,300,300,high_variance
cuad,mistral,dsl,93.0,0.441482,0.025399,-0.03708,0.025399,0.084071,0.002515,300,300,high_variance
cuad,mistral,dsl,120.0,0.328364,0.018934,0.016391,0.018934,0.06718,0.00186,300,300,high_variance
cuad,mistral,dsl,155.0,0.284133,0.016362,-0.020342,0.016362,0.057666,0.00157,300,300,high_variance
cuad,mistral,dsl,200.0,0.261308,0.015004,0.027283,0.015004,0.051269,0.001396,300,300,high_variance
cuad,mistral,ppi,20.0,0.875123,0.050479,-0.03729,0.050479,0.18658,0.006645,300,300,high_variance
cuad,mistral,ppi,26.0,0.829986,0.047907,0.018537,0.047907,0.163069,0.005426,300,300,high_variance
cuad,mistral,ppi,33.0,0.759477,0.04384,-0.014954,0.04384,0.146449,0.004778,300,300,high_variance
cuad,mistral,ppi,43.0,0.641805,0.037007,-0.032664,0.037007,0.128104,0.003956,300,300,high_variance
cuad,mistral,ppi,56.0,0.528962,0.030467,-0.036415,0.030467,0.10361,0.003037,300,300,high_variance
cuad,mistral,ppi,72.0,0.470812,0.02718,-0.00655,0.02718,0.09579,0.002902,300,300,high_variance
cuad,mistral,ppi,93.0,0.472508,0.027185,-0.039471,0.027185,0.088916,0.002681,300,300,high_variance
cuad,mistral,ppi,120.0,0.335387,0.019338,0.017363,0.019338,0.067857,0.00189,300,300,high_variance
cuad,mistral,ppi,155.0,0.298307,0.017137,-0.029708,0.017137,0.060525,0.001636,300,300,high_variance
cuad,mistral,ppi,200.0,0.276023,0.015857,0.027405,0.015857,0.05376,0.001452,300,300,high_variance
cuad,mistral,ppipp,20.0,0.955566,0.054958,0.083541,0.054958,0.208568,0.005906,300,300,high_variance
cuad,mistral,ppipp,26.0,0.883846,0.050335,0.145227,0.050335,0.192181,0.005172,300,300,high_variance
cuad,mistral,ppipp,33.0,0.727265,0.041626,0.095414,0.041626,0.158505,0.004135,300,300,high_variance
cuad,mistral,ppipp,43.0,0.647789,0.037331,0.039229,0.037331,0.138154,0.003838,300,300,high_variance
cuad,mistral,ppipp,56.0,0.562843,0.032488,-0.012621,0.032488,0.122149,0.003211,300,300,high_variance
cuad,mistral,ppipp,72.0,0.49878,0.028797,0.000866,0.028797,0.107944,0.002997,300,300,high_variance
cuad,mistral,ppipp,93.0,0.503228,0.029054,-0.000996,0.029054,0.100557,0.002876,300,300,high_variance
cuad,mistral,ppipp,120.0,0.375774,0.021633,0.028408,0.021633,0.082557,0.002202,300,300,high_variance
cuad,mistral,ppipp,155.0,0.343494,0.019816,0.013741,0.019816,0.068718,0.001846,300,300,high_variance
cuad,mistral,ppipp,200.0,0.28356,0.016259,0.033171,0.016259,0.059252,0.001619,300,300,high_variance
