dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
cuad,mistral,llm_only,,0.003953,0.0,0.003953,0.0,300,prevalence
cuad,mistral,expert_only,20.0,0.214266,0.01237,0.001269,0.01237,300,prevalence
cuad,mistral,expert_only,26.0,0.20064,0.011574,0.008165,0.011574,300,prevalence
cuad,mistral,expert_only,33.0,0.170012,0.009711,-0.024773,0.009711,300,prevalence
cuad,mistral,expert_only,43.0,0.144374,0.008332,0.004118,0.008332,300,prevalence
cuad,mistral,expert_only,56.0,0.129826,0.007492,0.003943,0.007492,300,prevalence
cuad,mistral,expert_only,72.0,0.106804,0.006166,0.00105,0.006166,300,prevalence
cuad,mistral,expert_only,93.0,0.097001,0.005576,-0.009102,0.005576,300,prevalence
cuad,mistral,expert_only,120.0,0.085747,0.00495,-0.000756,0.00495,300,prevalence
cuad,mistral,expert_only,155.0,0.064826,0.003719,-0.00728,0.003719,300,prevalence
cuad,mistral,expert_only,200.0,0.060525,0.003464,-0.007959,0.003464,300,prevalence
cuad,mistral,dsl,20.0,0.213743,0.01234,-0.002151,0.01234,300,prevalence
cuad,mistral,dsl,26.0,0.175889,0.010147,0.006961,0.010147,300,prevalence
cuad,mistral,dsl,33.0,0.094415,0.00544,-0.005946,0.00544,300,prevalence
cuad,mistral,dsl,43.0,0.083433,0.004817,-0.000778,0.004817,300,prevalence
cuad,mistral,dsl,56.0,0.066462,0.003834,0.002852,0.003834,300,prevalence
cuad,mistral,dsl,72.0,0.062276,0.003594,-0.001634,0.003594,300,prevalence
cuad,mistral,dsl,93.0,0.052261,0.003016,0.001504,0.003016,300,prevalence
cuad,mistral,dsl,120.0,0.046206,0.002668,-0.000245,0.002668,300,prevalence
cuad,mistral,dsl,155.0,0.039203,0.002262,-0.001256,0.002262,300,prevalence
cuad,mistral,dsl,200.0,0.032993,0.001891,-0.003975,0.001891,300,prevalence
cuad,mistral,ppi,20.0,0.127414,0.007345,0.007152,0.007345,300,prevalence
cuad,mistral,ppi,26.0,0.109807,0.006335,0.004288,0.006335,300,prevalence
cuad,mistral,ppi,33.0,0.089809,0.005171,-0.006719,0.005171,300,prevalence
cuad,mistral,ppi,43.0,0.082037,0.004736,0.000544,0.004736,300,prevalence
cuad,mistral,ppi,56.0,0.066429,0.003828,0.004054,0.003828,300,prevalence
cuad,mistral,ppi,72.0,0.062186,0.00359,-0.000931,0.00359,300,prevalence
cuad,mistral,ppi,93.0,0.052059,0.003005,0.001271,0.003005,300,prevalence
cuad,mistral,ppi,120.0,0.045982,0.002655,-7.5e-05,0.002655,300,prevalence
cuad,mistral,ppi,155.0,0.039028,0.002252,-0.001165,0.002252,300,prevalence
cuad,mistral,ppi,200.0,0.032926,0.001887,-0.003966,0.001887,300,prevalence
cuad,mistral,ppipp,20.0,0.147608,0.00852,0.003144,0.00852,300,prevalence
cuad,mistral,ppipp,26.0,0.136568,0.007879,0.005005,0.007879,300,prevalence
cuad,mistral,ppipp,33.0,0.111793,0.006397,-0.014879,0.006397,300,prevalence
cuad,mistral,ppipp,43.0,0.098456,0.005683,0.001849,0.005683,300,prevalence
cuad,mistral,ppipp,56.0,0.086187,0.004972,0.003668,0.004972,300,prevalence
cuad,mistral,ppipp,72.0,0.074878,0.004323,-0.000173,0.004323,300,prevalence
cuad,mistral,ppipp,93.0,0.065819,0.003794,-0.00383,0.003794,300,prevalence
cuad,mistral,ppipp,120.0,0.05976,0.00345,-0.000487,0.00345,300,prevalence
cuad,mistral,ppipp,155.0,0.045361,0.002607,-0.004243,0.002607,300,prevalence
cuad,mistral,ppipp,200.0,0.040991,0.002341,-0.005994,0.002341,300,prevalence
