dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
fomc,deepseek,llm_only,,1.706762,0.0,-1.706762,0.0,0.233484,0.0,300,300,high_variance
fomc,deepseek,expert_only,20.0,4.72685,0.270425,-0.635789,0.270425,0.364326,0.01064,300,300,high_variance
fomc,deepseek,expert_only,26.0,3.951206,0.227445,0.3043,0.227445,0.298619,0.007761,300,300,high_variance
fomc,deepseek,expert_only,33.0,3.610022,0.208285,-0.13211,0.208285,0.277407,0.007484,300,300,high_variance
fomc,deepseek,expert_only,43.0,3.010323,0.17374,-0.079969,0.17374,0.230246,0.006243,300,300,high_variance
fomc,deepseek,expert_only,56.0,2.609861,0.149865,0.271187,0.149865,0.204148,0.005242,300,300,high_variance
fomc,deepseek,expert_only,72.0,2.098118,0.121106,-0.045566,0.121106,0.165774,0.00461,300,300,high_variance
fomc,deepseek,expert_only,93.0,1.855869,0.10671,-0.167691,0.10671,0.150845,0.004076,300,300,high_variance
fomc,deepseek,expert_only,120.0,1.626172,0.093785,-0.075971,0.093785,0.130018,0.003496,300,300,high_variance
fomc,deepseek,expert_only,155.0,1.358798,0.078447,-0.01146,0.078447,0.10796,0.002935,300,300,high_variance
fomc,deepseek,expert_only,200.0,1.110337,0.064054,0.044493,0.064054,0.092293,0.002526,300,300,high_variance
fomc,deepseek,dsl,20.0,3.857604,0.22163,-0.381,0.22163,0.326443,0.009055,300,300,high_variance
fomc,deepseek,dsl,26.0,3.741465,0.215273,0.30951,0.215273,0.280721,0.00775,300,300,high_variance
fomc,deepseek,dsl,33.0,3.007834,0.173641,-0.040777,0.173641,0.232449,0.006335,300,300,high_variance
fomc,deepseek,dsl,43.0,2.553626,0.147434,0.000568,0.147434,0.190899,0.005214,300,300,high_variance
fomc,deepseek,dsl,56.0,2.380624,0.136766,0.236387,0.136766,0.178394,0.005043,300,300,high_variance
fomc,deepseek,dsl,72.0,1.891352,0.109196,-0.008121,0.109196,0.14555,0.004038,300,300,high_variance
fomc,deepseek,dsl,93.0,1.63944,0.094451,-0.107121,0.094451,0.12887,0.003553,300,300,high_variance
fomc,deepseek,dsl,120.0,1.466706,0.084657,-0.034584,0.084657,0.113296,0.003083,300,300,high_variance
fomc,deepseek,dsl,155.0,1.202112,0.069327,-0.056407,0.069327,0.091571,0.002396,300,300,high_variance
fomc,deepseek,dsl,200.0,1.070566,0.06178,0.033039,0.06178,0.081862,0.002074,300,300,high_variance
fomc,deepseek,ppi,20.0,4.373548,0.252489,-0.051675,0.252489,0.32783,0.010017,300,300,high_variance
fomc,deepseek,ppi,26.0,4.500409,0.258419,0.468603,0.258419,0.314597,0.010449,300,300,high_variance
fomc,deepseek,ppi,33.0,3.406838,0.196653,-0.069634,0.196653,0.256671,0.007275,300,300,high_variance
fomc,deepseek,ppi,43.0,3.182854,0.183714,0.072574,0.183714,0.227935,0.006654,300,300,high_variance
fomc,deepseek,ppi,56.0,2.901328,0.167345,0.127966,0.167345,0.207874,0.006364,300,300,high_variance
fomc,deepseek,ppi,72.0,2.345083,0.135393,-0.007814,0.135393,0.172264,0.005095,300,300,high_variance
fomc,deepseek,ppi,93.0,2.016574,0.116372,-0.061668,0.116372,0.150223,0.004255,300,300,high_variance
fomc,deepseek,ppi,120.0,1.811766,0.104602,-0.003641,0.104602,0.132215,0.003763,300,300,high_variance
fomc,deepseek,ppi,155.0,1.508347,0.086994,-0.068855,0.086994,0.109606,0.002942,300,300,high_variance
fomc,deepseek,ppi,200.0,1.383896,0.079899,0.003197,0.079899,0.100178,0.002541,300,300,high_variance
fomc,deepseek,ppipp,20.0,3.803496,0.216061,-0.679572,0.216061,0.305195,0.008621,300,300,high_variance
fomc,deepseek,ppipp,26.0,3.275682,0.18908,0.068506,0.18908,0.252703,0.006875,300,300,high_variance
fomc,deepseek,ppipp,33.0,3.042829,0.175004,-0.266276,0.175004,0.238912,0.006369,300,300,high_variance
fomc,deepseek,ppipp,43.0,2.463976,0.141468,-0.259223,0.141468,0.193695,0.005189,300,300,high_variance
fomc,deepseek,ppipp,56.0,2.1916,0.126474,0.066486,0.126474,0.175417,0.004628,300,300,high_variance
fomc,deepseek,ppipp,72.0,1.789453,0.102841,-0.171131,0.102841,0.143738,0.003948,300,300,high_variance
fomc,deepseek,ppipp,93.0,1.616425,0.092327,-0.235665,0.092327,0.133095,0.003577,300,300,high_variance
fomc,deepseek,ppipp,120.0,1.414523,0.081159,-0.157572,0.081159,0.115232,0.003064,300,300,high_variance
fomc,deepseek,ppipp,155.0,1.191075,0.068461,-0.11222,0.068461,0.095147,0.002496,300,300,high_variance
fomc,deepseek,ppipp,200.0,0.994805,0.057351,-0.053705,0.057351,0.08234,0.002189,300,300,high_variance
