dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
fomc,gpt54,llm_only,,0.0202,0.0,-0.0202,0.0,0.098216,0.0,300,300,low_variance
fomc,gpt54,expert_only,20.0,0.945916,0.054518,0.055599,0.054518,0.326821,0.00894,300,300,low_variance
fomc,gpt54,expert_only,26.0,0.773741,0.044244,0.1069,0.044244,0.264844,0.007228,300,300,low_variance
fomc,gpt54,expert_only,33.0,0.729788,0.042128,0.012835,0.042128,0.251042,0.007336,300,300,low_variance
fomc,gpt54,expert_only,43.0,0.576238,0.033199,0.037422,0.033199,0.202114,0.005595,300,300,low_variance
fomc,gpt54,expert_only,56.0,0.4885,0.028093,0.04328,0.028093,0.180328,0.004886,300,300,low_variance
fomc,gpt54,expert_only,72.0,0.418822,0.024134,0.02595,0.024134,0.15053,0.003973,300,300,low_variance
fomc,gpt54,expert_only,93.0,0.330303,0.01907,0.00116,0.01907,0.129365,0.003565,300,300,low_variance
fomc,gpt54,expert_only,120.0,0.303385,0.017507,-0.009761,0.017507,0.11403,0.003021,300,300,low_variance
fomc,gpt54,expert_only,155.0,0.254307,0.014682,-0.00062,0.014682,0.094608,0.002564,300,300,low_variance
fomc,gpt54,expert_only,200.0,0.213369,0.012274,0.018287,0.012274,0.082297,0.002275,300,300,low_variance
fomc,gpt54,dsl,20.0,0.851178,0.049093,-0.038437,0.049093,0.314809,0.008334,300,300,low_variance
fomc,gpt54,dsl,26.0,0.684001,0.039097,0.09633,0.039097,0.244212,0.006417,300,300,low_variance
fomc,gpt54,dsl,33.0,0.48637,0.028071,0.012661,0.028071,0.189566,0.005462,300,300,low_variance
fomc,gpt54,dsl,43.0,0.422899,0.024416,0.002277,0.024416,0.15326,0.004092,300,300,low_variance
fomc,gpt54,dsl,56.0,0.3607,0.020822,-0.00655,0.020822,0.135198,0.003769,300,300,low_variance
fomc,gpt54,dsl,72.0,0.299685,0.017299,0.005755,0.017299,0.114182,0.002953,300,300,low_variance
fomc,gpt54,dsl,93.0,0.25786,0.014887,0.002629,0.014887,0.099631,0.002735,300,300,low_variance
fomc,gpt54,dsl,120.0,0.222154,0.012787,-0.017274,0.012787,0.085394,0.002375,300,300,low_variance
fomc,gpt54,dsl,155.0,0.199087,0.01147,-0.012808,0.01147,0.073543,0.002009,300,300,low_variance
fomc,gpt54,dsl,200.0,0.171853,0.009857,0.019634,0.009857,0.066276,0.001783,300,300,low_variance
fomc,gpt54,ppi,20.0,0.621987,0.035905,0.010752,0.035905,0.240232,0.00718,300,300,low_variance
fomc,gpt54,ppi,26.0,0.506134,0.029217,0.008898,0.029217,0.199833,0.005843,300,300,low_variance
fomc,gpt54,ppi,33.0,0.477864,0.027589,-0.003316,0.027589,0.195203,0.005788,300,300,low_variance
fomc,gpt54,ppi,43.0,0.415743,0.023978,0.018962,0.023978,0.160629,0.004346,300,300,low_variance
fomc,gpt54,ppi,56.0,0.365262,0.021081,-0.009764,0.021081,0.143995,0.004098,300,300,low_variance
fomc,gpt54,ppi,72.0,0.288606,0.016661,-0.003908,0.016661,0.120599,0.003175,300,300,low_variance
fomc,gpt54,ppi,93.0,0.265839,0.015347,0.003959,0.015347,0.105,0.003047,300,300,low_variance
fomc,gpt54,ppi,120.0,0.231887,0.013366,-0.013339,0.013366,0.090425,0.00248,300,300,low_variance
fomc,gpt54,ppi,155.0,0.21642,0.012416,-0.024233,0.012416,0.081194,0.002256,300,300,low_variance
fomc,gpt54,ppi,200.0,0.176909,0.010178,0.014776,0.010178,0.071699,0.00199,300,300,low_variance
fomc,gpt54,ppipp,20.0,0.64968,0.037458,0.034051,0.037458,0.245541,0.006979,300,300,low_variance
fomc,gpt54,ppipp,26.0,0.554318,0.031799,0.062575,0.031799,0.204606,0.005777,300,300,low_variance
fomc,gpt54,ppipp,33.0,0.518157,0.029911,0.008866,0.029911,0.195833,0.005575,300,300,low_variance
fomc,gpt54,ppipp,43.0,0.442601,0.025529,0.019464,0.025529,0.160596,0.00431,300,300,low_variance
fomc,gpt54,ppipp,56.0,0.363505,0.02095,0.021638,0.02095,0.141402,0.003891,300,300,low_variance
fomc,gpt54,ppipp,72.0,0.326074,0.018811,0.012969,0.018811,0.121739,0.003285,300,300,low_variance
fomc,gpt54,ppipp,93.0,0.255926,0.014776,0.001276,0.014776,0.104418,0.002907,300,300,low_variance
fomc,gpt54,ppipp,120.0,0.23863,0.013751,-0.014856,0.013751,0.092422,0.002462,300,300,low_variance
fomc,gpt54,ppipp,155.0,0.207372,0.011957,-0.010751,0.011957,0.077568,0.002105,300,300,low_variance
fomc,gpt54,ppipp,200.0,0.170789,0.009818,0.015778,0.009818,0.068191,0.001847,300,300,low_variance
