dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
fomc,mistral,llm_only,,0.543207,0.0,0.131771,0.0,300,300
fomc,mistral,expert_only,20.0,0.704822,0.01575,0.294252,0.230969,300,300
fomc,mistral,expert_only,26.0,0.549258,0.010389,0.108869,0.201938,300,300
fomc,mistral,expert_only,33.0,0.481232,0.009219,0.116359,0.175957,300,300
fomc,mistral,expert_only,43.0,0.389148,0.006912,-0.206175,0.144919,300,300
fomc,mistral,expert_only,56.0,0.33365,0.005926,0.294856,0.112836,300,300
fomc,mistral,expert_only,72.0,0.281927,0.004854,-0.018275,0.103114,300,300
fomc,mistral,expert_only,93.0,0.23894,0.003999,-0.061159,0.087695,300,300
fomc,mistral,expert_only,120.0,0.207863,0.003667,0.129567,0.081101,300,300
fomc,mistral,expert_only,155.0,0.176541,0.002925,0.10502,0.072218,300,300
fomc,mistral,expert_only,200.0,0.147616,0.002563,-0.044985,0.055785,300,300
fomc,mistral,dsl,20.0,0.573776,0.01005,0.175502,0.211705,300,300
fomc,mistral,dsl,26.0,0.467037,0.007579,0.068303,0.165871,300,300
fomc,mistral,dsl,33.0,0.401231,0.00713,0.154273,0.150645,300,300
fomc,mistral,dsl,43.0,0.324372,0.005403,-0.158209,0.124099,300,300
fomc,mistral,dsl,56.0,0.300393,0.004961,0.158423,0.107145,300,300
fomc,mistral,dsl,72.0,0.25312,0.004283,-0.090643,0.098611,300,300
fomc,mistral,dsl,93.0,0.218747,0.00358,-0.088938,0.078292,300,300
fomc,mistral,dsl,120.0,0.189741,0.003187,0.065788,0.070904,300,300
fomc,mistral,dsl,155.0,0.161157,0.002733,0.109531,0.064178,300,300
fomc,mistral,dsl,200.0,0.139733,0.002212,-0.042001,0.048262,300,300
fomc,mistral,ppi,20.0,0.584292,0.011329,0.144381,0.216752,300,300
fomc,mistral,ppi,26.0,0.493082,0.009286,-0.082118,0.182029,300,300
fomc,mistral,ppi,33.0,0.438946,0.008506,0.211103,0.173778,300,300
fomc,mistral,ppi,43.0,0.379303,0.006695,0.038901,0.14535,300,300
fomc,mistral,ppi,56.0,0.348419,0.006361,0.157761,0.142176,300,300
fomc,mistral,ppi,72.0,0.292765,0.005005,-0.125859,0.119419,300,300
fomc,mistral,ppi,93.0,0.257754,0.004285,-0.120871,0.101117,300,300
fomc,mistral,ppi,120.0,0.225323,0.003821,0.047364,0.086429,300,300
fomc,mistral,ppi,155.0,0.187032,0.003171,0.152169,0.077369,300,300
fomc,mistral,ppi,200.0,0.163436,0.002688,-0.078898,0.061262,300,300
fomc,mistral,ppipp,20.0,0.610554,0.01315,0.346972,0.205051,300,300
fomc,mistral,ppipp,26.0,0.483338,0.009115,0.132604,0.178832,300,300
fomc,mistral,ppipp,33.0,0.429024,0.008019,0.148765,0.159978,300,300
fomc,mistral,ppipp,43.0,0.352433,0.006237,-0.149121,0.131872,300,300
fomc,mistral,ppipp,56.0,0.30701,0.005295,0.296527,0.106142,300,300
fomc,mistral,ppipp,72.0,0.263388,0.004505,-0.011191,0.099024,300,300
fomc,mistral,ppipp,93.0,0.224121,0.003688,-0.054504,0.08222,300,300
fomc,mistral,ppipp,120.0,0.196267,0.003403,0.132083,0.076493,300,300
fomc,mistral,ppipp,155.0,0.166244,0.00273,0.122541,0.068478,300,300
fomc,mistral,ppipp,200.0,0.140069,0.002368,-0.039496,0.052667,300,300
