dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
fomc,mistral,llm_only,,0.16724,0.0,-0.16724,0.0,2.056915,0.0,300,300,low_variance
fomc,mistral,expert_only,20.0,2.310567,0.121935,0.937154,0.121935,2.613653,0.089978,300,300,low_variance
fomc,mistral,expert_only,26.0,2.038289,0.106231,0.876976,0.106231,2.293583,0.088693,300,300,low_variance
fomc,mistral,expert_only,33.0,1.720753,0.094492,0.531369,0.094492,1.954121,0.078963,300,300,low_variance
fomc,mistral,expert_only,43.0,1.523369,0.083198,0.49407,0.083198,1.717546,0.073289,300,300,low_variance
fomc,mistral,expert_only,56.0,1.068002,0.059604,0.273587,0.059604,1.238991,0.052261,300,300,low_variance
fomc,mistral,expert_only,72.0,0.847767,0.047783,0.183722,0.047783,0.978365,0.040295,300,300,low_variance
fomc,mistral,expert_only,93.0,0.504242,0.028822,0.071104,0.028822,0.633989,0.022005,300,300,low_variance
fomc,mistral,expert_only,120.0,0.403975,0.023227,0.036719,0.023227,0.509772,0.014507,300,300,low_variance
fomc,mistral,expert_only,155.0,0.333084,0.019154,0.029643,0.019154,0.415299,0.011683,300,300,low_variance
fomc,mistral,expert_only,200.0,0.289557,0.016446,0.052005,0.016446,0.365198,0.010263,300,300,low_variance
fomc,mistral,dsl,20.0,0.770686,0.043651,-0.149401,0.043651,1.065028,0.027269,300,300,low_variance
fomc,mistral,dsl,26.0,0.649192,0.037132,-0.088432,0.037132,0.868555,0.022213,300,300,low_variance
fomc,mistral,dsl,33.0,0.565687,0.031729,-0.134129,0.031729,0.775646,0.020781,300,300,low_variance
fomc,mistral,dsl,43.0,0.490548,0.027202,-0.136551,0.027202,0.624603,0.016289,300,300,low_variance
fomc,mistral,dsl,56.0,0.442894,0.024327,-0.136417,0.024327,0.577871,0.015568,300,300,low_variance
fomc,mistral,dsl,72.0,0.404792,0.022049,-0.134206,0.022049,0.514463,0.013767,300,300,low_variance
fomc,mistral,dsl,93.0,0.350501,0.018576,-0.13903,0.018576,0.449167,0.011705,300,300,low_variance
fomc,mistral,dsl,120.0,0.310306,0.015077,-0.167612,0.015077,0.396131,0.010583,300,300,low_variance
fomc,mistral,dsl,155.0,0.27076,0.013273,-0.143049,0.013273,0.336517,0.008759,300,300,low_variance
fomc,mistral,dsl,200.0,0.242027,0.011758,-0.130787,0.011758,0.304866,0.007977,300,300,low_variance
fomc,mistral,ppi,20.0,2.670691,0.150989,0.541593,0.150989,3.037999,0.15046,300,300,low_variance
fomc,mistral,ppi,26.0,2.555471,0.144464,0.519078,0.144464,2.899231,0.148135,300,300,low_variance
fomc,mistral,ppi,33.0,1.615635,0.092804,0.162783,0.092804,1.893035,0.09173,300,300,low_variance
fomc,mistral,ppi,43.0,1.249189,0.070902,0.228816,0.070902,1.400768,0.062943,300,300,low_variance
fomc,mistral,ppi,56.0,1.070854,0.061327,0.135801,0.061327,1.255424,0.057015,300,300,low_variance
fomc,mistral,ppi,72.0,0.890741,0.051422,0.012172,0.051422,1.054,0.049275,300,300,low_variance
fomc,mistral,ppi,93.0,0.448597,0.025898,-0.005792,0.025898,0.574141,0.015818,300,300,low_variance
fomc,mistral,ppi,120.0,0.442157,0.025434,-0.037916,0.025434,0.541127,0.01697,300,300,low_variance
fomc,mistral,ppi,155.0,0.342398,0.019566,-0.048851,0.019566,0.431576,0.011375,300,300,low_variance
fomc,mistral,ppi,200.0,0.30709,0.017654,-0.028371,0.017654,0.384943,0.010923,300,300,low_variance
fomc,mistral,ppipp,20.0,1.045206,0.059138,0.208034,0.059138,1.330162,0.03763,300,300,low_variance
fomc,mistral,ppipp,26.0,0.882857,0.049476,0.212271,0.049476,1.102031,0.032174,300,300,low_variance
fomc,mistral,ppipp,33.0,0.777218,0.044653,0.076806,0.044653,0.996118,0.028779,300,300,low_variance
fomc,mistral,ppipp,43.0,0.668861,0.038184,0.099808,0.038184,0.830438,0.023675,300,300,low_variance
fomc,mistral,ppipp,56.0,0.55495,0.0319,0.051924,0.0319,0.716058,0.020957,300,300,low_variance
fomc,mistral,ppipp,72.0,0.481848,0.027804,0.015831,0.027804,0.609317,0.016827,300,300,low_variance
fomc,mistral,ppipp,93.0,0.371303,0.021418,-0.015637,0.021418,0.498723,0.014014,300,300,low_variance
fomc,mistral,ppipp,120.0,0.341036,0.019552,-0.040251,0.019552,0.444657,0.011714,300,300,low_variance
fomc,mistral,ppipp,155.0,0.283102,0.016156,-0.042896,0.016156,0.366141,0.009627,300,300,low_variance
fomc,mistral,ppipp,200.0,0.243715,0.014025,-0.019653,0.014025,0.320773,0.008676,300,300,low_variance
