dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
fomc,mistral,llm_only,,0.51273,0.0,-0.51273,0.0,0.545427,0.0,300,300,low_variance
fomc,mistral,expert_only,20.0,0.945916,0.054518,0.055599,0.054518,0.326821,0.00894,300,300,low_variance
fomc,mistral,expert_only,26.0,0.773741,0.044244,0.1069,0.044244,0.264844,0.007228,300,300,low_variance
fomc,mistral,expert_only,33.0,0.729788,0.042128,0.012835,0.042128,0.251042,0.007336,300,300,low_variance
fomc,mistral,expert_only,43.0,0.576238,0.033199,0.037422,0.033199,0.202114,0.005595,300,300,low_variance
fomc,mistral,expert_only,56.0,0.4885,0.028093,0.04328,0.028093,0.180328,0.004886,300,300,low_variance
fomc,mistral,expert_only,72.0,0.418822,0.024134,0.02595,0.024134,0.15053,0.003973,300,300,low_variance
fomc,mistral,expert_only,93.0,0.330303,0.01907,0.00116,0.01907,0.129365,0.003565,300,300,low_variance
fomc,mistral,expert_only,120.0,0.303385,0.017507,-0.009761,0.017507,0.11403,0.003021,300,300,low_variance
fomc,mistral,expert_only,155.0,0.254307,0.014682,-0.00062,0.014682,0.094608,0.002564,300,300,low_variance
fomc,mistral,expert_only,200.0,0.213369,0.012274,0.018287,0.012274,0.082297,0.002275,300,300,low_variance
fomc,mistral,dsl,20.0,0.843229,0.04864,-0.03566,0.04864,0.312906,0.008201,300,300,low_variance
fomc,mistral,dsl,26.0,0.723706,0.041693,0.047392,0.041693,0.255444,0.00677,300,300,low_variance
fomc,mistral,dsl,33.0,0.600016,0.034633,-0.013385,0.034633,0.223132,0.005943,300,300,low_variance
fomc,mistral,dsl,43.0,0.509455,0.0294,-0.015382,0.0294,0.178101,0.00478,300,300,low_variance
fomc,mistral,dsl,56.0,0.455901,0.026321,-0.003842,0.026321,0.165857,0.004587,300,300,low_variance
fomc,mistral,dsl,72.0,0.410602,0.023704,0.004999,0.023704,0.14549,0.003944,300,300,low_variance
fomc,mistral,dsl,93.0,0.343421,0.019827,-0.001058,0.019827,0.124683,0.003313,300,300,low_variance
fomc,mistral,dsl,120.0,0.279381,0.016056,-0.026771,0.016056,0.105682,0.002843,300,300,low_variance
fomc,mistral,dsl,155.0,0.2433,0.014047,0.001206,0.014047,0.088788,0.00237,300,300,low_variance
fomc,mistral,dsl,200.0,0.216972,0.01248,0.018751,0.01248,0.079041,0.002096,300,300,low_variance
fomc,mistral,ppi,20.0,0.753172,0.043484,0.000135,0.043484,0.291439,0.007791,300,300,low_variance
fomc,mistral,ppi,26.0,0.626935,0.0361,0.045702,0.0361,0.24978,0.007137,300,300,low_variance
fomc,mistral,ppi,33.0,0.59116,0.03397,-0.057263,0.03397,0.229499,0.006518,300,300,low_variance
fomc,mistral,ppi,43.0,0.559638,0.032268,0.028765,0.032268,0.189202,0.005075,300,300,low_variance
fomc,mistral,ppi,56.0,0.465289,0.02686,-0.007396,0.02686,0.172401,0.004616,300,300,low_variance
fomc,mistral,ppi,72.0,0.387623,0.022286,-0.035362,0.022286,0.150753,0.004204,300,300,low_variance
fomc,mistral,ppi,93.0,0.340078,0.019624,-0.011312,0.019624,0.129322,0.003419,300,300,low_variance
fomc,mistral,ppi,120.0,0.315127,0.018136,-0.025118,0.018136,0.115901,0.003185,300,300,low_variance
fomc,mistral,ppi,155.0,0.255334,0.014684,-0.022635,0.014684,0.094206,0.002438,300,300,low_variance
fomc,mistral,ppi,200.0,0.223819,0.012912,0.008787,0.012912,0.082788,0.002221,300,300,low_variance
fomc,mistral,ppipp,20.0,0.806033,0.046436,0.052926,0.046436,0.292662,0.007966,300,300,low_variance
fomc,mistral,ppipp,26.0,0.678777,0.038855,0.088436,0.038855,0.240621,0.006562,300,300,low_variance
fomc,mistral,ppipp,33.0,0.63215,0.036497,0.002175,0.036497,0.22747,0.006416,300,300,low_variance
fomc,mistral,ppipp,43.0,0.522565,0.030108,0.033498,0.030108,0.184736,0.004943,300,300,low_variance
fomc,mistral,ppipp,56.0,0.443951,0.025576,0.029219,0.025576,0.165765,0.004454,300,300,low_variance
fomc,mistral,ppipp,72.0,0.387596,0.022371,0.009883,0.022371,0.14125,0.003723,300,300,low_variance
fomc,mistral,ppipp,93.0,0.308256,0.017797,-0.001447,0.017797,0.121169,0.003327,300,300,low_variance
fomc,mistral,ppipp,120.0,0.287099,0.016557,-0.013706,0.016557,0.107841,0.002824,300,300,low_variance
fomc,mistral,ppipp,155.0,0.238647,0.013773,-0.00649,0.013773,0.089131,0.002406,300,300,low_variance
fomc,mistral,ppipp,200.0,0.202504,0.011655,0.015964,0.011655,0.077917,0.002158,300,300,low_variance
