dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
fomc,deepseek,llm_only,,0.753515,0.0,-0.780303,0.0,300,300,full_logistic
fomc,deepseek,expert_only,20.0,6.044204,0.199602,1.657277,0.687204,300,300,full_logistic
fomc,deepseek,expert_only,26.0,4.443234,0.153247,1.925006,0.4354,300,300,full_logistic
fomc,deepseek,expert_only,33.0,2.854718,0.085928,1.378833,0.309042,300,300,full_logistic
fomc,deepseek,expert_only,43.0,2.265525,0.069401,0.849333,0.197425,300,300,full_logistic
fomc,deepseek,expert_only,56.0,1.647153,0.049729,0.172401,0.13846,300,300,full_logistic
fomc,deepseek,expert_only,72.0,1.3832,0.041199,0.304302,0.116955,300,300,full_logistic
fomc,deepseek,expert_only,93.0,0.979672,0.019108,0.114495,0.096063,300,300,full_logistic
fomc,deepseek,expert_only,120.0,0.826064,0.017018,0.150929,0.08054,300,300,full_logistic
fomc,deepseek,expert_only,155.0,0.692981,0.013295,0.109978,0.062603,300,300,full_logistic
fomc,deepseek,expert_only,200.0,0.593359,0.011577,-0.015354,0.058971,300,300,full_logistic
fomc,deepseek,dsl,20.0,2.269521,0.047206,0.214193,0.24933,300,300,full_logistic
fomc,deepseek,dsl,26.0,1.974354,0.041578,0.710337,0.196995,300,300,full_logistic
fomc,deepseek,dsl,33.0,1.472739,0.032783,0.315843,0.138506,300,300,full_logistic
fomc,deepseek,dsl,43.0,1.230247,0.025612,0.378325,0.114008,300,300,full_logistic
fomc,deepseek,dsl,56.0,1.014956,0.02052,0.064766,0.093916,300,300,full_logistic
fomc,deepseek,dsl,72.0,0.893176,0.01832,0.100558,0.084572,300,300,full_logistic
fomc,deepseek,dsl,93.0,0.773223,0.015799,0.022246,0.066802,300,300,full_logistic
fomc,deepseek,dsl,120.0,0.634943,0.012369,0.00015,0.05958,300,300,full_logistic
fomc,deepseek,dsl,155.0,0.55765,0.009674,-0.043033,0.046372,300,300,full_logistic
fomc,deepseek,dsl,200.0,0.479501,0.007953,-0.042026,0.045865,300,300,full_logistic
fomc,deepseek,ppi,20.0,9.898374,0.502041,3.264836,0.829001,300,300,full_logistic
fomc,deepseek,ppi,26.0,7.326483,0.369298,2.744841,0.609596,300,300,full_logistic
fomc,deepseek,ppi,33.0,6.752957,0.334734,1.708857,0.386968,300,300,full_logistic
fomc,deepseek,ppi,43.0,2.682415,0.112917,0.895876,0.190507,300,300,full_logistic
fomc,deepseek,ppi,56.0,2.693406,0.125777,0.431987,0.163401,300,300,full_logistic
fomc,deepseek,ppi,72.0,1.585426,0.059288,0.329747,0.124444,300,300,full_logistic
fomc,deepseek,ppi,93.0,1.276306,0.042327,0.238152,0.098142,300,300,full_logistic
fomc,deepseek,ppi,120.0,0.969092,0.027943,0.036347,0.077268,300,300,full_logistic
fomc,deepseek,ppi,155.0,0.763158,0.016034,0.005852,0.059794,300,300,full_logistic
fomc,deepseek,ppi,200.0,0.668798,0.013562,0.017679,0.060358,300,300,full_logistic
fomc,deepseek,ppipp,20.0,2.694108,0.072957,0.478986,0.297428,300,300,full_logistic
fomc,deepseek,ppipp,26.0,2.154215,0.05623,0.817693,0.22559,300,300,full_logistic
fomc,deepseek,ppipp,33.0,1.698525,0.040736,0.524701,0.193448,300,300,full_logistic
fomc,deepseek,ppipp,43.0,1.41496,0.031675,0.415652,0.136007,300,300,full_logistic
fomc,deepseek,ppipp,56.0,1.100207,0.023863,-0.012023,0.105254,300,300,full_logistic
fomc,deepseek,ppipp,72.0,0.952428,0.019692,0.090404,0.091183,300,300,full_logistic
fomc,deepseek,ppipp,93.0,0.785644,0.014853,-0.01704,0.073916,300,300,full_logistic
fomc,deepseek,ppipp,120.0,0.665282,0.01327,0.032817,0.065433,300,300,full_logistic
fomc,deepseek,ppipp,155.0,0.570055,0.010363,-0.003148,0.050516,300,300,full_logistic
fomc,deepseek,ppipp,200.0,0.495277,0.008721,-0.075208,0.048608,300,300,full_logistic
