dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
fomc,deepseek,llm_only,,1.158126,0.0,-1.158126,0.0,2.628779,0.0,300,300,high_variance
fomc,deepseek,expert_only,20.0,4.704633,0.271494,-0.14445,0.271494,5.713856,0.213834,300,300,high_variance
fomc,deepseek,expert_only,26.0,3.860399,0.222465,0.235554,0.222465,4.50633,0.154522,300,300,high_variance
fomc,deepseek,expert_only,33.0,2.968755,0.171318,0.092454,0.171318,3.651289,0.10669,300,300,high_variance
fomc,deepseek,expert_only,43.0,2.413824,0.139279,0.083601,0.139279,3.020516,0.086065,300,300,high_variance
fomc,deepseek,expert_only,56.0,2.023653,0.116811,0.041913,0.116811,2.571596,0.073141,300,300,high_variance
fomc,deepseek,expert_only,72.0,1.76046,0.10162,0.035046,0.10162,2.234845,0.064056,300,300,high_variance
fomc,deepseek,expert_only,93.0,1.421417,0.081893,0.092119,0.081893,1.842702,0.052853,300,300,high_variance
fomc,deepseek,expert_only,120.0,1.223368,0.070453,0.086893,0.070453,1.5723,0.043557,300,300,high_variance
fomc,deepseek,expert_only,155.0,1.044551,0.060166,0.071395,0.060166,1.387725,0.038229,300,300,high_variance
fomc,deepseek,expert_only,200.0,0.851755,0.048999,0.072174,0.048999,1.145891,0.030228,300,300,high_variance
fomc,deepseek,dsl,20.0,3.129801,0.180074,-0.260129,0.180074,3.948884,0.121076,300,300,high_variance
fomc,deepseek,dsl,26.0,2.704816,0.156115,0.066951,0.156115,3.266722,0.094006,300,300,high_variance
fomc,deepseek,dsl,33.0,2.280555,0.131618,-0.062796,0.131618,2.857311,0.086804,300,300,high_variance
fomc,deepseek,dsl,43.0,1.903502,0.109898,0.00532,0.109898,2.330186,0.067879,300,300,high_variance
fomc,deepseek,dsl,56.0,1.636231,0.09418,-0.127539,0.09418,2.002365,0.056451,300,300,high_variance
fomc,deepseek,dsl,72.0,1.45475,0.083983,-0.018439,0.083983,1.753304,0.051424,300,300,high_variance
fomc,deepseek,dsl,93.0,1.342025,0.07748,0.00991,0.07748,1.625099,0.049142,300,300,high_variance
fomc,deepseek,dsl,120.0,1.008731,0.058128,-0.062155,0.058128,1.249803,0.035966,300,300,high_variance
fomc,deepseek,dsl,155.0,0.924671,0.053216,-0.073631,0.053216,1.151176,0.028987,300,300,high_variance
fomc,deepseek,dsl,200.0,0.7614,0.043801,-0.064505,0.043801,0.968758,0.025183,300,300,high_variance
fomc,deepseek,ppi,20.0,19.150632,1.099338,2.045325,1.099338,19.889152,1.087955,300,300,high_variance
fomc,deepseek,ppi,26.0,14.877421,0.852796,1.777398,0.852796,15.171156,0.82657,300,300,high_variance
fomc,deepseek,ppi,33.0,10.089593,0.578986,1.110143,0.578986,10.742323,0.565947,300,300,high_variance
fomc,deepseek,ppi,43.0,3.305764,0.189759,0.354387,0.189759,3.679556,0.135968,300,300,high_variance
fomc,deepseek,ppi,56.0,2.730583,0.157644,0.023891,0.157644,3.110687,0.113273,300,300,high_variance
fomc,deepseek,ppi,72.0,2.329685,0.133845,0.23035,0.133845,2.637748,0.093561,300,300,high_variance
fomc,deepseek,ppi,93.0,2.351265,0.13472,0.289087,0.13472,2.582821,0.096138,300,300,high_variance
fomc,deepseek,ppi,120.0,1.648651,0.095123,0.05938,0.095123,1.892545,0.062758,300,300,high_variance
fomc,deepseek,ppi,155.0,1.452605,0.083866,0.004975,0.083866,1.684647,0.046761,300,300,high_variance
fomc,deepseek,ppi,200.0,1.253873,0.072361,0.036817,0.072361,1.460118,0.043252,300,300,high_variance
fomc,deepseek,ppipp,20.0,3.43125,0.19666,-0.413504,0.19666,4.294699,0.155802,300,300,high_variance
fomc,deepseek,ppipp,26.0,2.837797,0.163832,-0.029251,0.163832,3.46223,0.113801,300,300,high_variance
fomc,deepseek,ppipp,33.0,2.292322,0.132061,-0.150697,0.132061,2.995514,0.087128,300,300,high_variance
fomc,deepseek,ppipp,43.0,1.919285,0.110715,-0.079474,0.110715,2.50686,0.070675,300,300,high_variance
fomc,deepseek,ppipp,56.0,1.65084,0.095023,-0.128206,0.095023,2.162524,0.060312,300,300,high_variance
fomc,deepseek,ppipp,72.0,1.465832,0.084404,-0.107038,0.084404,1.909041,0.05353,300,300,high_variance
fomc,deepseek,ppipp,93.0,1.211464,0.069901,-0.04234,0.069901,1.626287,0.046379,300,300,high_variance
fomc,deepseek,ppipp,120.0,1.02265,0.05898,-0.047028,0.05898,1.347089,0.038545,300,300,high_variance
fomc,deepseek,ppipp,155.0,0.885634,0.05096,-0.072671,0.05096,1.213353,0.032211,300,300,high_variance
fomc,deepseek,ppipp,200.0,0.740111,0.042672,-0.038727,0.042672,1.02176,0.026958,300,300,high_variance
