dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
fomc,deepseek,llm_only,,0.196147,0.0,0.196147,0.0,300,prevalence
fomc,deepseek,expert_only,20.0,0.218803,0.01263,-0.004678,0.01263,300,prevalence
fomc,deepseek,expert_only,26.0,0.205626,0.011849,0.012619,0.011849,300,prevalence
fomc,deepseek,expert_only,33.0,0.174638,0.010079,0.004824,0.010079,300,prevalence
fomc,deepseek,expert_only,43.0,0.152711,0.008806,-0.007463,0.008806,300,prevalence
fomc,deepseek,expert_only,56.0,0.132251,0.007603,0.012188,0.007603,300,prevalence
fomc,deepseek,expert_only,72.0,0.122686,0.007082,0.001843,0.007082,300,prevalence
fomc,deepseek,expert_only,93.0,0.103432,0.005923,-0.013194,0.005923,300,prevalence
fomc,deepseek,expert_only,120.0,0.089437,0.005163,-0.001835,0.005163,300,prevalence
fomc,deepseek,expert_only,155.0,0.076061,0.004387,0.003302,0.004387,300,prevalence
fomc,deepseek,expert_only,200.0,0.065442,0.003769,0.004569,0.003769,300,prevalence
fomc,deepseek,dsl,20.0,0.220397,0.012724,-0.001217,0.012724,300,prevalence
fomc,deepseek,dsl,26.0,0.195905,0.011276,0.015391,0.011276,300,prevalence
fomc,deepseek,dsl,33.0,0.145956,0.008427,-0.000618,0.008427,300,prevalence
fomc,deepseek,dsl,43.0,0.13699,0.007901,-0.006235,0.007901,300,prevalence
fomc,deepseek,dsl,56.0,0.109294,0.006249,0.015228,0.006249,300,prevalence
fomc,deepseek,dsl,72.0,0.101831,0.005879,0.001415,0.005879,300,prevalence
fomc,deepseek,dsl,93.0,0.083888,0.004822,-0.007865,0.004822,300,prevalence
fomc,deepseek,dsl,120.0,0.077023,0.004446,-0.001402,0.004446,300,prevalence
fomc,deepseek,dsl,155.0,0.061933,0.003576,-0.000631,0.003576,300,prevalence
fomc,deepseek,dsl,200.0,0.053665,0.003097,0.001566,0.003097,300,prevalence
fomc,deepseek,ppi,20.0,0.183296,0.010583,-0.000559,0.010583,300,prevalence
fomc,deepseek,ppi,26.0,0.172254,0.009908,0.014825,0.009908,300,prevalence
fomc,deepseek,ppi,33.0,0.143578,0.008283,0.005686,0.008283,300,prevalence
fomc,deepseek,ppi,43.0,0.134442,0.007762,0.000365,0.007762,300,prevalence
fomc,deepseek,ppi,56.0,0.109036,0.006209,0.017942,0.006209,300,prevalence
fomc,deepseek,ppi,72.0,0.101771,0.00587,0.004415,0.00587,300,prevalence
fomc,deepseek,ppi,93.0,0.083256,0.004796,-0.005595,0.004796,300,prevalence
fomc,deepseek,ppi,120.0,0.07715,0.004454,0.000359,0.004454,300,prevalence
fomc,deepseek,ppi,155.0,0.061876,0.003572,0.000474,0.003572,300,prevalence
fomc,deepseek,ppi,200.0,0.053919,0.00311,0.002403,0.00311,300,prevalence
fomc,deepseek,ppipp,20.0,0.187364,0.010813,-0.005116,0.010813,300,prevalence
fomc,deepseek,ppipp,26.0,0.175093,0.010088,0.011367,0.010088,300,prevalence
fomc,deepseek,ppipp,33.0,0.150049,0.008661,0.003583,0.008661,300,prevalence
fomc,deepseek,ppipp,43.0,0.136306,0.007866,-0.004332,0.007866,300,prevalence
fomc,deepseek,ppipp,56.0,0.114093,0.006535,0.014377,0.006535,300,prevalence
fomc,deepseek,ppipp,72.0,0.106713,0.006159,0.0026,0.006159,300,prevalence
fomc,deepseek,ppipp,93.0,0.088836,0.005098,-0.009793,0.005098,300,prevalence
fomc,deepseek,ppipp,120.0,0.079279,0.004577,-0.000986,0.004577,300,prevalence
fomc,deepseek,ppipp,155.0,0.065668,0.00379,0.001664,0.00379,300,prevalence
fomc,deepseek,ppipp,200.0,0.057299,0.003302,0.003367,0.003302,300,prevalence
