dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
fomc,gpt54,llm_only,,0.100997,0.0,0.100997,0.0,0.388419,0.0,300,300,low_variance
fomc,gpt54,expert_only,20.0,2.28389,0.124285,0.76295,0.124285,2.607744,0.091523,300,300,low_variance
fomc,gpt54,expert_only,26.0,2.032939,0.105721,0.883047,0.105721,2.296748,0.089104,300,300,low_variance
fomc,gpt54,expert_only,33.0,1.564654,0.087408,0.395087,0.087408,1.809261,0.075636,300,300,low_variance
fomc,gpt54,expert_only,43.0,1.357523,0.07581,0.34459,0.07581,1.583884,0.067415,300,300,low_variance
fomc,gpt54,expert_only,56.0,1.018725,0.05721,0.236431,0.05721,1.197989,0.051292,300,300,low_variance
fomc,gpt54,expert_only,72.0,0.896909,0.050664,0.185474,0.050664,1.029333,0.043433,300,300,low_variance
fomc,gpt54,expert_only,93.0,0.442724,0.025095,0.084102,0.025095,0.572284,0.016079,300,300,low_variance
fomc,gpt54,expert_only,120.0,0.409031,0.023555,0.029196,0.023555,0.513064,0.01591,300,300,low_variance
fomc,gpt54,expert_only,155.0,0.31964,0.018389,0.026988,0.018389,0.425738,0.012274,300,300,low_variance
fomc,gpt54,expert_only,200.0,0.287628,0.016261,0.05836,0.016261,0.370128,0.010643,300,300,low_variance
fomc,gpt54,dsl,20.0,0.819233,0.04558,-0.218789,0.04558,1.067925,0.02942,300,300,low_variance
fomc,gpt54,dsl,26.0,0.681528,0.039322,0.024921,0.039322,0.853963,0.021915,300,300,low_variance
fomc,gpt54,dsl,33.0,0.500742,0.028168,-0.11278,0.028168,0.676358,0.018669,300,300,low_variance
fomc,gpt54,dsl,43.0,0.435899,0.023095,-0.173197,0.023095,0.571047,0.014146,300,300,low_variance
fomc,gpt54,dsl,56.0,0.375078,0.020462,-0.122801,0.020462,0.496443,0.012815,300,300,low_variance
fomc,gpt54,dsl,72.0,0.322583,0.017137,-0.126306,0.017137,0.434347,0.011547,300,300,low_variance
fomc,gpt54,dsl,93.0,0.268352,0.013759,-0.12338,0.013759,0.369592,0.010388,300,300,low_variance
fomc,gpt54,dsl,120.0,0.273286,0.012596,-0.164585,0.012596,0.342571,0.008843,300,300,low_variance
fomc,gpt54,dsl,155.0,0.236197,0.010834,-0.143455,0.010834,0.301405,0.008134,300,300,low_variance
fomc,gpt54,dsl,200.0,0.216592,0.009487,-0.141115,0.009487,0.270612,0.006802,300,300,low_variance
fomc,gpt54,ppi,20.0,3.154057,0.180756,0.382386,0.180756,3.545752,0.187224,300,300,low_variance
fomc,gpt54,ppi,26.0,1.897555,0.10811,0.307169,0.10811,2.144319,0.108367,300,300,low_variance
fomc,gpt54,ppi,33.0,1.580108,0.09023,0.232992,0.09023,1.81983,0.090008,300,300,low_variance
fomc,gpt54,ppi,43.0,1.00944,0.058256,0.028921,0.058256,1.192641,0.054915,300,300,low_variance
fomc,gpt54,ppi,56.0,0.572574,0.032944,0.047493,0.032944,0.746375,0.025944,300,300,low_variance
fomc,gpt54,ppi,72.0,0.697964,0.040236,0.038484,0.040236,0.831817,0.038395,300,300,low_variance
fomc,gpt54,ppi,93.0,0.469488,0.02709,0.015878,0.02709,0.59374,0.024229,300,300,low_variance
fomc,gpt54,ppi,120.0,0.368026,0.021139,-0.037245,0.021139,0.472134,0.016663,300,300,low_variance
fomc,gpt54,ppi,155.0,0.276938,0.015942,-0.02127,0.015942,0.367574,0.010511,300,300,low_variance
fomc,gpt54,ppi,200.0,0.23937,0.013467,-0.053764,0.013467,0.323823,0.008338,300,300,low_variance
fomc,gpt54,ppipp,20.0,0.92584,0.053387,0.04618,0.053387,1.1803,0.036614,300,300,low_variance
fomc,gpt54,ppipp,26.0,0.753121,0.042563,0.154008,0.042563,0.947992,0.029544,300,300,low_variance
fomc,gpt54,ppipp,33.0,0.664159,0.03832,0.023887,0.03832,0.869066,0.028013,300,300,low_variance
fomc,gpt54,ppipp,43.0,0.570014,0.032904,0.01109,0.032904,0.749274,0.022309,300,300,low_variance
fomc,gpt54,ppipp,56.0,0.461709,0.026614,0.026162,0.026614,0.614701,0.018701,300,300,low_variance
fomc,gpt54,ppipp,72.0,0.43367,0.025022,0.015249,0.025022,0.556893,0.016564,300,300,low_variance
fomc,gpt54,ppipp,93.0,0.315143,0.018193,-0.004104,0.018193,0.438779,0.012128,300,300,low_variance
fomc,gpt54,ppipp,120.0,0.307454,0.017526,-0.048783,0.017526,0.399772,0.011414,300,300,low_variance
fomc,gpt54,ppipp,155.0,0.235756,0.013414,-0.039976,0.013414,0.33053,0.009145,300,300,low_variance
fomc,gpt54,ppipp,200.0,0.213658,0.012252,-0.024787,0.012252,0.288505,0.00745,300,300,low_variance
