dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
fomc,llama,llm_only,,0.600974,0.0,-0.865302,0.0,300,300,full_logistic
fomc,llama,expert_only,20.0,6.044204,0.199602,1.657277,0.687204,300,300,full_logistic
fomc,llama,expert_only,26.0,4.443234,0.153247,1.925006,0.4354,300,300,full_logistic
fomc,llama,expert_only,33.0,2.854718,0.085928,1.378833,0.309042,300,300,full_logistic
fomc,llama,expert_only,43.0,2.265525,0.069401,0.849333,0.197425,300,300,full_logistic
fomc,llama,expert_only,56.0,1.647153,0.049729,0.172401,0.13846,300,300,full_logistic
fomc,llama,expert_only,72.0,1.3832,0.041199,0.304302,0.116955,300,300,full_logistic
fomc,llama,expert_only,93.0,0.979672,0.019108,0.114495,0.096063,300,300,full_logistic
fomc,llama,expert_only,120.0,0.826064,0.017018,0.150929,0.08054,300,300,full_logistic
fomc,llama,expert_only,155.0,0.692981,0.013295,0.109978,0.062603,300,300,full_logistic
fomc,llama,expert_only,200.0,0.593359,0.011577,-0.015354,0.058971,300,300,full_logistic
fomc,llama,dsl,20.0,2.285447,0.047169,0.260464,0.251663,300,300,full_logistic
fomc,llama,dsl,26.0,1.93269,0.039842,0.688019,0.201139,300,300,full_logistic
fomc,llama,dsl,33.0,1.505228,0.028991,0.513256,0.143778,300,300,full_logistic
fomc,llama,dsl,43.0,1.305429,0.025197,0.190526,0.116756,300,300,full_logistic
fomc,llama,dsl,56.0,1.116759,0.021148,0.194495,0.103136,300,300,full_logistic
fomc,llama,dsl,72.0,0.945436,0.017218,0.102633,0.090361,300,300,full_logistic
fomc,llama,dsl,93.0,0.789973,0.0151,0.000467,0.072991,300,300,full_logistic
fomc,llama,dsl,120.0,0.664922,0.012119,0.067895,0.065363,300,300,full_logistic
fomc,llama,dsl,155.0,0.586567,0.01011,-0.036753,0.052345,300,300,full_logistic
fomc,llama,dsl,200.0,0.507701,0.008586,0.001122,0.047125,300,300,full_logistic
fomc,llama,ppi,20.0,10.103757,0.486103,3.628761,0.784605,300,300,full_logistic
fomc,llama,ppi,26.0,8.32071,0.410776,2.84674,0.56585,300,300,full_logistic
fomc,llama,ppi,33.0,6.131638,0.299996,2.124125,0.407641,300,300,full_logistic
fomc,llama,ppi,43.0,3.557398,0.165682,0.748966,0.263939,300,300,full_logistic
fomc,llama,ppi,56.0,3.274484,0.14935,0.909377,0.1895,300,300,full_logistic
fomc,llama,ppi,72.0,2.095976,0.088517,0.359578,0.136487,300,300,full_logistic
fomc,llama,ppi,93.0,1.599302,0.067807,0.188745,0.117186,300,300,full_logistic
fomc,llama,ppi,120.0,0.966948,0.024821,0.14505,0.084258,300,300,full_logistic
fomc,llama,ppi,155.0,0.840522,0.019933,0.000581,0.067524,300,300,full_logistic
fomc,llama,ppi,200.0,0.765515,0.018289,0.146873,0.062529,300,300,full_logistic
fomc,llama,ppipp,20.0,2.811055,0.07096,0.600671,0.313732,300,300,full_logistic
fomc,llama,ppipp,26.0,2.240636,0.055549,0.798254,0.234852,300,300,full_logistic
fomc,llama,ppipp,33.0,1.789218,0.041434,0.68305,0.202114,300,300,full_logistic
fomc,llama,ppipp,43.0,1.461164,0.031547,0.389614,0.142019,300,300,full_logistic
fomc,llama,ppipp,56.0,1.168032,0.025276,0.02572,0.110328,300,300,full_logistic
fomc,llama,ppipp,72.0,0.999041,0.020109,0.121373,0.094824,300,300,full_logistic
fomc,llama,ppipp,93.0,0.812327,0.015165,0.014495,0.078899,300,300,full_logistic
fomc,llama,ppipp,120.0,0.694301,0.013081,0.067779,0.067727,300,300,full_logistic
fomc,llama,ppipp,155.0,0.592245,0.010947,0.009352,0.052938,300,300,full_logistic
fomc,llama,ppipp,200.0,0.511996,0.00918,-0.052544,0.050126,300,300,full_logistic
