dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
fomc,mistral,llm_only,,0.059403,0.0,-0.059403,0.0,2.18034,0.0,300,300,low_variance
fomc,mistral,expert_only,20.0,2.28389,0.124285,0.76295,0.124285,2.607744,0.091523,300,300,low_variance
fomc,mistral,expert_only,26.0,2.032939,0.105721,0.883047,0.105721,2.296748,0.089104,300,300,low_variance
fomc,mistral,expert_only,33.0,1.564654,0.087408,0.395087,0.087408,1.809261,0.075636,300,300,low_variance
fomc,mistral,expert_only,43.0,1.357523,0.07581,0.34459,0.07581,1.583884,0.067415,300,300,low_variance
fomc,mistral,expert_only,56.0,1.018725,0.05721,0.236431,0.05721,1.197989,0.051292,300,300,low_variance
fomc,mistral,expert_only,72.0,0.896909,0.050664,0.185474,0.050664,1.029333,0.043433,300,300,low_variance
fomc,mistral,expert_only,93.0,0.442724,0.025095,0.084102,0.025095,0.572284,0.016079,300,300,low_variance
fomc,mistral,expert_only,120.0,0.409031,0.023555,0.029196,0.023555,0.513064,0.01591,300,300,low_variance
fomc,mistral,expert_only,155.0,0.31964,0.018389,0.026988,0.018389,0.425738,0.012274,300,300,low_variance
fomc,mistral,expert_only,200.0,0.287628,0.016261,0.05836,0.016261,0.370128,0.010643,300,300,low_variance
fomc,mistral,dsl,20.0,0.809139,0.044952,-0.220227,0.044952,1.056426,0.028588,300,300,low_variance
fomc,mistral,dsl,26.0,0.701818,0.040456,-0.039264,0.040456,0.887935,0.022982,300,300,low_variance
fomc,mistral,dsl,33.0,0.580908,0.032665,-0.131743,0.032665,0.773327,0.021167,300,300,low_variance
fomc,mistral,dsl,43.0,0.514371,0.028689,-0.132882,0.028689,0.677851,0.016857,300,300,low_variance
fomc,mistral,dsl,56.0,0.453283,0.02515,-0.125345,0.02515,0.580879,0.015673,300,300,low_variance
fomc,mistral,dsl,72.0,0.417063,0.022947,-0.126389,0.022947,0.535366,0.013793,300,300,low_variance
fomc,mistral,dsl,93.0,0.329433,0.017824,-0.114946,0.017824,0.446125,0.011883,300,300,low_variance
fomc,mistral,dsl,120.0,0.324654,0.015986,-0.16951,0.015986,0.400343,0.011297,300,300,low_variance
fomc,mistral,dsl,155.0,0.283455,0.014192,-0.141136,0.014192,0.354516,0.009397,300,300,low_variance
fomc,mistral,dsl,200.0,0.242156,0.01168,-0.1331,0.01168,0.306627,0.007757,300,300,low_variance
fomc,mistral,ppi,20.0,3.575173,0.201507,0.774792,0.201507,4.036386,0.205187,300,300,low_variance
fomc,mistral,ppi,26.0,2.623843,0.15001,0.365599,0.15001,2.969982,0.154484,300,300,low_variance
fomc,mistral,ppi,33.0,1.49837,0.085833,0.186911,0.085833,1.733674,0.082076,300,300,low_variance
fomc,mistral,ppi,43.0,1.299566,0.074341,0.17581,0.074341,1.523994,0.071166,300,300,low_variance
fomc,mistral,ppi,56.0,0.635411,0.036616,0.039024,0.036616,0.79064,0.027357,300,300,low_variance
fomc,mistral,ppi,72.0,0.713899,0.041047,0.064861,0.041047,0.853048,0.034368,300,300,low_variance
fomc,mistral,ppi,93.0,0.597498,0.034379,0.049266,0.034379,0.73554,0.027706,300,300,low_variance
fomc,mistral,ppi,120.0,0.441171,0.025352,-0.042527,0.025352,0.54037,0.01617,300,300,low_variance
fomc,mistral,ppi,155.0,0.350685,0.020243,-0.006413,0.020243,0.442849,0.012424,300,300,low_variance
fomc,mistral,ppi,200.0,0.274221,0.015634,-0.043234,0.015634,0.364731,0.009417,300,300,low_variance
fomc,mistral,ppipp,20.0,1.112708,0.06379,0.131802,0.06379,1.38841,0.040504,300,300,low_variance
fomc,mistral,ppipp,26.0,0.911416,0.051044,0.221418,0.051044,1.124939,0.032717,300,300,low_variance
fomc,mistral,ppipp,33.0,0.759966,0.043767,0.053774,0.043767,0.982333,0.030176,300,300,low_variance
fomc,mistral,ppipp,43.0,0.644438,0.037121,0.043647,0.037121,0.849537,0.024562,300,300,low_variance
fomc,mistral,ppipp,56.0,0.523742,0.03015,0.040072,0.03015,0.69278,0.020622,300,300,low_variance
fomc,mistral,ppipp,72.0,0.508504,0.029303,0.031254,0.029303,0.642631,0.019061,300,300,low_variance
fomc,mistral,ppipp,93.0,0.369952,0.021354,0.008189,0.021354,0.502053,0.013447,300,300,low_variance
fomc,mistral,ppipp,120.0,0.350938,0.020081,-0.046752,0.020081,0.451128,0.013028,300,300,low_variance
fomc,mistral,ppipp,155.0,0.277834,0.01591,-0.035375,0.01591,0.378723,0.010536,300,300,low_variance
fomc,mistral,ppipp,200.0,0.237594,0.013689,-0.015211,0.013689,0.32137,0.008617,300,300,low_variance
