dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,mistral,llm_only,,0.915408,0.0,-41.692006,0.0,300,300,full_logistic
misogynistic,mistral,expert_only,20.0,0.888033,0.007001,44.517721,8.299433,300,300,full_logistic
misogynistic,mistral,expert_only,26.0,0.82842,0.006625,46.059201,8.11507,300,300,full_logistic
misogynistic,mistral,expert_only,33.0,0.814612,0.006498,46.717906,7.82132,300,300,full_logistic
misogynistic,mistral,expert_only,43.0,0.770307,0.006543,48.627439,7.935789,300,300,full_logistic
misogynistic,mistral,expert_only,56.0,0.721438,0.00501,28.011764,6.40694,300,300,full_logistic
misogynistic,mistral,expert_only,72.0,0.687509,0.004706,35.85575,5.781616,300,300,full_logistic
misogynistic,mistral,expert_only,93.0,0.660501,0.004792,23.93501,5.315206,300,300,full_logistic
misogynistic,mistral,expert_only,120.0,0.620666,0.00427,16.318532,4.473607,300,300,full_logistic
misogynistic,mistral,expert_only,155.0,0.598407,0.003658,15.20098,4.112792,300,300,full_logistic
misogynistic,mistral,expert_only,200.0,0.575498,0.002844,13.284469,3.082272,300,300,full_logistic
misogynistic,mistral,dsl,20.0,0.966237,0.001801,14.798402,1.176798,300,300,full_logistic
misogynistic,mistral,dsl,26.0,0.963876,0.001343,18.27314,1.05178,300,300,full_logistic
misogynistic,mistral,dsl,33.0,0.961402,0.001438,17.244963,0.825011,300,300,full_logistic
misogynistic,mistral,dsl,43.0,0.96012,0.001387,17.756312,0.726582,300,300,full_logistic
misogynistic,mistral,dsl,56.0,0.959128,0.001235,18.095178,0.619956,300,300,full_logistic
misogynistic,mistral,dsl,72.0,0.960187,0.001099,17.702944,0.562686,300,300,full_logistic
misogynistic,mistral,dsl,93.0,0.95881,0.001011,18.47191,0.505926,300,300,full_logistic
misogynistic,mistral,dsl,120.0,0.958505,0.000894,18.741934,0.440249,300,300,full_logistic
misogynistic,mistral,dsl,155.0,0.957741,0.000761,18.613015,0.392968,300,300,full_logistic
misogynistic,mistral,dsl,200.0,0.957026,0.000706,19.235598,0.320135,300,300,full_logistic
misogynistic,mistral,ppi,20.0,0.940621,0.008084,29.293183,3.81494,300,300,full_logistic
misogynistic,mistral,ppi,26.0,0.948046,0.005913,23.920843,2.770356,300,300,full_logistic
misogynistic,mistral,ppi,33.0,0.927594,0.007466,24.287039,2.630913,300,300,full_logistic
misogynistic,mistral,ppi,43.0,0.921556,0.007202,23.778836,2.243246,300,300,full_logistic
misogynistic,mistral,ppi,56.0,0.92369,0.005974,22.242188,1.679014,300,300,full_logistic
misogynistic,mistral,ppi,72.0,0.926713,0.005517,20.400784,1.734832,300,300,full_logistic
misogynistic,mistral,ppi,93.0,0.924341,0.004251,22.508226,1.508293,300,300,full_logistic
misogynistic,mistral,ppi,120.0,0.925262,0.003911,20.979855,1.215692,300,300,full_logistic
misogynistic,mistral,ppi,155.0,0.925982,0.003283,19.06454,1.131126,300,300,full_logistic
misogynistic,mistral,ppi,200.0,0.925211,0.002926,19.532589,0.929677,300,300,full_logistic
