dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
misogynistic,gpt54,llm_only,,0.361594,0.0,-0.682726,0.0,300,300
misogynistic,gpt54,expert_only,20.0,2.237669,0.070734,0.875506,0.344719,300,300
misogynistic,gpt54,expert_only,26.0,1.728087,0.052563,0.032556,0.226744,300,300
misogynistic,gpt54,expert_only,33.0,1.274252,0.036572,0.916867,0.182509,300,300
misogynistic,gpt54,expert_only,43.0,1.052588,0.029846,0.63325,0.13733,300,300
misogynistic,gpt54,expert_only,56.0,0.837374,0.024501,0.424663,0.118517,300,300
misogynistic,gpt54,expert_only,72.0,0.605156,0.01583,0.573916,0.087696,300,300
misogynistic,gpt54,expert_only,93.0,0.525625,0.012849,0.535346,0.071806,300,300
misogynistic,gpt54,expert_only,120.0,0.444596,0.011343,0.376456,0.058022,300,300
misogynistic,gpt54,expert_only,155.0,0.372342,0.008979,0.272494,0.049221,300,300
misogynistic,gpt54,expert_only,200.0,0.294744,0.006476,0.13588,0.040575,300,300
misogynistic,gpt54,dsl,20.0,0.672207,0.017526,-0.141004,0.112924,300,300
misogynistic,gpt54,dsl,26.0,0.611211,0.016248,0.059933,0.101739,300,300
misogynistic,gpt54,dsl,33.0,0.466489,0.014312,0.017643,0.078416,300,300
misogynistic,gpt54,dsl,43.0,0.386341,0.010864,0.007438,0.062688,300,300
misogynistic,gpt54,dsl,56.0,0.337747,0.008974,-0.073178,0.052945,300,300
misogynistic,gpt54,dsl,72.0,0.303211,0.008458,0.004894,0.047694,300,300
misogynistic,gpt54,dsl,93.0,0.268567,0.006919,0.078264,0.04289,300,300
misogynistic,gpt54,dsl,120.0,0.220203,0.00521,0.02289,0.034337,300,300
misogynistic,gpt54,dsl,155.0,0.187789,0.004024,-0.001648,0.030003,300,300
misogynistic,gpt54,dsl,200.0,0.165665,0.003678,-0.055104,0.025886,300,300
misogynistic,gpt54,ppi,20.0,0.757076,0.029975,0.118503,0.114081,300,300
misogynistic,gpt54,ppi,26.0,0.708874,0.025806,0.249549,0.11127,300,300
misogynistic,gpt54,ppi,33.0,0.590969,0.020745,-0.02872,0.089197,300,300
misogynistic,gpt54,ppi,43.0,0.478324,0.014455,-0.035603,0.072338,300,300
misogynistic,gpt54,ppi,56.0,0.416877,0.012227,-0.115531,0.063813,300,300
misogynistic,gpt54,ppi,72.0,0.393724,0.011817,0.001523,0.058932,300,300
misogynistic,gpt54,ppi,93.0,0.348633,0.00987,0.096039,0.052609,300,300
misogynistic,gpt54,ppi,120.0,0.283258,0.007185,0.035919,0.042273,300,300
misogynistic,gpt54,ppi,155.0,0.242591,0.005727,0.02769,0.038119,300,300
misogynistic,gpt54,ppi,200.0,0.212563,0.004952,-0.051885,0.031811,300,300
misogynistic,gpt54,ppipp,20.0,1.034611,0.035715,0.015193,0.15985,300,300
misogynistic,gpt54,ppipp,26.0,0.859159,0.027587,0.127326,0.117244,300,300
misogynistic,gpt54,ppipp,33.0,0.655734,0.017921,0.334871,0.101042,300,300
misogynistic,gpt54,ppipp,43.0,0.538733,0.012737,0.138661,0.076562,300,300
misogynistic,gpt54,ppipp,56.0,0.467822,0.011688,0.103317,0.07095,300,300
misogynistic,gpt54,ppipp,72.0,0.376396,0.008854,0.204618,0.058205,300,300
misogynistic,gpt54,ppipp,93.0,0.338662,0.006847,0.242255,0.050698,300,300
misogynistic,gpt54,ppipp,120.0,0.285207,0.005978,0.152394,0.041568,300,300
misogynistic,gpt54,ppipp,155.0,0.252886,0.005718,0.099851,0.037652,300,300
misogynistic,gpt54,ppipp,200.0,0.216741,0.004158,0.038936,0.03213,300,300
