dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
cuad,mistral,llm_only,,0.0,0.0,0.0,0.0,300,prevalence
cuad,mistral,expert_only,20.0,0.230529,0.013307,0.0045,0.013307,300,prevalence
cuad,mistral,expert_only,26.0,0.191267,0.01104,-0.00452,0.01104,300,prevalence
cuad,mistral,expert_only,33.0,0.170691,0.009854,0.002161,0.009854,300,prevalence
cuad,mistral,expert_only,43.0,0.14588,0.008422,0.000142,0.008422,300,prevalence
cuad,mistral,expert_only,56.0,0.134609,0.007765,-0.005474,0.007765,300,prevalence
cuad,mistral,expert_only,72.0,0.118468,0.006825,0.007729,0.006825,300,prevalence
cuad,mistral,expert_only,93.0,0.100985,0.005799,-0.010482,0.005799,300,prevalence
cuad,mistral,expert_only,120.0,0.090884,0.005245,0.002662,0.005245,300,prevalence
cuad,mistral,expert_only,155.0,0.075171,0.004314,0.008153,0.004314,300,prevalence
cuad,mistral,expert_only,200.0,0.06263,0.003614,-0.002248,0.003614,300,prevalence
cuad,mistral,dsl,20.0,0.232394,0.013415,0.004627,0.013415,300,prevalence
cuad,mistral,dsl,26.0,0.172678,0.009958,-0.008219,0.009958,300,prevalence
cuad,mistral,dsl,33.0,0.097938,0.005654,0.000846,0.005654,300,prevalence
cuad,mistral,dsl,43.0,0.080375,0.004635,0.004012,0.004635,300,prevalence
cuad,mistral,dsl,56.0,0.075244,0.004333,-0.005515,0.004333,300,prevalence
cuad,mistral,dsl,72.0,0.06064,0.003501,-0.000304,0.003501,300,prevalence
cuad,mistral,dsl,93.0,0.052187,0.003012,-0.001203,0.003012,300,prevalence
cuad,mistral,dsl,120.0,0.046861,0.002705,-0.000502,0.002705,300,prevalence
cuad,mistral,dsl,155.0,0.040576,0.002341,0.001716,0.002341,300,prevalence
cuad,mistral,dsl,200.0,0.034914,0.002015,-0.000645,0.002015,300,prevalence
cuad,mistral,ppi,20.0,0.12488,0.00721,-0.001387,0.00721,300,prevalence
cuad,mistral,ppi,26.0,0.105963,0.006112,-0.0045,0.006112,300,prevalence
cuad,mistral,ppi,33.0,0.091705,0.005294,-0.001719,0.005294,300,prevalence
cuad,mistral,ppi,43.0,0.079484,0.004584,0.003644,0.004584,300,prevalence
cuad,mistral,ppi,56.0,0.074659,0.004298,-0.005749,0.004298,300,prevalence
cuad,mistral,ppi,72.0,0.060073,0.003468,-0.000311,0.003468,300,prevalence
cuad,mistral,ppi,93.0,0.05221,0.003013,-0.001267,0.003013,300,prevalence
cuad,mistral,ppi,120.0,0.046586,0.002689,-0.000653,0.002689,300,prevalence
cuad,mistral,ppi,155.0,0.040505,0.002336,0.001847,0.002336,300,prevalence
cuad,mistral,ppi,200.0,0.034685,0.002002,-0.000639,0.002002,300,prevalence
