dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,claude,llm_only,,0.89446,0.0,-2.474572,0.0,300,300,full_logistic
misogynistic,claude,expert_only,20.0,1.341821,0.02729,3.347763,1.112836,300,300,full_logistic
misogynistic,claude,expert_only,26.0,1.220792,0.029747,6.086742,1.074837,300,300,full_logistic
misogynistic,claude,expert_only,33.0,0.990186,0.024031,1.65413,0.764522,300,300,full_logistic
misogynistic,claude,expert_only,43.0,0.829,0.019549,2.926447,0.644632,300,300,full_logistic
misogynistic,claude,expert_only,56.0,0.727745,0.017291,1.530849,0.480688,300,300,full_logistic
misogynistic,claude,expert_only,72.0,0.636149,0.014185,2.808504,0.434328,300,300,full_logistic
misogynistic,claude,expert_only,93.0,0.508213,0.008607,1.676805,0.302765,300,300,full_logistic
misogynistic,claude,expert_only,120.0,0.444014,0.006749,0.79436,0.23959,300,300,full_logistic
misogynistic,claude,expert_only,155.0,0.39621,0.005304,0.566881,0.186422,300,300,full_logistic
misogynistic,claude,expert_only,200.0,0.359725,0.004372,0.510013,0.148528,300,300,full_logistic
misogynistic,claude,dsl,20.0,0.92306,0.005254,0.708356,0.160944,300,300,full_logistic
misogynistic,claude,dsl,26.0,0.907618,0.004566,1.180729,0.137888,300,300,full_logistic
misogynistic,claude,dsl,33.0,0.891951,0.003955,0.739833,0.10857,300,300,full_logistic
misogynistic,claude,dsl,43.0,0.896317,0.003147,0.710629,0.090036,300,300,full_logistic
misogynistic,claude,dsl,56.0,0.887108,0.003139,0.530322,0.087206,300,300,full_logistic
misogynistic,claude,dsl,72.0,0.884511,0.003057,0.853978,0.082722,300,300,full_logistic
misogynistic,claude,dsl,93.0,0.874844,0.002779,0.820066,0.069235,300,300,full_logistic
misogynistic,claude,dsl,120.0,0.883192,0.002241,0.734958,0.065987,300,300,full_logistic
misogynistic,claude,dsl,155.0,0.88096,0.002185,0.654082,0.059313,300,300,full_logistic
misogynistic,claude,dsl,200.0,0.876844,0.001829,0.774948,0.04837,300,300,full_logistic
misogynistic,claude,ppi,20.0,2.918155,0.137479,9.196089,2.540934,300,300,full_logistic
misogynistic,claude,ppi,26.0,2.4003,0.107944,8.874027,2.410336,300,300,full_logistic
misogynistic,claude,ppi,33.0,1.890185,0.07787,6.289526,1.606818,300,300,full_logistic
misogynistic,claude,ppi,43.0,1.424865,0.049653,5.800762,1.248466,300,300,full_logistic
misogynistic,claude,ppi,56.0,1.219831,0.038217,4.670877,1.036796,300,300,full_logistic
misogynistic,claude,ppi,72.0,1.299534,0.041883,7.582237,1.150442,300,300,full_logistic
misogynistic,claude,ppi,93.0,1.010856,0.026348,4.756957,0.739019,300,300,full_logistic
misogynistic,claude,ppi,120.0,0.883356,0.017424,3.935382,0.599098,300,300,full_logistic
misogynistic,claude,ppi,155.0,0.829458,0.015109,2.841456,0.461569,300,300,full_logistic
misogynistic,claude,ppi,200.0,0.787108,0.012444,2.789704,0.370273,300,300,full_logistic
misogynistic,claude,ppipp,20.0,0.860132,0.004767,0.846882,0.237522,300,300,full_logistic
misogynistic,claude,ppipp,26.0,0.84033,0.004432,1.529555,0.210712,300,300,full_logistic
misogynistic,claude,ppipp,33.0,0.822419,0.003783,0.85652,0.183504,300,300,full_logistic
misogynistic,claude,ppipp,43.0,0.811086,0.003166,1.015138,0.161682,300,300,full_logistic
misogynistic,claude,ppipp,56.0,0.796375,0.002969,0.942011,0.148541,300,300,full_logistic
misogynistic,claude,ppipp,72.0,0.786416,0.002648,1.337312,0.139608,300,300,full_logistic
misogynistic,claude,ppipp,93.0,0.785156,0.002371,0.955731,0.120573,300,300,full_logistic
misogynistic,claude,ppipp,120.0,0.777242,0.002105,0.702523,0.10828,300,300,full_logistic
misogynistic,claude,ppipp,155.0,0.773305,0.001765,0.649699,0.093994,300,300,full_logistic
misogynistic,claude,ppipp,200.0,0.768825,0.001454,0.660541,0.077424,300,300,full_logistic
