dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,llama,llm_only,,0.805857,0.0,-0.805857,0.0,0.848199,0.0,300,300,high_variance
misogynistic,llama,expert_only,20.0,4.004173,0.210708,1.647437,0.210708,4.173024,0.17739,300,300,high_variance
misogynistic,llama,expert_only,26.0,3.281644,0.169863,1.45367,0.169863,3.42123,0.143584,300,300,high_variance
misogynistic,llama,expert_only,33.0,2.488434,0.125333,1.21646,0.125333,2.591664,0.109691,300,300,high_variance
misogynistic,llama,expert_only,43.0,2.406364,0.122673,1.129583,0.122673,2.493432,0.10489,300,300,high_variance
misogynistic,llama,expert_only,56.0,1.920491,0.102125,0.747944,0.102125,1.991146,0.086767,300,300,high_variance
misogynistic,llama,expert_only,72.0,1.564447,0.0822,0.648402,0.0822,1.626818,0.068514,300,300,high_variance
misogynistic,llama,expert_only,93.0,1.197938,0.063097,0.490617,0.063097,1.252209,0.051458,300,300,high_variance
misogynistic,llama,expert_only,120.0,1.085349,0.057714,0.42276,0.057714,1.127162,0.044687,300,300,high_variance
misogynistic,llama,expert_only,155.0,0.859913,0.045325,0.350935,0.045325,0.888312,0.034481,300,300,high_variance
misogynistic,llama,expert_only,200.0,0.709306,0.038476,0.242887,0.038476,0.739279,0.027544,300,300,high_variance
misogynistic,llama,dsl,20.0,0.761471,0.028842,-0.574702,0.028842,0.934792,0.022633,300,300,high_variance
misogynistic,llama,dsl,26.0,0.723559,0.027933,-0.538016,0.027933,0.84597,0.019817,300,300,high_variance
misogynistic,llama,dsl,33.0,0.666675,0.023367,-0.529769,0.023367,0.742843,0.01604,300,300,high_variance
misogynistic,llama,dsl,43.0,0.657892,0.023264,-0.520061,0.023264,0.712799,0.015381,300,300,high_variance
misogynistic,llama,dsl,56.0,0.619951,0.01834,-0.532384,0.01834,0.662449,0.013067,300,300,high_variance
misogynistic,llama,dsl,72.0,0.60268,0.016701,-0.528719,0.016701,0.637472,0.012673,300,300,high_variance
misogynistic,llama,dsl,93.0,0.58917,0.016514,-0.515083,0.016514,0.619341,0.013484,300,300,high_variance
misogynistic,llama,dsl,120.0,0.567606,0.013977,-0.513393,0.013977,0.589467,0.012176,300,300,high_variance
misogynistic,llama,dsl,155.0,0.564436,0.012122,-0.523932,0.012122,0.582228,0.011495,300,300,high_variance
misogynistic,llama,dsl,200.0,0.560909,0.01125,-0.525977,0.01125,0.5748,0.010911,300,300,high_variance
misogynistic,llama,ppi,20.0,9.820119,0.555412,1.972319,0.555412,10.21165,0.556097,300,300,high_variance
misogynistic,llama,ppi,26.0,11.631208,0.647216,3.101351,0.647216,12.014228,0.644922,300,300,high_variance
misogynistic,llama,ppi,33.0,7.523326,0.422003,1.781693,0.422003,7.780536,0.413785,300,300,high_variance
misogynistic,llama,ppi,43.0,9.555058,0.532043,2.525523,0.532043,9.877968,0.529966,300,300,high_variance
misogynistic,llama,ppi,56.0,5.2467,0.293841,1.274804,0.293841,5.409746,0.282512,300,300,high_variance
misogynistic,llama,ppi,72.0,4.275118,0.239361,1.043337,0.239361,4.402294,0.226796,300,300,high_variance
misogynistic,llama,ppi,93.0,4.329918,0.241293,1.13201,0.241293,4.460193,0.22863,300,300,high_variance
misogynistic,llama,ppi,120.0,3.24468,0.181264,0.819093,0.181264,3.341527,0.168478,300,300,high_variance
misogynistic,llama,ppi,155.0,2.056956,0.116384,0.409236,0.116384,2.107732,0.098898,300,300,high_variance
misogynistic,llama,ppi,200.0,1.787582,0.101525,0.3213,0.101525,1.832844,0.082657,300,300,high_variance
misogynistic,llama,ppipp,20.0,0.942907,0.053653,-0.1596,0.053653,1.085249,0.034881,300,300,high_variance
misogynistic,llama,ppipp,26.0,0.760348,0.04332,-0.123097,0.04332,0.899974,0.026395,300,300,high_variance
misogynistic,llama,ppipp,33.0,0.690823,0.0394,-0.107389,0.0394,0.802822,0.023902,300,300,high_variance
misogynistic,llama,ppipp,43.0,0.716237,0.040869,-0.109132,0.040869,0.796669,0.024282,300,300,high_variance
misogynistic,llama,ppipp,56.0,0.598812,0.033407,-0.154184,0.033407,0.673128,0.019288,300,300,high_variance
misogynistic,llama,ppipp,72.0,0.53905,0.030038,-0.141013,0.030038,0.606669,0.016369,300,300,high_variance
misogynistic,llama,ppipp,93.0,0.483584,0.026746,-0.138734,0.026746,0.544827,0.014796,300,300,high_variance
misogynistic,llama,ppipp,120.0,0.462074,0.025504,-0.135534,0.025504,0.506944,0.014225,300,300,high_variance
misogynistic,llama,ppipp,155.0,0.397095,0.021795,-0.123205,0.021795,0.428118,0.012319,300,300,high_variance
misogynistic,llama,ppipp,200.0,0.378323,0.020084,-0.148731,0.020084,0.410235,0.011883,300,300,high_variance
