dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,deepseek,ppipp,20,0.983597,0.056054,-0.157619,0.056054,1.124029,0.033752,300,300,high_variance
misogynistic,deepseek,ppipp,26,0.832707,0.047917,-0.067746,0.047917,0.945501,0.029179,300,300,high_variance
misogynistic,deepseek,ppipp,33,0.712144,0.040329,-0.138671,0.040329,0.825802,0.025448,300,300,high_variance
misogynistic,deepseek,ppipp,43,0.639741,0.036265,-0.121366,0.036265,0.746384,0.020197,300,300,high_variance
misogynistic,deepseek,ppipp,56,0.622367,0.034863,-0.150709,0.034863,0.688489,0.018523,300,300,high_variance
misogynistic,deepseek,ppipp,72,0.617205,0.03561,-0.022975,0.03561,0.677728,0.019584,300,300,high_variance
misogynistic,deepseek,ppipp,93,0.519177,0.029506,-0.091428,0.029506,0.567214,0.016456,300,300,high_variance
misogynistic,deepseek,ppipp,120,0.451338,0.024507,-0.153381,0.024507,0.498798,0.013744,300,300,high_variance
misogynistic,deepseek,ppipp,155,0.431692,0.023553,-0.141209,0.023553,0.470596,0.013122,300,300,high_variance
misogynistic,deepseek,ppipp,200,0.355405,0.018648,-0.148281,0.018648,0.389091,0.010583,300,300,high_variance
