dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,,0.279576,0.0,0.279576,0.0,0.405963,0.0,300,300,high_variance
cuad,deepseek,expert_only,20.0,2.912115,0.160071,0.890819,0.160071,3.322179,0.124828,300,300,high_variance
cuad,deepseek,expert_only,26.0,2.159896,0.121941,0.451951,0.121941,2.515791,0.089594,300,300,high_variance
cuad,deepseek,expert_only,33.0,1.788243,0.099196,0.49585,0.099196,2.165331,0.086209,300,300,high_variance
cuad,deepseek,expert_only,43.0,1.646031,0.08915,0.570158,0.08915,1.903729,0.061881,300,300,high_variance
cuad,deepseek,expert_only,56.0,1.185995,0.066472,0.284678,0.066472,1.406946,0.043896,300,300,high_variance
cuad,deepseek,expert_only,72.0,1.104725,0.061851,0.269705,0.061851,1.28334,0.041942,300,300,high_variance
cuad,deepseek,expert_only,93.0,0.875601,0.050142,0.111452,0.050142,1.034561,0.03161,300,300,high_variance
cuad,deepseek,expert_only,120.0,0.698937,0.039992,0.093241,0.039992,0.851517,0.025373,300,300,high_variance
cuad,deepseek,expert_only,155.0,0.555035,0.031964,0.039413,0.031964,0.69565,0.01918,300,300,high_variance
cuad,deepseek,expert_only,200.0,0.5352,0.03052,0.083657,0.03052,0.646527,0.017858,300,300,high_variance
cuad,deepseek,dsl,20.0,1.348994,0.077724,-0.086536,0.077724,1.732217,0.051195,300,300,high_variance
cuad,deepseek,dsl,26.0,1.027563,0.059281,-0.040295,0.059281,1.327003,0.036375,300,300,high_variance
cuad,deepseek,dsl,33.0,0.473006,0.026782,-0.092505,0.026782,0.658827,0.022552,300,300,high_variance
cuad,deepseek,dsl,43.0,0.360503,0.020225,-0.085098,0.020225,0.528873,0.017932,300,300,high_variance
cuad,deepseek,dsl,56.0,0.35624,0.019224,-0.126654,0.019224,0.484962,0.01513,300,300,high_variance
cuad,deepseek,dsl,72.0,0.296956,0.015386,-0.131022,0.015386,0.396603,0.011981,300,300,high_variance
cuad,deepseek,dsl,93.0,0.281005,0.013779,-0.148347,0.013779,0.363919,0.011078,300,300,high_variance
cuad,deepseek,dsl,120.0,0.232943,0.011585,-0.118316,0.011585,0.297321,0.009252,300,300,high_variance
cuad,deepseek,dsl,155.0,0.222365,0.010225,-0.134466,0.010225,0.280728,0.008082,300,300,high_variance
cuad,deepseek,dsl,200.0,0.218053,0.009195,-0.148931,0.009195,0.269526,0.007596,300,300,high_variance
cuad,deepseek,ppi,20.0,0.584554,0.033696,0.032832,0.033696,0.858762,0.027766,300,300,high_variance
cuad,deepseek,ppi,26.0,0.538962,0.031056,0.033607,0.031056,0.741235,0.025456,300,300,high_variance
cuad,deepseek,ppi,33.0,0.449069,0.025907,-0.017782,0.025907,0.685362,0.023664,300,300,high_variance
cuad,deepseek,ppi,43.0,0.413803,0.023883,0.010391,0.023883,0.594693,0.019422,300,300,high_variance
cuad,deepseek,ppi,56.0,0.380889,0.021924,-0.02959,0.021924,0.534445,0.016103,300,300,high_variance
cuad,deepseek,ppi,72.0,0.321054,0.018436,-0.033354,0.018436,0.438398,0.013046,300,300,high_variance
cuad,deepseek,ppi,93.0,0.306425,0.017453,-0.050156,0.017453,0.407804,0.011788,300,300,high_variance
cuad,deepseek,ppi,120.0,0.2523,0.014534,-0.016986,0.014534,0.336653,0.010073,300,300,high_variance
cuad,deepseek,ppi,155.0,0.237993,0.013587,-0.035499,0.013587,0.313656,0.008984,300,300,high_variance
cuad,deepseek,ppi,200.0,0.226347,0.012433,-0.069697,0.012433,0.303976,0.00828,300,300,high_variance
cuad,deepseek,ppipp,20.0,1.130722,0.064079,0.216103,0.064079,1.424301,0.049768,300,300,high_variance
cuad,deepseek,ppipp,26.0,0.860399,0.049552,0.060552,0.049552,1.125603,0.033396,300,300,high_variance
cuad,deepseek,ppipp,33.0,0.71669,0.041069,0.087447,0.041069,0.978726,0.033009,300,300,high_variance
cuad,deepseek,ppipp,43.0,0.66201,0.037464,0.131079,0.037464,0.861085,0.022295,300,300,high_variance
cuad,deepseek,ppipp,56.0,0.570379,0.032863,0.036623,0.032863,0.734442,0.019157,300,300,high_variance
cuad,deepseek,ppipp,72.0,0.496774,0.028669,0.014664,0.028669,0.634118,0.016976,300,300,high_variance
cuad,deepseek,ppipp,93.0,0.430728,0.024743,-0.043185,0.024743,0.549969,0.014321,300,300,high_variance
cuad,deepseek,ppipp,120.0,0.355903,0.020498,-0.02488,0.020498,0.456248,0.01234,300,300,high_variance
cuad,deepseek,ppipp,155.0,0.305061,0.017357,-0.051774,0.017357,0.404081,0.010285,300,300,high_variance
cuad,deepseek,ppipp,200.0,0.286372,0.016384,-0.038484,0.016384,0.365894,0.009142,300,300,high_variance
