dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
cuad,gpt54,llm_only,,0.049544,0.0,-0.133652,0.0,300,300,full_logistic
cuad,gpt54,expert_only,20.0,2.696684,0.071247,6.48701,0.946966,300,300,full_logistic
cuad,gpt54,expert_only,26.0,2.395529,0.077315,5.061914,0.796395,300,300,full_logistic
cuad,gpt54,expert_only,33.0,1.976121,0.070054,4.205071,0.601496,300,300,full_logistic
cuad,gpt54,expert_only,43.0,1.478867,0.057138,2.32177,0.359075,300,300,full_logistic
cuad,gpt54,expert_only,56.0,1.109211,0.041553,1.415564,0.297192,300,300,full_logistic
cuad,gpt54,expert_only,72.0,0.884268,0.031362,1.228436,0.190766,300,300,full_logistic
cuad,gpt54,expert_only,93.0,0.817796,0.031175,0.91585,0.143747,300,300,full_logistic
cuad,gpt54,expert_only,120.0,0.572678,0.018536,0.546355,0.114663,300,300,full_logistic
cuad,gpt54,expert_only,155.0,0.40694,0.012178,0.375256,0.084866,300,300,full_logistic
cuad,gpt54,expert_only,200.0,0.345482,0.010323,0.179371,0.05681,300,300,full_logistic
cuad,gpt54,dsl,20.0,0.759295,0.011327,-0.213149,0.26109,300,300,full_logistic
cuad,gpt54,dsl,26.0,0.627643,0.009752,-0.486027,0.203493,300,300,full_logistic
cuad,gpt54,dsl,33.0,0.520958,0.006085,-0.349918,0.060497,300,300,full_logistic
cuad,gpt54,dsl,43.0,0.519155,0.005248,-0.528551,0.049692,300,300,full_logistic
cuad,gpt54,dsl,56.0,0.510935,0.004407,-0.469863,0.038104,300,300,full_logistic
cuad,gpt54,dsl,72.0,0.509183,0.003884,-0.468898,0.03216,300,300,full_logistic
cuad,gpt54,dsl,93.0,0.508518,0.00354,-0.445465,0.027435,300,300,full_logistic
cuad,gpt54,dsl,120.0,0.502581,0.002885,-0.453587,0.023202,300,300,full_logistic
cuad,gpt54,dsl,155.0,0.501817,0.002675,-0.457902,0.021548,300,300,full_logistic
cuad,gpt54,dsl,200.0,0.500644,0.002291,-0.457188,0.017459,300,300,full_logistic
cuad,gpt54,ppi,20.0,0.87254,0.039064,-0.104776,0.105206,300,300,full_logistic
cuad,gpt54,ppi,26.0,0.588863,0.022389,-0.138943,0.088883,300,300,full_logistic
cuad,gpt54,ppi,33.0,0.472932,0.01424,-0.105205,0.063245,300,300,full_logistic
cuad,gpt54,ppi,43.0,0.43408,0.012587,-0.266285,0.052344,300,300,full_logistic
cuad,gpt54,ppi,56.0,0.390896,0.011337,-0.16569,0.049254,300,300,full_logistic
cuad,gpt54,ppi,72.0,0.337221,0.007949,-0.224768,0.038458,300,300,full_logistic
cuad,gpt54,ppi,93.0,0.33127,0.007953,-0.220533,0.031413,300,300,full_logistic
cuad,gpt54,ppi,120.0,0.303744,0.006819,-0.221034,0.028668,300,300,full_logistic
cuad,gpt54,ppi,155.0,0.292383,0.006545,-0.253067,0.028256,300,300,full_logistic
cuad,gpt54,ppi,200.0,0.283573,0.006133,-0.220337,0.023024,300,300,full_logistic
cuad,gpt54,ppipp,20.0,0.569025,0.01537,0.780759,0.239089,300,300,full_logistic
cuad,gpt54,ppipp,26.0,0.498822,0.013199,0.83272,0.209914,300,300,full_logistic
cuad,gpt54,ppipp,33.0,0.444553,0.010616,0.533319,0.151196,300,300,full_logistic
cuad,gpt54,ppipp,43.0,0.402776,0.009395,0.184768,0.113884,300,300,full_logistic
cuad,gpt54,ppipp,56.0,0.366221,0.008085,0.02891,0.100355,300,300,full_logistic
cuad,gpt54,ppipp,72.0,0.335768,0.007878,-0.03764,0.068546,300,300,full_logistic
cuad,gpt54,ppipp,93.0,0.333823,0.007579,-0.065853,0.058803,300,300,full_logistic
cuad,gpt54,ppipp,120.0,0.30356,0.006754,-0.133085,0.050761,300,300,full_logistic
cuad,gpt54,ppipp,155.0,0.296818,0.005928,-0.165589,0.040681,300,300,full_logistic
cuad,gpt54,ppipp,200.0,0.292598,0.005729,-0.20763,0.031419,300,300,full_logistic
