dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,,0.166823,0.0,0.166823,0.0,0.341902,0.0,300,300,high_variance
cuad,deepseek,expert_only,20.0,3.099916,0.171631,0.878825,0.171631,3.489417,0.146989,300,300,high_variance
cuad,deepseek,expert_only,26.0,2.149294,0.117951,0.667634,0.117951,2.47491,0.089554,300,300,high_variance
cuad,deepseek,expert_only,33.0,1.790211,0.0994,0.490632,0.0994,2.045423,0.072005,300,300,high_variance
cuad,deepseek,expert_only,43.0,1.434754,0.078813,0.44166,0.078813,1.65984,0.056907,300,300,high_variance
cuad,deepseek,expert_only,56.0,1.169256,0.065807,0.260712,0.065807,1.362016,0.044886,300,300,high_variance
cuad,deepseek,expert_only,72.0,1.061276,0.058949,0.289499,0.058949,1.199463,0.041398,300,300,high_variance
cuad,deepseek,expert_only,93.0,0.832615,0.047368,0.141836,0.047368,0.990434,0.029114,300,300,high_variance
cuad,deepseek,expert_only,120.0,0.699971,0.039895,0.111685,0.039895,0.821839,0.024955,300,300,high_variance
cuad,deepseek,expert_only,155.0,0.544807,0.031071,0.084786,0.031071,0.668515,0.019357,300,300,high_variance
cuad,deepseek,expert_only,200.0,0.515718,0.029518,0.067572,0.029518,0.607992,0.018553,300,300,high_variance
cuad,deepseek,dsl,20.0,88.257142,5.137482,10.428273,5.137482,92.899252,5.396379,300,291,high_variance
cuad,deepseek,dsl,26.0,99.895701,5.76157,9.318549,5.76157,101.982185,5.875637,300,298,high_variance
cuad,deepseek,dsl,33.0,0.613683,0.035161,0.075608,0.035161,0.77111,0.026356,300,300,high_variance
cuad,deepseek,dsl,43.0,0.355061,0.020055,0.073543,0.020055,0.499346,0.015461,300,300,high_variance
cuad,deepseek,dsl,56.0,0.346304,0.01999,0.006621,0.01999,0.465315,0.013516,300,300,high_variance
cuad,deepseek,dsl,72.0,0.290632,0.016722,0.02403,0.016722,0.381544,0.01111,300,300,high_variance
cuad,deepseek,dsl,93.0,0.24544,0.01417,0.00261,0.01417,0.335427,0.009682,300,300,high_variance
cuad,deepseek,dsl,120.0,0.21408,0.012344,0.010824,0.012344,0.284275,0.007435,300,300,high_variance
cuad,deepseek,dsl,155.0,0.166563,0.009546,0.020081,0.009546,0.238991,0.006224,300,300,high_variance
cuad,deepseek,dsl,200.0,0.156142,0.009014,0.00216,0.009014,0.205911,0.005709,300,300,high_variance
cuad,deepseek,ppi,20.0,0.590649,0.033933,0.058508,0.033933,0.763745,0.026763,300,300,high_variance
cuad,deepseek,ppi,26.0,0.45523,0.026172,0.041701,0.026172,0.655279,0.021358,300,300,high_variance
cuad,deepseek,ppi,33.0,0.45592,0.026322,-0.002577,0.026322,0.657775,0.022265,300,300,high_variance
cuad,deepseek,ppi,43.0,0.35075,0.019926,0.062581,0.019926,0.5052,0.015523,300,300,high_variance
cuad,deepseek,ppi,56.0,0.36083,0.020808,0.017419,0.020808,0.488889,0.014833,300,300,high_variance
cuad,deepseek,ppi,72.0,0.279498,0.016116,0.014343,0.016116,0.38626,0.011564,300,300,high_variance
cuad,deepseek,ppi,93.0,0.283534,0.016339,0.017381,0.016339,0.375035,0.010446,300,300,high_variance
cuad,deepseek,ppi,120.0,0.243787,0.014011,0.02325,0.014011,0.32603,0.008637,300,300,high_variance
cuad,deepseek,ppi,155.0,0.214592,0.012218,0.03554,0.012218,0.287526,0.008427,300,300,high_variance
cuad,deepseek,ppi,200.0,0.210485,0.012126,0.013864,0.012126,0.272865,0.007757,300,300,high_variance
cuad,deepseek,ppipp,20.0,0.991086,0.055724,0.225147,0.055724,1.205265,0.035979,300,300,high_variance
cuad,deepseek,ppipp,26.0,0.820419,0.046283,0.174482,0.046283,1.04791,0.02903,300,300,high_variance
cuad,deepseek,ppipp,33.0,0.797238,0.045341,0.137299,0.045341,0.975462,0.028498,300,300,high_variance
cuad,deepseek,ppipp,43.0,0.633958,0.035362,0.163576,0.035362,0.787269,0.022432,300,300,high_variance
cuad,deepseek,ppipp,56.0,0.582527,0.033394,0.069207,0.033394,0.705835,0.02007,300,300,high_variance
cuad,deepseek,ppipp,72.0,0.528126,0.029873,0.105829,0.029873,0.625516,0.018608,300,300,high_variance
cuad,deepseek,ppipp,93.0,0.438484,0.025229,0.036272,0.025229,0.545258,0.014428,300,300,high_variance
cuad,deepseek,ppipp,120.0,0.375785,0.021602,0.034967,0.021602,0.457077,0.012637,300,300,high_variance
cuad,deepseek,ppipp,155.0,0.299607,0.017172,0.036122,0.017172,0.386467,0.010476,300,300,high_variance
cuad,deepseek,ppipp,200.0,0.283407,0.016327,0.018674,0.016327,0.343931,0.009401,300,300,high_variance
