dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
fomc,claude,llm_only,,0.091456,0.0,-0.091456,0.0,0.534052,0.0,300,300,low_variance
fomc,claude,expert_only,20.0,4.011563,0.20416,1.894253,0.20416,4.435068,0.173097,300,300,low_variance
fomc,claude,expert_only,26.0,3.536688,0.180122,1.665835,0.180122,3.907965,0.169586,300,300,low_variance
fomc,claude,expert_only,33.0,2.79575,0.151215,0.977993,0.151215,3.107546,0.141699,300,300,low_variance
fomc,claude,expert_only,43.0,2.415096,0.130982,0.828152,0.130982,2.679496,0.127366,300,300,low_variance
fomc,claude,expert_only,56.0,1.39925,0.078096,0.358081,0.078096,1.588534,0.074034,300,300,low_variance
fomc,claude,expert_only,72.0,1.126431,0.063615,0.234037,0.063615,1.272153,0.059737,300,300,low_variance
fomc,claude,expert_only,93.0,0.536352,0.030658,0.075496,0.030658,0.666581,0.024721,300,300,low_variance
fomc,claude,expert_only,120.0,0.404612,0.02326,0.037443,0.02326,0.510338,0.014537,300,300,low_variance
fomc,claude,expert_only,155.0,0.333434,0.019172,0.030138,0.019172,0.415601,0.011698,300,300,low_variance
fomc,claude,expert_only,200.0,0.289803,0.016456,0.052385,0.016456,0.365403,0.010271,300,300,low_variance
fomc,claude,dsl,20.0,4.489629,0.238772,1.747319,0.238772,4.922807,0.228473,300,300,low_variance
fomc,claude,dsl,26.0,3.932733,0.207662,1.590382,0.207662,4.315047,0.205803,300,300,low_variance
fomc,claude,dsl,33.0,2.363336,0.131562,0.626728,0.131562,2.602607,0.130029,300,300,low_variance
fomc,claude,dsl,43.0,1.748523,0.097876,0.428303,0.097876,1.944517,0.095536,300,300,low_variance
fomc,claude,dsl,56.0,1.184519,0.067384,0.202243,0.067384,1.321997,0.064775,300,300,low_variance
fomc,claude,dsl,72.0,0.895354,0.050848,0.161286,0.050848,1.006226,0.047048,300,300,low_variance
fomc,claude,dsl,93.0,0.702198,0.039975,0.116936,0.039975,0.807629,0.037252,300,300,low_variance
fomc,claude,dsl,120.0,0.40492,0.023289,0.035259,0.023289,0.486524,0.018036,300,300,low_variance
fomc,claude,dsl,155.0,0.298475,0.017181,0.022983,0.017181,0.370914,0.011063,300,300,low_variance
fomc,claude,dsl,200.0,0.270753,0.015404,0.046087,0.015404,0.327824,0.010057,300,300,low_variance
fomc,claude,ppi,20.0,1.3736136356086616e+29,7.891221830967158e+27,1.3664904084575833e+28,7.891221830967158e+27,1.5061375352535465e+29,8.652441650757387e+27,300,300,low_variance
fomc,claude,ppi,26.0,5.150735735799969e+29,2.968618444480633e+28,3.033021815203289e+28,2.968618444480633e+28,5.629484747299593e+29,3.244542146454114e+28,300,300,low_variance
fomc,claude,ppi,33.0,3.1722565722126146e+29,1.82408050897885e+28,2.8531149685300445e+28,1.82408050897885e+28,3.5406234519368676e+29,2.035908315679421e+28,300,300,low_variance
fomc,claude,ppi,43.0,1.5303216714420696e+31,8.820484277327145e+29,8.86348209677673e+29,8.820484277327145e+29,1.6691928623913405e+31,9.620910622182279e+29,300,300,low_variance
fomc,claude,ppi,56.0,1.4043314554285195e+28,8.09220584012641e+26,8.736690412680564e+26,8.09220584012641e+26,1.5386811721679974e+28,8.866385673140791e+26,300,300,low_variance
fomc,claude,ppi,72.0,2.2928798082273667e+29,1.321003698779922e+28,1.4881363649228918e+28,1.321003698779922e+28,2.51880604261777e+29,1.4511677837161666e+28,300,300,low_variance
fomc,claude,ppi,93.0,5.062918133564095e+28,2.916098067735218e+27,3.496515482947687e+27,2.916098067735218e+27,5.549341828081288e+28,3.196254181849689e+27,300,300,low_variance
fomc,claude,ppi,120.0,3.0758986169048493e+28,1.772727501129919e+27,1.8293146719520472e+27,1.772727501129919e+27,3.374292746968812e+28,1.9447004964382517e+27,300,300,low_variance
fomc,claude,ppi,155.0,0.391124,0.02254,0.023658,0.02254,0.481147,0.015123,300,300,low_variance
fomc,claude,ppi,200.0,0.330511,0.018922,0.042659,0.018922,0.411065,0.013615,300,300,low_variance
fomc,claude,ppipp,20.0,1.5821728284129755e+30,9.100917525280047e+28,1.359038811433626e+29,9.100917525280047e+28,1.7376093164416483e+30,9.995025284967057e+28,300,300,low_variance
fomc,claude,ppipp,26.0,4.04014719679381e+26,2.324050474118364e+25,3.451920523585291e+25,2.324050474118364e+25,4.409369225053688e+26,2.5364095821578163e+25,300,300,low_variance
fomc,claude,ppipp,33.0,1.0684837075778926e+27,6.157733769882169e+25,6.424078094934534e+25,6.157733769882169e+25,1.1753581466053172e+27,6.773656118822073e+25,300,300,low_variance
fomc,claude,ppipp,43.0,4.327583532165127e+27,2.4875645196154322e+26,4.0502778931590584e+26,2.4875645196154322e+26,4.7528072195072394e+27,2.73198542145098e+26,300,300,low_variance
fomc,claude,ppipp,56.0,0.573709,0.032461,0.114159,0.032461,0.712053,0.023237,300,300,low_variance
fomc,claude,ppipp,72.0,0.55048,0.03133,0.092544,0.03133,0.659613,0.023622,300,300,low_variance
fomc,claude,ppipp,93.0,0.366522,0.021009,0.04394,0.021009,0.47433,0.01385,300,300,low_variance
fomc,claude,ppipp,120.0,0.329968,0.019017,0.019597,0.019017,0.420528,0.011693,300,300,low_variance
fomc,claude,ppipp,155.0,0.273586,0.015786,0.009336,0.015786,0.346202,0.009399,300,300,low_variance
fomc,claude,ppipp,200.0,0.243406,0.01388,0.03806,0.01388,0.308222,0.008517,300,300,low_variance
