dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
fomc,deepseek,llm_only,,0.795129,0.0,-0.895155,0.0,300,300,full_logistic
fomc,deepseek,expert_only,20.0,3542.440591,204.110345,444.279625,445.136927,300,300,full_logistic
fomc,deepseek,expert_only,26.0,8.108934,0.353357,2.533092,0.596107,300,300,full_logistic
fomc,deepseek,expert_only,33.0,5.079568,0.213045,1.038903,0.352705,300,300,full_logistic
fomc,deepseek,expert_only,43.0,3.541913,0.147375,0.805186,0.233315,300,300,full_logistic
fomc,deepseek,expert_only,56.0,2.337098,0.095753,0.81081,0.166697,300,300,full_logistic
fomc,deepseek,expert_only,72.0,1.742847,0.070005,0.271659,0.133322,300,300,full_logistic
fomc,deepseek,expert_only,93.0,1.045093,0.03047,0.093148,0.108756,300,300,full_logistic
fomc,deepseek,expert_only,120.0,0.82493,0.017254,0.271757,0.09909,300,300,full_logistic
fomc,deepseek,expert_only,155.0,0.668959,0.012331,0.199199,0.083906,300,300,full_logistic
fomc,deepseek,expert_only,200.0,0.555396,0.010076,-0.014891,0.064418,300,300,full_logistic
fomc,deepseek,dsl,20.0,15.250221,0.81524,3.90179,1.213287,300,260,full_logistic
fomc,deepseek,dsl,26.0,6.814515,0.313745,2.114894,0.445484,300,289,full_logistic
fomc,deepseek,dsl,33.0,8.046663,0.429434,1.054046,0.358065,300,299,full_logistic
fomc,deepseek,dsl,43.0,2.998229,0.143201,0.301553,0.191585,300,298,full_logistic
fomc,deepseek,dsl,56.0,2.3181,0.10594,0.571809,0.150071,300,300,full_logistic
fomc,deepseek,dsl,72.0,1.823618,0.083444,0.236493,0.126216,300,300,full_logistic
fomc,deepseek,dsl,93.0,1.049612,0.038049,0.029777,0.089048,300,300,full_logistic
fomc,deepseek,dsl,120.0,0.732713,0.01727,0.183852,0.078667,300,300,full_logistic
fomc,deepseek,dsl,155.0,0.592202,0.011689,0.116159,0.073057,300,300,full_logistic
fomc,deepseek,dsl,200.0,0.511855,0.009831,0.042295,0.052929,300,300,full_logistic
fomc,deepseek,ppi,20.0,6.157671218391897e+66,3.546451842212484e+65,2.919109613409173e+65,2.7299920576871137e+65,300,300,full_logistic
fomc,deepseek,ppi,26.0,1.360971340476091e+67,7.843941792004125e+65,1.863842891614609e+66,1.8494992872077472e+66,300,300,full_logistic
fomc,deepseek,ppi,33.0,1.0675004898222174e+56,6.150512198147095e+54,1.197848250948149e+55,1.1483631499188988e+55,300,300,full_logistic
fomc,deepseek,ppi,43.0,9.317694306992674e+52,5.3642565289183e+51,5.2295945910369315e+51,3.861792999206758e+51,300,300,full_logistic
fomc,deepseek,ppi,56.0,1.6545057984020738e+53,9.536359892017501e+51,7.597858685709032e+51,7.58518252650212e+51,300,300,full_logistic
fomc,deepseek,ppi,72.0,3.18729841607154e+52,1.8369649493871982e+51,1.1860135933425097e+51,1.1507612199783652e+51,300,300,full_logistic
fomc,deepseek,ppi,93.0,7.949648254319855e+48,4.582075621721333e+47,3.4513856546460644e+47,3.4456285436201955e+47,300,300,full_logistic
fomc,deepseek,ppi,120.0,2.5900127609427254e+26,1.4915017858809956e+25,1.2744542609085004e+25,1.0231691391726407e+25,300,300,full_logistic
fomc,deepseek,ppi,155.0,3.6717070305762364e+24,2.11632499158237e+23,1.4808829000829756e+23,1.4784127016992372e+23,300,300,full_logistic
fomc,deepseek,ppi,200.0,2.191486365021632e+25,1.2631447237987864e+24,8.44098751689531e+23,8.426907461193253e+23,300,300,full_logistic
fomc,deepseek,ppipp,20.0,3.2319803469120103e+40,1.8628660160666245e+39,1.1309838145728794e+39,1.1276943565181159e+39,300,300,full_logistic
fomc,deepseek,ppipp,26.0,6.144735388866719e+39,3.541494777275139e+38,3.308970623583168e+38,3.237371291276905e+38,300,300,full_logistic
fomc,deepseek,ppipp,33.0,4.498740253863811e+34,2.5930163683001685e+33,1.7363868302384537e+33,1.7334904363516486e+33,300,300,full_logistic
fomc,deepseek,ppipp,43.0,6.787996613775604e+24,3.9090744842294056e+23,3.2733175200126675e+23,2.6993820075483316e+23,300,300,full_logistic
fomc,deepseek,ppipp,56.0,1.165578,0.027052,0.316305,0.122858,300,300,full_logistic
fomc,deepseek,ppipp,72.0,1.003026,0.023383,0.039654,0.101585,300,300,full_logistic
fomc,deepseek,ppipp,93.0,0.794426,0.015689,-0.012956,0.088468,300,300,full_logistic
fomc,deepseek,ppipp,120.0,0.696939,0.013517,0.176395,0.083736,300,300,full_logistic
fomc,deepseek,ppipp,155.0,0.576843,0.009951,0.106485,0.073991,300,300,full_logistic
fomc,deepseek,ppipp,200.0,0.488058,0.008795,-0.023267,0.055833,300,300,full_logistic
