dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
fomc,gpt54,llm_only,,0.051547,0.0,-0.051547,0.0,1.534297,0.0,300,300,high_variance
fomc,gpt54,expert_only,20.0,5.981612,0.34331,-0.648912,0.34331,6.763483,0.228101,300,300,high_variance
fomc,gpt54,expert_only,26.0,5.195658,0.29666,0.769889,0.29666,5.630881,0.182475,300,300,high_variance
fomc,gpt54,expert_only,33.0,4.251116,0.245438,-0.001146,0.245438,4.789149,0.14292,300,300,high_variance
fomc,gpt54,expert_only,43.0,3.438564,0.198497,0.058668,0.198497,3.891398,0.117247,300,300,high_variance
fomc,gpt54,expert_only,56.0,2.980372,0.169948,0.466869,0.169948,3.420928,0.095527,300,300,high_variance
fomc,gpt54,expert_only,72.0,2.225589,0.12849,0.019096,0.12849,2.634528,0.075248,300,300,high_variance
fomc,gpt54,expert_only,93.0,1.945903,0.112165,-0.110546,0.112165,2.375417,0.065607,300,300,high_variance
fomc,gpt54,expert_only,120.0,1.708167,0.098617,-0.014653,0.098617,2.04551,0.05593,300,300,high_variance
fomc,gpt54,expert_only,155.0,1.402877,0.080981,0.026252,0.080981,1.680889,0.046018,300,300,high_variance
fomc,gpt54,expert_only,200.0,1.167347,0.067218,0.084979,0.067218,1.443564,0.039578,300,300,high_variance
fomc,gpt54,dsl,20.0,6.363869,0.367779,-0.236053,0.367779,7.042987,0.25964,300,299,high_variance
fomc,gpt54,dsl,26.0,16.874885,0.967612,2.194623,0.967612,16.499873,0.897306,300,299,high_variance
fomc,gpt54,dsl,33.0,3.15837,0.182136,0.152399,0.182136,3.66129,0.109383,300,300,high_variance
fomc,gpt54,dsl,43.0,2.417664,0.138813,0.253817,0.138813,2.782359,0.083311,300,300,high_variance
fomc,gpt54,dsl,56.0,2.383765,0.137078,0.212648,0.137078,2.65747,0.082655,300,300,high_variance
fomc,gpt54,dsl,72.0,1.733116,0.100031,0.042529,0.100031,2.051962,0.059928,300,300,high_variance
fomc,gpt54,dsl,93.0,1.490314,0.085982,0.056453,0.085982,1.774099,0.050338,300,300,high_variance
fomc,gpt54,dsl,120.0,1.298642,0.074944,0.038528,0.074944,1.534684,0.042992,300,300,high_variance
fomc,gpt54,dsl,155.0,1.025435,0.059188,-0.023129,0.059188,1.243208,0.03314,300,300,high_variance
fomc,gpt54,dsl,200.0,0.961131,0.055332,0.07268,0.055332,1.160081,0.03113,300,300,high_variance
fomc,gpt54,ppi,20.0,2.7660423626067163e+25,1.594311455410819e+24,1.596975302640896e+24,1.594311455410819e+24,2.8634372161768087e+25,1.6504486038666817e+24,300,300,high_variance
fomc,gpt54,ppi,26.0,4.626694,0.265017,0.579688,0.265017,4.948264,0.186523,300,300,high_variance
fomc,gpt54,ppi,33.0,3.453636,0.199201,0.15257,0.199201,4.055782,0.139462,300,300,high_variance
fomc,gpt54,ppi,43.0,2.518716,0.144002,0.350702,0.144002,3.026569,0.090969,300,300,high_variance
fomc,gpt54,ppi,56.0,2.731033,0.15758,0.095577,0.15758,3.050176,0.10207,300,300,high_variance
fomc,gpt54,ppi,72.0,2.075689,0.119529,0.149459,0.119529,2.444635,0.072419,300,300,high_variance
fomc,gpt54,ppi,93.0,1.74106,0.100159,0.1474,0.100159,2.055012,0.060527,300,300,high_variance
fomc,gpt54,ppi,120.0,1.587506,0.09139,0.120617,0.09139,1.828128,0.050588,300,300,high_variance
fomc,gpt54,ppi,155.0,1.225247,0.07073,-0.019806,0.07073,1.523509,0.044088,300,300,high_variance
fomc,gpt54,ppi,200.0,1.261669,0.072794,0.046064,0.072794,1.516699,0.042233,300,300,high_variance
fomc,gpt54,ppipp,20.0,3.609022,0.207956,-0.226634,0.207956,4.426919,0.132688,300,300,high_variance
fomc,gpt54,ppipp,26.0,3.78944,0.216514,0.544404,0.216514,4.226975,0.138543,300,300,high_variance
fomc,gpt54,ppipp,33.0,3.116299,0.179907,-0.036362,0.179907,3.659901,0.106002,300,300,high_variance
fomc,gpt54,ppipp,43.0,2.486946,0.143439,0.111806,0.143439,2.907954,0.081552,300,300,high_variance
fomc,gpt54,ppipp,56.0,2.245408,0.128716,0.267357,0.128716,2.632955,0.072137,300,300,high_variance
fomc,gpt54,ppipp,72.0,1.75828,0.101502,0.027485,0.101502,2.107249,0.059953,300,300,high_variance
fomc,gpt54,ppipp,93.0,1.536171,0.088637,-0.053757,0.088637,1.888339,0.052887,300,300,high_variance
fomc,gpt54,ppipp,120.0,1.362507,0.078664,-0.003407,0.078664,1.639846,0.043377,300,300,high_variance
fomc,gpt54,ppipp,155.0,1.1394,0.065783,0.001648,0.065783,1.361455,0.036292,300,300,high_variance
fomc,gpt54,ppipp,200.0,0.951672,0.054822,0.063543,0.054822,1.188344,0.031674,300,300,high_variance
