dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
fomc,llama,llm_only,,0.21213,0.0,-0.21213,0.0,0.653908,0.0,300,300,low_variance
fomc,llama,expert_only,20.0,4.011563,0.20416,1.894253,0.20416,4.435068,0.173097,300,300,low_variance
fomc,llama,expert_only,26.0,3.536688,0.180122,1.665835,0.180122,3.907965,0.169586,300,300,low_variance
fomc,llama,expert_only,33.0,2.79575,0.151215,0.977993,0.151215,3.107546,0.141699,300,300,low_variance
fomc,llama,expert_only,43.0,2.415096,0.130982,0.828152,0.130982,2.679496,0.127366,300,300,low_variance
fomc,llama,expert_only,56.0,1.39925,0.078096,0.358081,0.078096,1.588534,0.074034,300,300,low_variance
fomc,llama,expert_only,72.0,1.126431,0.063615,0.234037,0.063615,1.272153,0.059737,300,300,low_variance
fomc,llama,expert_only,93.0,0.536352,0.030658,0.075496,0.030658,0.666581,0.024721,300,300,low_variance
fomc,llama,expert_only,120.0,0.404612,0.02326,0.037443,0.02326,0.510338,0.014537,300,300,low_variance
fomc,llama,expert_only,155.0,0.333434,0.019172,0.030138,0.019172,0.415601,0.011698,300,300,low_variance
fomc,llama,expert_only,200.0,0.289803,0.016456,0.052385,0.016456,0.365403,0.010271,300,300,low_variance
fomc,llama,dsl,20.0,4.392228,0.234975,1.651553,0.234975,4.821281,0.226045,300,300,low_variance
fomc,llama,dsl,26.0,3.996505,0.210989,1.617743,0.210989,4.397515,0.208449,300,300,low_variance
fomc,llama,dsl,33.0,2.925267,0.160013,0.935896,0.160013,3.233543,0.1567,300,300,low_variance
fomc,llama,dsl,43.0,2.379834,0.131784,0.673445,0.131784,2.620936,0.129739,300,300,low_variance
fomc,llama,dsl,56.0,2.205904,0.123689,0.525633,0.123689,2.407348,0.122639,300,300,low_variance
fomc,llama,dsl,72.0,1.815547,0.102552,0.375671,0.102552,2.000191,0.10355,300,300,low_variance
fomc,llama,dsl,93.0,1.151125,0.065388,0.205937,0.065388,1.284254,0.063398,300,300,low_variance
fomc,llama,dsl,120.0,0.558454,0.031905,0.080528,0.031905,0.650768,0.027035,300,300,low_variance
fomc,llama,dsl,155.0,0.558742,0.032004,0.070044,0.032004,0.647132,0.029455,300,300,low_variance
fomc,llama,dsl,200.0,0.326571,0.018523,0.060963,0.018523,0.385586,0.011864,300,300,low_variance
fomc,llama,ppi,20.0,6.65380815057317e+34,3.8351685793818915e+33,3.841989169682854e+33,3.8351685793818915e+33,7.3413329774330385e+34,4.231448963229871e+33,300,300,low_variance
fomc,llama,ppi,26.0,3.369721220428531e+30,1.9416146543433905e+29,2.1311664769165794e+29,1.9416146543433905e+29,3.6528608182424076e+30,2.1047394315501444e+29,300,300,low_variance
fomc,llama,ppi,33.0,7.03055182963514e+29,4.042970732868305e+28,6.259568584950322e+28,4.042970732868305e+28,7.66008764205565e+29,4.4048797840295894e+28,300,300,low_variance
fomc,llama,ppi,43.0,8.063716818867176e+30,4.647688519806037e+29,4.695776863000254e+29,4.647688519806037e+29,8.942015372049967e+30,5.153914003322078e+29,300,300,low_variance
fomc,llama,ppi,56.0,1.4002234975015746e+29,8.045674724676841e+27,1.3652615022928122e+28,8.045674724676841e+27,1.5319999117681076e+29,8.80278461500128e+27,300,300,low_variance
fomc,llama,ppi,72.0,3.1228209828644186e+31,1.7991236014337438e+30,2.0365090549889286e+30,1.7991236014337438e+30,3.4757086048438035e+31,2.0024427556720932e+30,300,300,low_variance
fomc,llama,ppi,93.0,1.3092939064819866e+31,7.546079006178293e+29,7.714455603811178e+29,7.546079006178293e+29,1.437247148189212e+31,8.283533849234442e+29,300,300,low_variance
fomc,llama,ppi,120.0,1.984189523804935e+28,1.1404265385273678e+27,1.8785632021497946e+27,1.1404265385273678e+27,2.1820406993207072e+28,1.2541405004598038e+27,300,300,low_variance
fomc,llama,ppi,155.0,4.05446425356237e+27,2.333446209317837e+26,3.2212846517456414e+26,2.333446209317837e+26,4.421903179236441e+27,2.5448951753775074e+26,300,300,low_variance
fomc,llama,ppi,200.0,7.794213711424717e+26,4.4909234315237035e+25,4.9455796013723585e+25,4.4909234315237035e+25,8.543436122865875e+26,4.922604738575062e+25,300,300,low_variance
fomc,llama,ppipp,20.0,4.085748271332583e+30,2.3508240448257144e+29,3.379613402520822e+29,2.3508240448257144e+29,4.486486697673106e+30,2.5813955463227198e+29,300,300,low_variance
fomc,llama,ppipp,26.0,7.933650841770665e+28,4.5725887990784143e+27,4.659513952723243e+27,4.5725887990784143e+27,8.721440279437417e+28,5.026634487271035e+27,300,300,low_variance
fomc,llama,ppipp,33.0,2.7273507563454965e+28,1.5714627852242344e+27,1.730788609398196e+27,1.5714627852242344e+27,2.9963765397843816e+28,1.726472015785158e+27,300,300,low_variance
fomc,llama,ppipp,43.0,3.4434429422141687e+30,1.9847416326933355e+29,1.992517268330465e+29,1.9847416326933355e+29,3.781908474809602e+30,2.1798274006330672e+29,300,300,low_variance
fomc,llama,ppipp,56.0,8.334155910196928e+26,4.803700918840903e+25,4.811727158220507e+25,4.803700918840903e+25,9.1453335985379e+26,5.271253367920859e+25,300,300,low_variance
fomc,llama,ppipp,72.0,1.9554263189215593e+26,1.1270827311301433e+25,1.1289659116098414e+25,1.1270827311301433e+25,2.1448321857562755e+26,1.2362538513193607e+25,300,300,low_variance
fomc,llama,ppipp,93.0,0.414633,0.023854,0.034795,0.023854,0.533714,0.015692,300,300,low_variance
fomc,llama,ppipp,120.0,0.366157,0.021106,0.020685,0.021106,0.462867,0.013128,300,300,low_variance
fomc,llama,ppipp,155.0,0.317563,0.018306,0.017553,0.018306,0.395081,0.011352,300,300,low_variance
fomc,llama,ppipp,200.0,0.273461,0.015625,0.039171,0.015625,0.341707,0.009689,300,300,low_variance
