dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,claude,llm_only,,0.922151,0.0,-2.946021,0.0,300,300,full_logistic
misogynistic,claude,expert_only,20.0,105.599637,6.035359,119.92118,146.570511,300,300,full_logistic
misogynistic,claude,expert_only,26.0,118.690191,6.818607,32.813305,17.856947,300,300,full_logistic
misogynistic,claude,expert_only,33.0,466.01085,26.856299,-243.417588,248.660059,300,300,full_logistic
misogynistic,claude,expert_only,43.0,1.433434,0.069764,1.266452,1.102845,300,300,full_logistic
misogynistic,claude,expert_only,56.0,0.717405,0.028088,2.239889,0.831071,300,300,full_logistic
misogynistic,claude,expert_only,72.0,0.480271,0.016901,1.63879,0.487755,300,300,full_logistic
misogynistic,claude,expert_only,93.0,0.375566,0.011688,1.558202,0.385991,300,300,full_logistic
misogynistic,claude,expert_only,120.0,0.272275,0.006551,1.115148,0.290639,300,300,full_logistic
misogynistic,claude,expert_only,155.0,0.26136,0.007078,0.853778,0.259482,300,300,full_logistic
misogynistic,claude,expert_only,200.0,0.224989,0.005271,0.531406,0.219939,300,300,full_logistic
misogynistic,claude,dsl,20.0,40.33972,3.192645,162.691097,106.759955,300,155,full_logistic
misogynistic,claude,dsl,26.0,32.610793,2.473701,104.773037,99.184104,300,167,full_logistic
misogynistic,claude,dsl,33.0,26.383546,1.707901,30.877084,31.680073,300,235,full_logistic
misogynistic,claude,dsl,43.0,14.414946,0.912549,3.48867,6.139194,300,244,full_logistic
misogynistic,claude,dsl,56.0,15.733475,0.964095,78.183658,42.345277,300,257,full_logistic
misogynistic,claude,dsl,72.0,2.249216,0.128239,0.486713,0.748648,300,249,full_logistic
misogynistic,claude,dsl,93.0,15.334474,0.930146,66.507406,40.109646,300,265,full_logistic
misogynistic,claude,dsl,120.0,20.744997,1.274894,59.442839,56.549014,300,262,full_logistic
misogynistic,claude,dsl,155.0,17.953185,1.067852,60.983695,47.508592,300,279,full_logistic
misogynistic,claude,dsl,200.0,0.774466,0.024308,4.099416,0.939286,300,292,full_logistic
misogynistic,claude,ppi,20.0,6.124861642325045e+70,3.530284153162134e+69,1.4609790974039812e+70,1.4485846298841974e+70,300,300,full_logistic
misogynistic,claude,ppi,26.0,1.649263164181789e+64,9.49828133643753e+62,4.822205174977748e+63,1.8187057574295585e+64,300,300,full_logistic
misogynistic,claude,ppi,33.0,1.5962009332169677e+55,9.185227907291925e+53,9.195532102194617e+54,6.04074465688113e+54,300,300,full_logistic
misogynistic,claude,ppi,43.0,1.7945177325347918e+64,1.0343370788518755e+63,-1.2527808174284718e+64,1.2506912061706963e+64,300,300,full_logistic
misogynistic,claude,ppi,56.0,7.774576843710684e+67,4.480767822799476e+66,8.364742390015474e+66,8.853385184019125e+66,300,300,full_logistic
misogynistic,claude,ppi,72.0,2.0726922076042273e+69,1.1946732901841415e+68,-5.873243902381329e+68,5.863446991999132e+68,300,300,full_logistic
misogynistic,claude,ppi,93.0,4.793604298501069e+78,2.762972233948095e+77,-1.2970644152549963e+77,1.2949008371100121e+77,300,300,full_logistic
misogynistic,claude,ppi,120.0,2.562971622317206e+71,1.4772640768604733e+70,1.4849435261682668e+71,1.4824665544252084e+71,300,300,full_logistic
misogynistic,claude,ppi,155.0,8.703697486229929e+66,5.016233894646972e+65,-1.5498757538111728e+66,1.5402532012096335e+66,300,300,full_logistic
misogynistic,claude,ppi,200.0,2.153614571359239e+55,1.2411801913803196e+54,-1.6440664000441482e+54,1.8312834439041063e+54,300,300,full_logistic
misogynistic,claude,ppipp,20.0,2.7782076196261913e+56,1.6013189508718372e+55,-6.510128708412774e+54,6.406751537581243e+54,300,300,full_logistic
misogynistic,claude,ppipp,26.0,1.617411127136129e+52,9.320191108612617e+50,9.591083889918807e+51,9.481944651401621e+51,300,300,full_logistic
misogynistic,claude,ppipp,33.0,2.3086270228727302e+41,1.330659742436863e+40,5.889423554660218e+40,5.872193315331309e+40,300,300,full_logistic
misogynistic,claude,ppipp,43.0,5.664975695027201e+53,3.264896437656441e+52,-1.930032110028065e+53,1.9674341461603937e+53,300,300,full_logistic
misogynistic,claude,ppipp,56.0,3.8636520989873616e+38,2.2252756857860114e+37,-5.426351849326186e+37,4.824545180303864e+37,300,300,full_logistic
misogynistic,claude,ppipp,72.0,3.948335614126272e+54,2.275770170589773e+53,-1.8536755765193724e+53,1.8505835383757995e+53,300,300,full_logistic
misogynistic,claude,ppipp,93.0,1.093890258929375e+53,6.30491183227838e+51,4.543423119733406e+52,4.5447371512415644e+52,300,300,full_logistic
misogynistic,claude,ppipp,120.0,6.377048494066831e+43,3.674760139263149e+42,-1.8916388804917972e+42,1.7764199635939183e+42,300,300,full_logistic
misogynistic,claude,ppipp,155.0,4.906413292778489e+39,2.823410454051938e+38,3.734859887749074e+37,1.0540380739179518e+38,300,300,full_logistic
misogynistic,claude,ppipp,200.0,2.2730787235037433e+47,1.3101735145519617e+46,8.166789092053852e+45,8.153171560562505e+45,300,300,full_logistic
