dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,,0.897289,0.0,-5.49229,0.0,300,300,full_logistic
misogynistic,deepseek,expert_only,20.0,105.599637,6.035359,119.92118,146.570511,300,300,full_logistic
misogynistic,deepseek,expert_only,26.0,118.690191,6.818607,32.813305,17.856947,300,300,full_logistic
misogynistic,deepseek,expert_only,33.0,466.01085,26.856299,-243.417588,248.660059,300,300,full_logistic
misogynistic,deepseek,expert_only,43.0,1.433434,0.069764,1.266452,1.102845,300,300,full_logistic
misogynistic,deepseek,expert_only,56.0,0.717405,0.028088,2.239889,0.831071,300,300,full_logistic
misogynistic,deepseek,expert_only,72.0,0.480271,0.016901,1.63879,0.487755,300,300,full_logistic
misogynistic,deepseek,expert_only,93.0,0.375566,0.011688,1.558202,0.385991,300,300,full_logistic
misogynistic,deepseek,expert_only,120.0,0.272275,0.006551,1.115148,0.290639,300,300,full_logistic
misogynistic,deepseek,expert_only,155.0,0.26136,0.007078,0.853778,0.259482,300,300,full_logistic
misogynistic,deepseek,expert_only,200.0,0.224989,0.005271,0.531406,0.219939,300,300,full_logistic
misogynistic,deepseek,dsl,20.0,29.844059,2.34483,121.056784,95.049428,300,156,full_logistic
misogynistic,deepseek,dsl,26.0,48.764551,3.63868,189.531379,105.728161,300,172,full_logistic
misogynistic,deepseek,dsl,33.0,28.037513,1.813325,92.74771,45.660571,300,230,full_logistic
misogynistic,deepseek,dsl,43.0,19.606658,1.252617,53.990392,45.711313,300,237,full_logistic
misogynistic,deepseek,dsl,56.0,17.480439,1.103182,43.935154,39.408307,300,246,full_logistic
misogynistic,deepseek,dsl,72.0,18.323218,1.166886,25.228542,18.518048,300,241,full_logistic
misogynistic,deepseek,dsl,93.0,18.215055,1.147787,91.488296,49.371182,300,245,full_logistic
misogynistic,deepseek,dsl,120.0,1.373813,0.063722,3.686233,1.376651,300,258,full_logistic
misogynistic,deepseek,dsl,155.0,1.219968,0.053622,3.726063,1.504954,300,270,full_logistic
misogynistic,deepseek,dsl,200.0,0.837728,0.029098,4.06129,0.98755,300,287,full_logistic
misogynistic,deepseek,ppi,20.0,3.3534690886592006e+68,1.9321254012316498e+67,8.672263028416076e+68,8.672343899792092e+68,300,300,full_logistic
misogynistic,deepseek,ppi,26.0,5.1625957834807554e+64,2.9756542059317885e+63,-1.1612430040128546e+64,1.15930700542585e+64,300,300,full_logistic
misogynistic,deepseek,ppi,33.0,7.300239732674555e+69,4.2057278355755543e+68,-1.5753322124868863e+69,2.6287443860273327e+69,300,300,full_logistic
misogynistic,deepseek,ppi,43.0,2.52000132557593e+55,1.4497500426017956e+54,2.7095404047613455e+54,1.0230280066051391e+55,300,300,full_logistic
misogynistic,deepseek,ppi,56.0,8.179370659642493e+69,4.714476180458717e+68,1.1260399345537189e+70,1.1236552585373025e+70,300,300,full_logistic
misogynistic,deepseek,ppi,72.0,9.04845967255028e+68,5.215416475463744e+67,5.743742383628002e+65,5.734161488955359e+65,300,300,full_logistic
misogynistic,deepseek,ppi,93.0,8.565933179476995e+55,4.932034405230017e+54,4.732202081297279e+55,6.056843097047007e+55,300,300,full_logistic
misogynistic,deepseek,ppi,120.0,1.0545920427801354e+55,6.069808731267036e+53,8.479198602684577e+54,4.924123745699342e+54,300,300,full_logistic
misogynistic,deepseek,ppi,155.0,1.5632016517391656e+56,9.007601773627579e+54,1.4889503895824582e+56,1.3503361640071076e+56,300,300,full_logistic
misogynistic,deepseek,ppi,200.0,3.5288583149489e+56,2.0339862709594672e+55,2.056511190021104e+56,2.052930172609755e+56,300,300,full_logistic
misogynistic,deepseek,ppipp,20.0,8.112482170301358e+48,4.675931008907732e+47,-3.234596790765985e+48,3.22920142770215e+48,300,300,full_logistic
misogynistic,deepseek,ppipp,26.0,2.9597171484975886e+55,1.7059302860479808e+54,5.4273901838747465e+54,5.4172394652372184e+54,300,300,full_logistic
misogynistic,deepseek,ppipp,33.0,2.988163963587548e+40,1.7187288388240202e+39,6.08051714134933e+39,9.20779826734949e+39,300,300,full_logistic
misogynistic,deepseek,ppipp,43.0,1.3185623983516056e+41,7.59921714484438e+39,-3.9005015436227097e+39,3.510383226151534e+39,300,300,full_logistic
misogynistic,deepseek,ppipp,56.0,5.464636002377752e+53,3.149746329275564e+52,-8.505288988590566e+52,8.491101674292584e+52,300,300,full_logistic
misogynistic,deepseek,ppipp,72.0,4.2097487866045966e+41,2.426261477878593e+40,-1.8433392478023652e+41,1.8415351069077716e+41,300,300,full_logistic
misogynistic,deepseek,ppipp,93.0,8.303998359542104e+41,4.7862077576264e+40,-1.6033046460597459e+41,1.5939623681477227e+41,300,300,full_logistic
misogynistic,deepseek,ppipp,120.0,2.0375484664412602e+39,1.170707179060712e+38,-4.49064342967145e+38,2.8666601429604206e+38,300,300,full_logistic
misogynistic,deepseek,ppipp,155.0,4.109179763474999e+51,2.3684786819665915e+50,-1.992060679130832e+50,1.988737806626847e+50,300,300,full_logistic
misogynistic,deepseek,ppipp,200.0,3.159562461282935e+40,1.8177435920165114e+39,-2.724359106806587e+38,6.158196141328285e+38,300,300,full_logistic
