dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,gpt54,llm_only,,0.740252,0.0,-0.740252,0.0,1.217861,0.0,300,300,high_variance
misogynistic,gpt54,expert_only,20.0,7.170641,0.382826,2.729739,0.382826,7.487586,0.366721,300,300,high_variance
misogynistic,gpt54,expert_only,26.0,5.904407,0.327516,1.6377,0.327516,6.151474,0.321512,300,300,high_variance
misogynistic,gpt54,expert_only,33.0,3.314483,0.175215,1.332543,0.175215,3.44307,0.158186,300,300,high_variance
misogynistic,gpt54,expert_only,43.0,2.508838,0.134024,0.951581,0.134024,2.614114,0.117647,300,300,high_variance
misogynistic,gpt54,expert_only,56.0,2.283717,0.120457,0.928664,0.120457,2.368905,0.105436,300,300,high_variance
misogynistic,gpt54,expert_only,72.0,1.5716,0.081445,0.692775,0.081445,1.639469,0.069114,300,300,high_variance
misogynistic,gpt54,expert_only,93.0,1.212888,0.063809,0.499636,0.063809,1.260386,0.050107,300,300,high_variance
misogynistic,gpt54,expert_only,120.0,1.039909,0.056681,0.342915,0.056681,1.08229,0.045162,300,300,high_variance
misogynistic,gpt54,expert_only,155.0,0.826722,0.044878,0.281537,0.044878,0.861185,0.031844,300,300,high_variance
misogynistic,gpt54,expert_only,200.0,0.717895,0.039512,0.216817,0.039512,0.744204,0.027327,300,300,high_variance
misogynistic,gpt54,dsl,20.0,1697.493481,97.852935,526.336913,97.852935,1763.751537,101.675282,300,272,high_variance
misogynistic,gpt54,dsl,26.0,1929.578393,107.372923,703.681945,107.372923,2000.682386,111.338983,300,280,high_variance
misogynistic,gpt54,dsl,33.0,2059.108723,114.099718,671.917976,114.099718,2136.891943,118.407993,300,291,high_variance
misogynistic,gpt54,dsl,43.0,1412.843538,79.522934,386.715583,79.522934,1460.806547,82.212567,300,292,high_variance
misogynistic,gpt54,dsl,56.0,736.314542,42.222674,146.951945,42.222674,759.692724,43.5522,300,292,high_variance
misogynistic,gpt54,dsl,72.0,1477.45877,82.276655,431.158041,82.276655,1527.347912,85.047075,300,295,high_variance
misogynistic,gpt54,dsl,93.0,1164.881149,66.029939,266.011252,66.029939,1206.206455,68.368102,300,295,high_variance
misogynistic,gpt54,dsl,120.0,888.349027,50.250068,184.846593,50.250068,918.514424,51.951026,300,299,high_variance
misogynistic,gpt54,dsl,155.0,675.72559,38.677559,96.514075,38.677559,699.662903,40.043154,300,299,high_variance
misogynistic,gpt54,dsl,200.0,229.641847,13.220097,17.438114,13.220097,237.173507,13.651318,300,300,high_variance
misogynistic,gpt54,ppi,20.0,9.533267135225619e+39,5.485617939917364e+38,7.792109620270974e+38,5.485617939917364e+38,9.652579819659106e+39,5.554291434455494e+38,300,300,high_variance
misogynistic,gpt54,ppi,26.0,3.915463285768603e+49,2.256822980225994e+48,2.260593947913929e+48,2.256822980225994e+48,3.9024640441157386e+49,2.2493303834902353e+48,300,300,high_variance
misogynistic,gpt54,ppi,33.0,5.041354223970163e+38,2.9057686147204813e+37,2.911677946786898e+37,2.9057686147204813e+37,5.210849172538852e+38,3.003463260990462e+37,300,300,high_variance
misogynistic,gpt54,ppi,43.0,8.282691064520379e+39,4.760806648439962e+38,7.791863954120891e+38,4.760806648439962e+38,8.649886520574611e+39,4.972149641907958e+38,300,300,high_variance
misogynistic,gpt54,ppi,56.0,5.158076985032346e+40,2.9639712542092094e+39,5.0038125083264103e+39,2.9639712542092094e+39,5.325233297729238e+40,3.060001320048147e+39,300,300,high_variance
misogynistic,gpt54,ppi,72.0,1.7862523278625476e+39,1.029343894821618e+38,1.0977621497735957e+38,1.029343894821618e+38,1.7943662843547807e+39,1.0340176896834279e+38,300,300,high_variance
misogynistic,gpt54,ppi,93.0,1.0156160404448052e+40,5.845787108762876e+38,7.924098673942175e+38,5.845787108762876e+38,1.0252633726905284e+40,5.901212667544688e+38,300,300,high_variance
misogynistic,gpt54,ppi,120.0,1.2784122253407156e+38,7.36860462858745e+36,7.380916425071061e+36,7.36860462858745e+36,1.3164135463675138e+38,7.587639384716952e+36,300,300,high_variance
misogynistic,gpt54,ppi,155.0,2.471398259689584e+28,1.412088480695931e+27,3.5472204055327005e+27,1.412088480695931e+27,2.5613094854110003e+28,1.4634301520431863e+27,300,300,high_variance
misogynistic,gpt54,ppi,200.0,5.652586794963828e+37,3.2580787632701086e+36,3.2635225077266293e+36,3.2580787632701086e+36,5.761587002130026e+37,3.320905089170425e+36,300,300,high_variance
misogynistic,gpt54,ppipp,20.0,2.6071375345555794e+26,1.502565752442932e+25,1.5509546365177015e+25,1.502565752442932e+25,2.6864710124636556e+26,1.5482898239176102e+25,300,300,high_variance
misogynistic,gpt54,ppipp,26.0,3.136082,0.176834,0.673735,0.176834,3.247027,0.161957,300,300,high_variance
misogynistic,gpt54,ppipp,33.0,1.0803798289338607e+26,6.227171213100254e+24,6.237575850620064e+24,6.227171213100254e+24,1.116722137581659e+26,6.43664363397329e+24,300,300,high_variance
misogynistic,gpt54,ppipp,43.0,1.323244,0.075923,0.147186,0.075923,1.387363,0.059198,300,300,high_variance
misogynistic,gpt54,ppipp,56.0,1.528681,0.086256,0.323803,0.086256,1.593879,0.071024,300,300,high_variance
misogynistic,gpt54,ppipp,72.0,1.355111,0.077108,0.229414,0.077108,1.421302,0.066926,300,300,high_variance
misogynistic,gpt54,ppipp,93.0,1.01927,0.057794,0.192009,0.057794,1.058406,0.043854,300,300,high_variance
misogynistic,gpt54,ppipp,120.0,0.732022,0.042033,0.076395,0.042033,0.770652,0.029628,300,300,high_variance
misogynistic,gpt54,ppipp,155.0,0.618563,0.035633,0.041306,0.035633,0.648933,0.02173,300,300,high_variance
misogynistic,gpt54,ppipp,200.0,0.560737,0.032337,0.026879,0.032337,0.585212,0.02034,300,300,high_variance
