dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,gpt54,llm_only,,0.584396,0.0,-0.584396,0.0,6.41947,0.0,300,300,low_variance
misogynistic,gpt54,expert_only,20.0,16.612086,0.93842,3.430963,0.93842,17.659626,0.733314,300,300,low_variance
misogynistic,gpt54,expert_only,26.0,13.209951,0.739838,3.208568,0.739838,14.05769,0.590491,300,300,low_variance
misogynistic,gpt54,expert_only,33.0,10.269192,0.566769,3.014685,0.566769,11.043989,0.421483,300,300,low_variance
misogynistic,gpt54,expert_only,43.0,7.193293,0.392166,2.367522,0.392166,7.771572,0.291546,300,300,low_variance
misogynistic,gpt54,expert_only,56.0,5.635533,0.297185,2.294243,0.297185,6.170653,0.212958,300,300,low_variance
misogynistic,gpt54,expert_only,72.0,5.050335,0.269514,1.927319,0.269514,5.594414,0.210809,300,300,low_variance
misogynistic,gpt54,expert_only,93.0,4.168151,0.221924,1.611957,0.221924,4.55299,0.16608,300,300,low_variance
misogynistic,gpt54,expert_only,120.0,3.013783,0.169173,0.705038,0.169173,3.413213,0.117115,300,300,low_variance
misogynistic,gpt54,expert_only,155.0,2.520238,0.138257,0.785583,0.138257,2.888864,0.097361,300,300,low_variance
misogynistic,gpt54,expert_only,200.0,1.971466,0.110046,0.503621,0.110046,2.278592,0.073107,300,300,low_variance
misogynistic,gpt54,dsl,20.0,826.23962,49.267225,-101.592565,49.267225,848.342741,50.469383,300,277,low_variance
misogynistic,gpt54,dsl,26.0,935.192524,55.322741,-73.301145,55.322741,960.606019,56.76283,300,284,low_variance
misogynistic,gpt54,dsl,33.0,10.591654,0.613983,0.773687,0.613983,11.106823,0.558577,300,296,low_variance
misogynistic,gpt54,dsl,43.0,4.529398,0.260218,0.448854,0.260218,5.078019,0.219249,300,300,low_variance
misogynistic,gpt54,dsl,56.0,2.777281,0.159216,0.329243,0.159216,3.389023,0.125291,300,300,low_variance
misogynistic,gpt54,dsl,72.0,2.976602,0.169425,0.498688,0.169425,3.445576,0.143628,300,300,low_variance
misogynistic,gpt54,dsl,93.0,1.72259,0.097396,0.348576,0.097396,2.199105,0.072675,300,300,low_variance
misogynistic,gpt54,dsl,120.0,1.347848,0.077489,0.123798,0.077489,1.845261,0.054362,300,300,low_variance
misogynistic,gpt54,dsl,155.0,1.216413,0.069197,0.207809,0.069197,1.626222,0.052078,300,300,low_variance
misogynistic,gpt54,dsl,200.0,0.811484,0.046827,0.025732,0.046827,1.228414,0.03437,300,300,low_variance
misogynistic,gpt54,ppi,20.0,1.152454932774337e+29,6.641888822004386e+27,-6.864224908827592e+27,6.641888822004386e+27,1.2020649359670263e+29,6.927814950407874e+27,300,300,low_variance
misogynistic,gpt54,ppi,26.0,37.495508,2.156819,-3.217517,2.156819,39.15268,2.217963,300,300,low_variance
misogynistic,gpt54,ppi,33.0,1.344340816786506e+37,7.748608601059969e+35,-7.761555324542906e+35,7.748608601059969e+35,1.3960574969515972e+37,8.046696933826211e+35,300,300,low_variance
misogynistic,gpt54,ppi,43.0,6.428826,0.369886,-0.533908,0.369886,6.996221,0.351269,300,300,low_variance
misogynistic,gpt54,ppi,56.0,2.295165,0.132511,-0.005557,0.132511,3.158263,0.102306,300,300,low_variance
misogynistic,gpt54,ppi,72.0,1.844472,0.106394,0.07875,0.106394,2.63236,0.076049,300,300,low_variance
misogynistic,gpt54,ppi,93.0,1.651681,0.09435,0.239686,0.09435,2.284866,0.06938,300,300,low_variance
misogynistic,gpt54,ppi,120.0,1.373856,0.07833,0.216355,0.07833,1.995598,0.053841,300,300,low_variance
misogynistic,gpt54,ppi,155.0,1.278363,0.072489,0.240421,0.072489,1.829758,0.052848,300,300,low_variance
misogynistic,gpt54,ppi,200.0,1.101996,0.06292,0.163434,0.06292,1.566428,0.041399,300,300,low_variance
misogynistic,gpt54,ppipp,20.0,6.907605,0.381538,2.010889,0.381538,7.76806,0.290366,300,300,low_variance
misogynistic,gpt54,ppipp,26.0,5.337907,0.29179,1.717803,0.29179,6.163738,0.202675,300,300,low_variance
misogynistic,gpt54,ppipp,33.0,4.859972,0.268082,1.434872,0.268082,5.676072,0.191114,300,300,low_variance
misogynistic,gpt54,ppipp,43.0,3.74022,0.202933,1.278563,0.202933,4.373808,0.137888,300,300,low_variance
misogynistic,gpt54,ppipp,56.0,3.180434,0.171061,1.15612,0.171061,3.750187,0.115506,300,300,low_variance
misogynistic,gpt54,ppipp,72.0,2.623544,0.14155,0.933854,0.14155,3.224649,0.10064,300,300,low_variance
misogynistic,gpt54,ppipp,93.0,2.370331,0.127587,0.857299,0.127587,2.787598,0.086346,300,300,low_variance
misogynistic,gpt54,ppipp,120.0,1.83211,0.103628,0.367409,0.103628,2.258497,0.070115,300,300,low_variance
misogynistic,gpt54,ppipp,155.0,1.556507,0.086175,0.441452,0.086175,1.932618,0.059503,300,300,low_variance
misogynistic,gpt54,ppipp,200.0,1.293381,0.072654,0.298732,0.072654,1.61809,0.048261,300,300,low_variance
