dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,mistral,llm_only,,0.853327,0.0,-0.853327,0.0,0.871288,0.0,300,300,high_variance
misogynistic,mistral,expert_only,20.0,7.022599,0.371253,2.822828,0.371253,7.310194,0.356199,300,300,high_variance
misogynistic,mistral,expert_only,26.0,3.983672,0.210288,1.613501,0.210288,4.126142,0.192528,300,300,high_variance
misogynistic,mistral,expert_only,33.0,3.6089,0.187991,1.556261,0.187991,3.746195,0.171732,300,300,high_variance
misogynistic,mistral,expert_only,43.0,2.303109,0.118822,1.033776,0.118822,2.390102,0.102969,300,300,high_variance
misogynistic,mistral,expert_only,56.0,2.018982,0.102587,0.958679,0.102587,2.098075,0.087607,300,300,high_variance
misogynistic,mistral,expert_only,72.0,1.631742,0.085781,0.674587,0.085781,1.689246,0.071854,300,300,high_variance
misogynistic,mistral,expert_only,93.0,1.363133,0.071492,0.569919,0.071492,1.412968,0.061544,300,300,high_variance
misogynistic,mistral,expert_only,120.0,1.150725,0.060717,0.467119,0.060717,1.192791,0.048467,300,300,high_variance
misogynistic,mistral,expert_only,155.0,0.886601,0.047524,0.329387,0.047524,0.923776,0.034798,300,300,high_variance
misogynistic,mistral,expert_only,200.0,0.67155,0.036842,0.209225,0.036842,0.696785,0.024912,300,300,high_variance
misogynistic,mistral,dsl,20.0,1947.355135,110.451829,623.299136,110.451829,2025.453373,114.892234,300,279,high_variance
misogynistic,mistral,dsl,26.0,1991.294102,110.944468,694.188156,110.944468,2062.331081,114.901075,300,283,high_variance
misogynistic,mistral,dsl,33.0,1882.42488,104.30766,631.805368,104.30766,1952.538721,108.184447,300,289,high_variance
misogynistic,mistral,dsl,43.0,1080.440532,61.754059,262.764879,61.754059,1118.612537,63.925826,300,288,high_variance
misogynistic,mistral,dsl,56.0,1315.820851,74.112234,324.912359,74.112234,1366.251247,76.947202,300,296,high_variance
misogynistic,mistral,dsl,72.0,1161.363891,65.780162,234.487121,65.780162,1201.912292,68.070007,300,299,high_variance
misogynistic,mistral,dsl,93.0,788.981238,45.217877,123.403574,45.217877,816.520592,46.791663,300,297,high_variance
misogynistic,mistral,dsl,120.0,436.052353,24.964969,61.563039,24.964969,451.450811,25.842218,300,299,high_variance
misogynistic,mistral,dsl,155.0,529.246051,30.246314,75.163322,30.246314,546.665882,31.237196,300,300,high_variance
misogynistic,mistral,dsl,200.0,2.607202,0.14462,0.723201,0.14462,2.677563,0.138988,300,300,high_variance
misogynistic,mistral,ppi,20.0,4.098741025802379e+41,2.3609328903557217e+40,2.7868559041555393e+40,2.3609328903557217e+40,4.3144948304950325e+41,2.4852340310143033e+40,300,300,high_variance
misogynistic,mistral,ppi,26.0,2.6033755718576537e+42,1.5004527509399768e+41,1.532611977479142e+41,1.5004527509399768e+41,2.712509423337094e+42,1.5633526550054863e+41,300,300,high_variance
misogynistic,mistral,ppi,33.0,1.1126362928858008e+40,6.411426571791363e+38,6.904925548104767e+38,6.411426571791363e+38,1.1391378218513256e+40,6.564162982567372e+38,300,300,high_variance
misogynistic,mistral,ppi,43.0,2.187898287384932e+28,1.259131983415607e+27,1.7509671887718453e+27,1.259131983415607e+27,2.268369138151281e+28,1.305456763157895e+27,300,300,high_variance
misogynistic,mistral,ppi,56.0,4.2338465305137236e+27,2.438265293774714e+26,3.000725170091681e+26,2.438265293774714e+26,4.393999158691329e+27,2.5305196199552362e+26,300,300,high_variance
misogynistic,mistral,ppi,72.0,7.831803690445237e+27,4.508174181783712e+26,6.051823574493105e+26,4.508174181783712e+26,8.104781419480336e+27,4.66531778356758e+26,300,300,high_variance
misogynistic,mistral,ppi,93.0,1.300745827491753e+28,7.490415162052063e+26,9.35421228122487e+26,7.490415162052063e+26,1.3450667137519744e+28,7.745629236998307e+26,300,300,high_variance
misogynistic,mistral,ppi,120.0,4.127357900126675e+28,2.3743559276632262e+27,3.4983570722494265e+27,2.3743559276632262e+27,4.279969379639865e+28,2.4621549467831844e+27,300,300,high_variance
misogynistic,mistral,ppi,155.0,2.821259119493427e+27,1.623249453234277e+26,2.3385178436070113e+26,1.623249453234277e+26,2.9310995287366484e+27,1.686444216284597e+26,300,300,high_variance
misogynistic,mistral,ppi,200.0,5.824850647047254e+25,3.3445674193117476e+24,6.086800419283374e+24,3.3445674193117476e+24,6.055316634013356e+25,3.476887816373301e+24,300,300,high_variance
misogynistic,mistral,ppipp,20.0,2.1343809842890186e+27,1.230135642032016e+26,1.260202075145119e+26,1.230135642032016e+26,2.197463633697492e+27,1.2664923931008183e+26,300,300,high_variance
misogynistic,mistral,ppipp,26.0,6.454617091598579e+26,3.719762926949276e+25,3.900937080211743e+25,3.719762926949276e+25,6.676595255672952e+26,3.847687303994435e+25,300,300,high_variance
misogynistic,mistral,ppipp,33.0,2.126458105948684e+26,1.2256632666212038e+25,1.2277111598899343e+25,1.2256632666212038e+25,2.1681454761835218e+26,1.2496913338734783e+25,300,300,high_variance
misogynistic,mistral,ppipp,43.0,1.647145,0.092,0.416996,0.092,1.708287,0.077871,300,300,high_variance
misogynistic,mistral,ppipp,56.0,1.758766,0.097937,0.464473,0.097937,1.827361,0.086618,300,300,high_variance
misogynistic,mistral,ppipp,72.0,1.52814,0.085498,0.377141,0.085498,1.578872,0.075297,300,300,high_variance
misogynistic,mistral,ppipp,93.0,1.250429,0.06979,0.319985,0.06979,1.289732,0.060268,300,300,high_variance
misogynistic,mistral,ppipp,120.0,0.871494,0.048516,0.230988,0.048516,0.903207,0.036002,300,300,high_variance
misogynistic,mistral,ppipp,155.0,0.650038,0.036885,0.119958,0.036885,0.676435,0.023757,300,300,high_variance
