dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
vuamc,claude,llm_only,,0.520911,0.0,0.155056,0.0,300,300,full_logistic
vuamc,claude,expert_only,20.0,42.462858,2.321509,14.465134,3.924738,300,300,full_logistic
vuamc,claude,expert_only,26.0,478.9945,27.328788,-18.8622,29.022579,300,300,full_logistic
vuamc,claude,expert_only,33.0,183.496198,10.386074,5.65455,5.737301,300,300,full_logistic
vuamc,claude,expert_only,43.0,711.182681,40.807604,-1.903915,28.153287,300,300,full_logistic
vuamc,claude,expert_only,56.0,332.605529,19.016114,97.389384,83.300947,300,300,full_logistic
vuamc,claude,expert_only,72.0,106.563847,6.00303,1.427452,10.588122,300,300,full_logistic
vuamc,claude,expert_only,93.0,137.496887,7.892673,13.629053,8.659385,300,300,full_logistic
vuamc,claude,expert_only,120.0,19.045125,1.085949,3.672985,2.324652,300,300,full_logistic
vuamc,claude,expert_only,155.0,0.974123,0.035989,0.271936,0.060793,300,300,full_logistic
vuamc,claude,expert_only,200.0,9.182494,0.526511,1.549725,1.401337,300,300,full_logistic
vuamc,claude,dsl,20.0,50.503893,5.556287,33.665927,14.207089,300,51,full_logistic
vuamc,claude,dsl,26.0,43.786759,4.592368,10.697863,13.533937,300,43,full_logistic
vuamc,claude,dsl,33.0,14.239888,1.311728,-0.986116,2.058302,300,99,full_logistic
vuamc,claude,dsl,43.0,19.524119,1.56564,-2.634862,1.77205,300,134,full_logistic
vuamc,claude,dsl,56.0,7.417252,0.585403,1.229565,1.254345,300,141,full_logistic
vuamc,claude,dsl,72.0,15.950947,1.227936,1.197543,1.304208,300,157,full_logistic
vuamc,claude,dsl,93.0,11.10888,0.786312,1.360263,0.966366,300,179,full_logistic
vuamc,claude,dsl,120.0,11.623071,0.803314,-0.040239,0.982944,300,182,full_logistic
vuamc,claude,dsl,155.0,7.754057,0.515273,1.634999,0.679775,300,192,full_logistic
vuamc,claude,dsl,200.0,8.48048,0.542064,-0.032183,0.375506,300,226,full_logistic
vuamc,claude,ppi,20.0,5.279100251495709e+53,3.0379590221024923e+52,3.674682446441331e+51,2.5099950619118676e+52,300,300,full_logistic
vuamc,claude,ppi,26.0,5.700694273635981e+53,3.279623668523899e+52,5.160249441209339e+52,3.491428469313563e+52,300,300,full_logistic
vuamc,claude,ppi,33.0,5.491855695514938e+53,3.1640210994796827e+52,9.951146053692456e+51,1.3471039962477256e+52,300,300,full_logistic
vuamc,claude,ppi,43.0,2.0191069185741834e+53,1.160744607910475e+52,-6.772481249465169e+51,9.370086687270044e+51,300,300,full_logistic
vuamc,claude,ppi,56.0,4.638894873068846e+53,2.667636415580252e+52,7.340779798952269e+52,5.094567169764823e+52,300,300,full_logistic
vuamc,claude,ppi,72.0,1.5194373200606591e+54,8.757545441388932e+52,-2.4765491979367996e+53,2.4688464857561484e+53,300,300,full_logistic
vuamc,claude,ppi,93.0,1.2792347937971163e+52,7.370225195139792e+50,-1.3114494297007549e+51,1.0513221489087186e+51,300,300,full_logistic
vuamc,claude,ppi,120.0,1.063564028392456e+52,6.127913509827132e+50,-1.8201133015860813e+51,1.7848575083481367e+51,300,300,full_logistic
vuamc,claude,ppi,155.0,1.2764334759358566e+51,7.357199369992898e+49,5.622855120998885e+49,5.613475873230727e+49,300,300,full_logistic
vuamc,claude,ppi,200.0,2.531012318731664e+49,1.4588431428494902e+48,-9.508841307419188e+47,9.492980006520187e+47,300,300,full_logistic
vuamc,claude,ppipp,20.0,2.1680494640812668e+53,1.2496330697588908e+52,1.841151040575536e+52,1.8357045896943044e+52,300,300,full_logistic
vuamc,claude,ppipp,26.0,3.334182389347761e+54,1.921694124191514e+53,5.855287666559119e+53,5.819165705447345e+53,300,300,full_logistic
vuamc,claude,ppipp,33.0,5.534134817819584e+52,3.184774980028471e+51,-4.829003349139223e+51,7.554746780806614e+51,300,300,full_logistic
vuamc,claude,ppipp,43.0,2.565270707962807e+48,1.4785892379764935e+47,-2.371494473618927e+47,2.3675390748258208e+47,300,300,full_logistic
vuamc,claude,ppipp,56.0,4.1558168633860414e+51,2.3952076991528245e+50,1.0804735940777652e+51,1.0624952716716591e+51,300,300,full_logistic
vuamc,claude,ppipp,72.0,2.6662391910620708e+39,1.5359187424388538e+38,-3.697047825844128e+38,4.0598081792452805e+38,300,300,full_logistic
vuamc,claude,ppipp,93.0,1.097261492707407e+39,6.324267107924744e+37,8.612468354261441e+37,8.54469548248679e+37,300,300,full_logistic
vuamc,claude,ppipp,120.0,1.9585759554347625e+39,1.1284609195223753e+38,1.0899815338930068e+38,1.2286960908159127e+38,300,300,full_logistic
vuamc,claude,ppipp,155.0,1.5162133068961843e+38,8.727565785580315e+36,1.2398437277106515e+37,1.1770333889058698e+37,300,300,full_logistic
vuamc,claude,ppipp,200.0,1.844683457880143e+34,1.0632519585623556e+33,5.0557430015041176e+32,5.047300817512012e+32,300,300,full_logistic
