dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,llama,ppipp,20,0.558397,0.009392,-0.534177,0.009392,0.564959,0.008653,300,300,low_variance
vuamc,llama,ppipp,26,0.540069,0.007842,-0.52271,0.007842,0.547803,0.007285,300,300,low_variance
vuamc,llama,ppipp,33,0.518457,0.007119,-0.50358,0.007119,0.522838,0.006586,300,300,low_variance
vuamc,llama,ppipp,43,0.518715,0.006289,-0.507149,0.006289,0.524665,0.005892,300,300,low_variance
vuamc,llama,ppipp,56,0.501956,0.005296,-0.493504,0.005296,0.506482,0.00482,300,300,low_variance
vuamc,llama,ppipp,72,0.502588,0.004225,-0.497232,0.004225,0.506437,0.00386,300,300,low_variance
vuamc,llama,ppipp,93,0.511352,0.003994,-0.506651,0.003994,0.512719,0.003699,300,300,low_variance
vuamc,llama,ppipp,120,0.506085,0.003304,-0.50284,0.003304,0.506882,0.003058,300,300,low_variance
vuamc,llama,ppipp,155,0.50361,0.002718,-0.501405,0.002718,0.506372,0.002581,300,300,low_variance
vuamc,llama,ppipp,200,0.505768,0.002497,-0.503915,0.002497,0.506667,0.002299,300,300,low_variance
