dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid
vuamc,claude,llm_only,,0.112285,0.0,300,300
vuamc,claude,expert_only,20.0,0.611488,0.018309,300,300
vuamc,claude,expert_only,26.0,0.520271,0.014822,300,300
vuamc,claude,expert_only,33.0,0.344324,0.007804,300,300
vuamc,claude,expert_only,43.0,0.297959,0.006636,300,300
vuamc,claude,expert_only,56.0,0.252791,0.006441,300,300
vuamc,claude,expert_only,72.0,0.221431,0.00518,300,300
vuamc,claude,expert_only,93.0,0.184791,0.004439,300,300
vuamc,claude,expert_only,120.0,0.146679,0.002957,300,300
vuamc,claude,expert_only,155.0,0.123463,0.002561,300,300
vuamc,claude,expert_only,200.0,0.103663,0.002157,300,300
vuamc,claude,dsl,20.0,0.608547,0.012039,300,300
vuamc,claude,dsl,26.0,0.50005,0.010054,300,300
vuamc,claude,dsl,33.0,0.304893,0.007833,300,300
vuamc,claude,dsl,43.0,0.240113,0.00563,300,300
vuamc,claude,dsl,56.0,0.210342,0.004733,300,300
vuamc,claude,dsl,72.0,0.177086,0.003729,300,300
vuamc,claude,dsl,93.0,0.150348,0.003131,300,300
vuamc,claude,dsl,120.0,0.13227,0.002674,300,300
vuamc,claude,dsl,155.0,0.118165,0.002457,300,300
vuamc,claude,dsl,200.0,0.096617,0.002044,300,300
vuamc,claude,ppi,20.0,0.110304,0.000227,300,300
vuamc,claude,ppi,26.0,0.109537,0.000267,300,300
vuamc,claude,ppi,33.0,0.109209,0.000307,300,300
vuamc,claude,ppi,43.0,0.107956,0.000365,300,300
vuamc,claude,ppi,56.0,0.107065,0.00038,300,300
vuamc,claude,ppi,72.0,0.105276,0.000395,300,300
vuamc,claude,ppi,93.0,0.102811,0.000452,300,300
vuamc,claude,ppi,120.0,0.100235,0.000533,300,300
vuamc,claude,ppi,155.0,0.097092,0.000603,300,300
vuamc,claude,ppi,200.0,0.092168,0.000641,300,300
vuamc,claude,ppipp,20.0,0.402829,0.01246,300,300
vuamc,claude,ppipp,26.0,0.343629,0.009105,300,300
vuamc,claude,ppipp,33.0,0.26453,0.00637,300,300
vuamc,claude,ppipp,43.0,0.221795,0.00493,300,300
vuamc,claude,ppipp,56.0,0.192611,0.00449,300,300
vuamc,claude,ppipp,72.0,0.173404,0.00386,300,300
vuamc,claude,ppipp,93.0,0.147235,0.003261,300,300
vuamc,claude,ppipp,120.0,0.122302,0.002409,300,300
vuamc,claude,ppipp,155.0,0.107026,0.002243,300,300
vuamc,claude,ppipp,200.0,0.088174,0.001853,300,300
