dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,claude,llm_only,,0.107655,0.0,-0.107655,0.0,0.075437,0.0,300,300,high_variance
vuamc,claude,expert_only,20.0,0.215811,0.012187,0.04491,0.012187,0.19454,0.006308,300,300,high_variance
vuamc,claude,expert_only,26.0,0.196843,0.011198,0.033553,0.011198,0.17321,0.00557,300,300,high_variance
vuamc,claude,expert_only,33.0,0.159589,0.008802,0.04716,0.008802,0.143234,0.004339,300,300,high_variance
vuamc,claude,expert_only,43.0,0.125471,0.00723,0.007948,0.00723,0.111895,0.003134,300,300,high_variance
vuamc,claude,expert_only,56.0,0.117958,0.006677,0.023242,0.006677,0.103232,0.003193,300,300,high_variance
vuamc,claude,expert_only,72.0,0.105372,0.006042,0.012282,0.006042,0.09419,0.002823,300,300,high_variance
vuamc,claude,expert_only,93.0,0.088363,0.005072,0.009438,0.005072,0.080588,0.002261,300,300,high_variance
vuamc,claude,expert_only,120.0,0.075532,0.004341,0.007136,0.004341,0.068158,0.001951,300,300,high_variance
vuamc,claude,expert_only,155.0,0.061803,0.003567,0.001577,0.003567,0.053862,0.001565,300,300,high_variance
vuamc,claude,expert_only,200.0,0.053007,0.003034,0.006936,0.003034,0.049411,0.001427,300,300,high_variance
vuamc,claude,dsl,20.0,0.211431,0.012199,0.00749,0.012199,0.234855,0.006161,300,300,high_variance
vuamc,claude,dsl,26.0,0.202427,0.010671,0.082566,0.010671,0.204874,0.005497,300,300,high_variance
vuamc,claude,dsl,33.0,0.126424,0.007156,0.024951,0.007156,0.128843,0.003889,300,300,high_variance
vuamc,claude,dsl,43.0,0.106836,0.00616,0.005516,0.00616,0.105703,0.003007,300,300,high_variance
vuamc,claude,dsl,56.0,0.092113,0.005318,-0.00076,0.005318,0.093523,0.002567,300,300,high_variance
vuamc,claude,dsl,72.0,0.079893,0.004605,-0.004608,0.004605,0.080403,0.002289,300,300,high_variance
vuamc,claude,dsl,93.0,0.065164,0.003762,2.2e-05,0.003762,0.070509,0.002079,300,300,high_variance
vuamc,claude,dsl,120.0,0.060636,0.0035,-0.001293,0.0035,0.062735,0.001842,300,300,high_variance
vuamc,claude,dsl,155.0,0.05197,0.002998,-0.00208,0.002998,0.052795,0.001513,300,300,high_variance
vuamc,claude,dsl,200.0,0.041578,0.002384,-0.004867,0.002384,0.043636,0.001186,300,300,high_variance
vuamc,claude,ppi,20.0,0.105386,0.000199,-0.10533,0.000199,0.073879,0.000145,300,300,high_variance
vuamc,claude,ppi,26.0,0.104957,0.000222,-0.104887,0.000222,0.073595,0.000162,300,300,high_variance
vuamc,claude,ppi,33.0,0.103829,0.00024,-0.103745,0.00024,0.072787,0.000174,300,300,high_variance
vuamc,claude,ppi,43.0,0.103113,0.000299,-0.102983,0.000299,0.072323,0.000215,300,300,high_variance
vuamc,claude,ppi,56.0,0.101887,0.000315,-0.101741,0.000315,0.071558,0.00023,300,300,high_variance
vuamc,claude,ppi,72.0,0.100557,0.000349,-0.100375,0.000349,0.070616,0.000254,300,300,high_variance
vuamc,claude,ppi,93.0,0.097946,0.000393,-0.097709,0.000393,0.068813,0.000286,300,300,high_variance
vuamc,claude,ppi,120.0,0.09501,0.000455,-0.094683,0.000455,0.066812,0.000333,300,300,high_variance
vuamc,claude,ppi,155.0,0.091777,0.000507,-0.091356,0.000507,0.064611,0.00037,300,300,high_variance
vuamc,claude,ppi,200.0,0.087597,0.000542,-0.087092,0.000542,0.061773,0.000392,300,300,high_variance
vuamc,claude,ppipp,20.0,0.163938,0.009438,0.012303,0.009438,0.153549,0.005098,300,300,high_variance
vuamc,claude,ppipp,26.0,0.155337,0.008947,0.010725,0.008947,0.140289,0.004623,300,300,high_variance
vuamc,claude,ppipp,33.0,0.130306,0.007365,0.026617,0.007365,0.118502,0.003624,300,300,high_variance
vuamc,claude,ppipp,43.0,0.10364,0.005981,-0.003302,0.005981,0.094431,0.002785,300,300,high_variance
vuamc,claude,ppipp,56.0,0.097366,0.005587,0.010787,0.005587,0.086879,0.002673,300,300,high_variance
vuamc,claude,ppipp,72.0,0.082125,0.004741,0.001463,0.004741,0.077052,0.002269,300,300,high_variance
vuamc,claude,ppipp,93.0,0.070267,0.004052,0.003528,0.004052,0.06744,0.00188,300,300,high_variance
vuamc,claude,ppipp,120.0,0.061095,0.003525,0.002038,0.003525,0.057263,0.001628,300,300,high_variance
vuamc,claude,ppipp,155.0,0.051302,0.00296,-0.001802,0.00296,0.046399,0.001303,300,300,high_variance
vuamc,claude,ppipp,200.0,0.044606,0.002571,0.002577,0.002571,0.042491,0.00122,300,300,high_variance
