dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,claude,llm_only,,0.150361,0.0,-0.150361,0.0,0.150542,0.0,300,300,low_variance
vuamc,claude,expert_only,20.0,0.557725,0.031995,0.062918,0.031995,0.555127,0.020352,300,300,low_variance
vuamc,claude,expert_only,26.0,0.494521,0.028349,0.058816,0.028349,0.492773,0.017937,300,300,low_variance
vuamc,claude,expert_only,33.0,0.491246,0.027884,0.089829,0.027884,0.488464,0.019145,300,300,low_variance
vuamc,claude,expert_only,43.0,0.428628,0.024308,0.080318,0.024308,0.42661,0.015934,300,300,low_variance
vuamc,claude,expert_only,56.0,0.371263,0.020797,0.089906,0.020797,0.368447,0.014354,300,300,low_variance
vuamc,claude,expert_only,72.0,0.32316,0.01845,0.048113,0.01845,0.321172,0.013304,300,300,low_variance
vuamc,claude,expert_only,93.0,0.26588,0.01534,0.009667,0.01534,0.264318,0.0096,300,300,low_variance
vuamc,claude,expert_only,120.0,0.238285,0.013716,0.018505,0.013716,0.238365,0.009232,300,300,low_variance
vuamc,claude,expert_only,155.0,0.189407,0.010871,0.020462,0.010871,0.190161,0.006661,300,300,low_variance
vuamc,claude,expert_only,200.0,0.155902,0.008999,-0.003072,0.008999,0.154628,0.005286,300,300,low_variance
vuamc,claude,dsl,20.0,0.822024,0.004064,-0.819005,0.004064,0.824762,0.003688,300,300,low_variance
vuamc,claude,dsl,26.0,0.795242,0.003524,-0.792896,0.003524,0.801074,0.002807,300,300,low_variance
vuamc,claude,dsl,33.0,0.80589,0.001558,-0.805438,0.001558,0.807646,0.001119,300,300,low_variance
vuamc,claude,dsl,43.0,0.805537,0.001296,-0.805224,0.001296,0.808143,0.000803,300,300,low_variance
vuamc,claude,dsl,56.0,0.807174,0.001124,-0.806939,0.001124,0.808459,0.000743,300,300,low_variance
vuamc,claude,dsl,72.0,0.807806,0.000881,-0.807662,0.000881,0.808551,0.000555,300,300,low_variance
vuamc,claude,dsl,93.0,0.806994,0.000768,-0.806884,0.000768,0.80791,0.000514,300,300,low_variance
vuamc,claude,dsl,120.0,0.808128,0.000707,-0.808035,0.000707,0.808424,0.000442,300,300,low_variance
vuamc,claude,dsl,155.0,0.806721,0.000618,-0.80665,0.000618,0.808305,0.000384,300,300,low_variance
vuamc,claude,dsl,200.0,0.808253,0.000469,-0.808213,0.000469,0.808513,0.000276,300,300,low_variance
vuamc,claude,ppi,20.0,0.502464,0.00775,-0.484202,0.00775,0.508352,0.006271,300,300,low_variance
vuamc,claude,ppi,26.0,0.504204,0.00751,-0.487136,0.00751,0.508722,0.006314,300,300,low_variance
vuamc,claude,ppi,33.0,0.502612,0.007317,-0.486373,0.007317,0.506003,0.006459,300,300,low_variance
vuamc,claude,ppi,43.0,0.503071,0.005499,-0.493971,0.005499,0.506967,0.005211,300,300,low_variance
vuamc,claude,ppi,56.0,0.495644,0.005046,-0.487876,0.005046,0.498144,0.004915,300,300,low_variance
vuamc,claude,ppi,72.0,0.504419,0.004447,-0.498505,0.004447,0.505396,0.004305,300,300,low_variance
vuamc,claude,ppi,93.0,0.49702,0.003608,-0.493077,0.003608,0.499354,0.003587,300,300,low_variance
vuamc,claude,ppi,120.0,0.50149,0.002969,-0.498847,0.002969,0.502987,0.002857,300,300,low_variance
vuamc,claude,ppi,155.0,0.503287,0.002645,-0.501199,0.002645,0.505625,0.002519,300,300,low_variance
vuamc,claude,ppi,200.0,0.503143,0.002337,-0.501512,0.002337,0.504125,0.002281,300,300,low_variance
vuamc,claude,ppipp,20.0,0.515588,0.006352,-0.503714,0.006352,0.520085,0.005444,300,300,low_variance
vuamc,claude,ppipp,26.0,0.511764,0.005451,-0.50298,0.005451,0.517475,0.004786,300,300,low_variance
vuamc,claude,ppipp,33.0,0.504887,0.005399,-0.496153,0.005399,0.50808,0.004795,300,300,low_variance
vuamc,claude,ppipp,43.0,0.50638,0.004399,-0.500614,0.004399,0.511364,0.003954,300,300,low_variance
vuamc,claude,ppipp,56.0,0.498119,0.003873,-0.493581,0.003873,0.501937,0.003425,300,300,low_variance
vuamc,claude,ppipp,72.0,0.504469,0.00334,-0.50114,0.00334,0.507405,0.00299,300,300,low_variance
vuamc,claude,ppipp,93.0,0.507966,0.003113,-0.505097,0.003113,0.509668,0.002858,300,300,low_variance
vuamc,claude,ppipp,120.0,0.506057,0.002539,-0.504142,0.002539,0.506812,0.002359,300,300,low_variance
vuamc,claude,ppipp,155.0,0.504508,0.002149,-0.503133,0.002149,0.507049,0.002008,300,300,low_variance
vuamc,claude,ppipp,200.0,0.505854,0.001948,-0.504728,0.001948,0.506782,0.001783,300,300,low_variance
