dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
vuamc,claude,llm_only,,0.005952,0.0,-0.005952,0.0,300,prevalence
vuamc,claude,expert_only,20.0,0.265898,0.015218,-0.034944,0.015218,300,prevalence
vuamc,claude,expert_only,26.0,0.224181,0.012942,0.0026,0.012942,300,prevalence
vuamc,claude,expert_only,33.0,0.191297,0.011044,-0.000946,0.011044,300,prevalence
vuamc,claude,expert_only,43.0,0.187393,0.010806,0.009205,0.010806,300,prevalence
vuamc,claude,expert_only,56.0,0.158256,0.009136,0.002012,0.009136,300,prevalence
vuamc,claude,expert_only,72.0,0.133271,0.007694,0.001305,0.007694,300,prevalence
vuamc,claude,expert_only,93.0,0.120142,0.006932,0.004297,0.006932,300,prevalence
vuamc,claude,expert_only,120.0,0.096693,0.005583,-0.000544,0.005583,300,prevalence
vuamc,claude,expert_only,155.0,0.092023,0.005313,-8.2e-05,0.005313,300,prevalence
vuamc,claude,expert_only,200.0,0.075606,0.004365,0.000473,0.004365,300,prevalence
vuamc,claude,dsl,20.0,0.266302,0.015236,-0.035772,0.015236,300,prevalence
vuamc,claude,dsl,26.0,0.203339,0.011736,0.005053,0.011736,300,prevalence
vuamc,claude,dsl,33.0,0.12406,0.00716,-0.003265,0.00716,300,prevalence
vuamc,claude,dsl,43.0,0.117041,0.006717,0.012717,0.006717,300,prevalence
vuamc,claude,dsl,56.0,0.093454,0.005395,0.00091,0.005395,300,prevalence
vuamc,claude,dsl,72.0,0.080536,0.004649,0.00162,0.004649,300,prevalence
vuamc,claude,dsl,93.0,0.068732,0.003968,-0.000806,0.003968,300,prevalence
vuamc,claude,dsl,120.0,0.057164,0.003277,0.00676,0.003277,300,prevalence
vuamc,claude,dsl,155.0,0.05298,0.003058,-0.001248,0.003058,300,prevalence
vuamc,claude,dsl,200.0,0.045627,0.002634,0.000672,0.002634,300,prevalence
vuamc,claude,ppi,20.0,0.16822,0.009598,-0.025706,0.009598,300,prevalence
vuamc,claude,ppi,26.0,0.146183,0.008433,-0.005786,0.008433,300,prevalence
vuamc,claude,ppi,33.0,0.119742,0.006892,-0.009385,0.006892,300,prevalence
vuamc,claude,ppi,43.0,0.117361,0.006773,0.003441,0.006773,300,prevalence
vuamc,claude,ppi,56.0,0.091666,0.005285,-0.004918,0.005285,300,prevalence
vuamc,claude,ppi,72.0,0.079241,0.004573,-0.002474,0.004573,300,prevalence
vuamc,claude,ppi,93.0,0.068355,0.003941,-0.003432,0.003941,300,prevalence
vuamc,claude,ppi,120.0,0.056884,0.003274,0.004459,0.003274,300,prevalence
vuamc,claude,ppi,155.0,0.05287,0.003047,-0.0032,0.003047,300,prevalence
vuamc,claude,ppi,200.0,0.0455,0.002626,-0.000946,0.002626,300,prevalence
vuamc,claude,ppipp,20.0,0.187689,0.010778,-0.019499,0.010778,300,prevalence
vuamc,claude,ppipp,26.0,0.163881,0.009459,0.003961,0.009459,300,prevalence
vuamc,claude,ppipp,33.0,0.137018,0.007911,-0.000925,0.007911,300,prevalence
vuamc,claude,ppipp,43.0,0.137604,0.007923,0.010196,0.007923,300,prevalence
vuamc,claude,ppipp,56.0,0.112464,0.006492,0.001671,0.006492,300,prevalence
vuamc,claude,ppipp,72.0,0.094868,0.005476,0.001603,0.005476,300,prevalence
vuamc,claude,ppipp,93.0,0.08516,0.004915,0.002019,0.004915,300,prevalence
vuamc,claude,ppipp,120.0,0.068423,0.003946,0.003259,0.003946,300,prevalence
vuamc,claude,ppipp,155.0,0.064174,0.003705,-0.000545,0.003705,300,prevalence
vuamc,claude,ppipp,200.0,0.053959,0.003115,0.000496,0.003115,300,prevalence
