dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,deepseek,llm_only,,0.645298,0.0,-0.645298,0.0,0.656349,0.0,300,300,high_variance
vuamc,deepseek,expert_only,20.0,0.82691,0.039514,0.464091,0.039514,0.912315,0.02576,300,300,high_variance
vuamc,deepseek,expert_only,26.0,0.87957,0.040531,0.529911,0.040531,0.94197,0.030103,300,300,high_variance
vuamc,deepseek,expert_only,33.0,0.820769,0.038157,0.486692,0.038157,0.866027,0.02807,300,300,high_variance
vuamc,deepseek,expert_only,43.0,0.771809,0.037682,0.41197,0.037682,0.804799,0.029168,300,300,high_variance
vuamc,deepseek,expert_only,56.0,0.60985,0.03182,0.26108,0.03182,0.631959,0.024041,300,300,high_variance
vuamc,deepseek,expert_only,72.0,0.511483,0.027345,0.193086,0.027345,0.531956,0.020287,300,300,high_variance
vuamc,deepseek,expert_only,93.0,0.447965,0.023936,0.169689,0.023936,0.463608,0.017881,300,300,high_variance
vuamc,deepseek,expert_only,120.0,0.360044,0.01994,0.101745,0.01994,0.371949,0.013567,300,300,high_variance
vuamc,deepseek,expert_only,155.0,0.301551,0.016614,0.090158,0.016614,0.313031,0.011554,300,300,high_variance
vuamc,deepseek,expert_only,200.0,0.24291,0.01363,0.057227,0.01363,0.251556,0.009115,300,300,high_variance
vuamc,deepseek,dsl,20.0,0.609293,0.004976,-0.603166,0.004976,0.620121,0.005288,300,300,high_variance
vuamc,deepseek,dsl,26.0,0.577409,0.003943,-0.573355,0.003943,0.583497,0.004125,300,300,high_variance
vuamc,deepseek,dsl,33.0,0.590517,0.003309,-0.587729,0.003309,0.594138,0.003396,300,300,high_variance
vuamc,deepseek,dsl,43.0,0.594539,0.002761,-0.592612,0.002761,0.596919,0.002801,300,300,high_variance
vuamc,deepseek,dsl,56.0,0.597331,0.002556,-0.595688,0.002556,0.599086,0.002594,300,300,high_variance
vuamc,deepseek,dsl,72.0,0.603341,0.001954,-0.602391,0.001954,0.604446,0.001986,300,300,high_variance
vuamc,deepseek,dsl,93.0,0.593507,0.001984,-0.592511,0.001984,0.594364,0.002009,300,300,high_variance
vuamc,deepseek,dsl,120.0,0.595741,0.001587,-0.595106,0.001587,0.596397,0.001619,300,300,high_variance
vuamc,deepseek,dsl,155.0,0.592847,0.001351,-0.592385,0.001351,0.593203,0.001384,300,300,high_variance
vuamc,deepseek,dsl,200.0,0.594835,0.001115,-0.594522,0.001115,0.595171,0.001145,300,300,high_variance
vuamc,deepseek,ppi,20.0,1.1042,0.063481,0.101442,0.063481,1.366215,0.061571,300,300,high_variance
vuamc,deepseek,ppi,26.0,0.920909,0.053121,0.038931,0.053121,1.093694,0.047473,300,300,high_variance
vuamc,deepseek,ppi,33.0,0.877485,0.050597,0.044394,0.050597,1.058654,0.046746,300,300,high_variance
vuamc,deepseek,ppi,43.0,0.675479,0.038746,-0.076835,0.038746,0.797184,0.033899,300,300,high_variance
vuamc,deepseek,ppi,56.0,0.57356,0.032041,-0.144865,0.032041,0.654852,0.025318,300,300,high_variance
vuamc,deepseek,ppi,72.0,0.453915,0.021529,-0.258829,0.021529,0.504535,0.015845,300,300,high_variance
vuamc,deepseek,ppi,93.0,0.433536,0.02279,-0.179259,0.02279,0.476134,0.014518,300,300,high_variance
vuamc,deepseek,ppi,120.0,0.352148,0.014593,-0.245197,0.014593,0.374138,0.009773,300,300,high_variance
vuamc,deepseek,ppi,155.0,0.332071,0.013544,-0.235029,0.013544,0.351279,0.008177,300,300,high_variance
vuamc,deepseek,ppi,200.0,0.322652,0.010336,-0.268433,0.010336,0.336725,0.007113,300,300,high_variance
vuamc,deepseek,ppipp,20.0,0.338373,0.009961,-0.291084,0.009961,0.372141,0.009157,300,300,high_variance
vuamc,deepseek,ppipp,26.0,0.306398,0.008903,-0.264763,0.008903,0.331319,0.008193,300,300,high_variance
vuamc,deepseek,ppipp,33.0,0.300154,0.007681,-0.269058,0.007681,0.318713,0.00738,300,300,high_variance
vuamc,deepseek,ppipp,43.0,0.299948,0.007177,-0.272975,0.007177,0.312332,0.006819,300,300,high_variance
vuamc,deepseek,ppipp,56.0,0.311917,0.006585,-0.29032,0.006585,0.321196,0.006421,300,300,high_variance
vuamc,deepseek,ppipp,72.0,0.313339,0.005885,-0.296295,0.005885,0.320674,0.005672,300,300,high_variance
vuamc,deepseek,ppipp,93.0,0.302653,0.005069,-0.289639,0.005069,0.308571,0.00491,300,300,high_variance
vuamc,deepseek,ppipp,120.0,0.312829,0.004791,-0.301622,0.004791,0.317151,0.004741,300,300,high_variance
vuamc,deepseek,ppipp,155.0,0.304044,0.004134,-0.295493,0.004134,0.307412,0.004047,300,300,high_variance
vuamc,deepseek,ppipp,200.0,0.306889,0.003541,-0.300697,0.003541,0.309201,0.003517,300,300,high_variance
