dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,deepseek,llm_only,,0.314453,0.0,-0.314453,0.0,0.246543,0.0,300,300,high_variance
vuamc,deepseek,expert_only,20.0,0.215811,0.012187,0.04491,0.012187,0.19454,0.006308,300,300,high_variance
vuamc,deepseek,expert_only,26.0,0.196843,0.011198,0.033553,0.011198,0.17321,0.00557,300,300,high_variance
vuamc,deepseek,expert_only,33.0,0.159589,0.008802,0.04716,0.008802,0.143234,0.004339,300,300,high_variance
vuamc,deepseek,expert_only,43.0,0.125471,0.00723,0.007948,0.00723,0.111895,0.003134,300,300,high_variance
vuamc,deepseek,expert_only,56.0,0.117958,0.006677,0.023242,0.006677,0.103232,0.003193,300,300,high_variance
vuamc,deepseek,expert_only,72.0,0.105372,0.006042,0.012282,0.006042,0.09419,0.002823,300,300,high_variance
vuamc,deepseek,expert_only,93.0,0.088363,0.005072,0.009438,0.005072,0.080588,0.002261,300,300,high_variance
vuamc,deepseek,expert_only,120.0,0.075532,0.004341,0.007136,0.004341,0.068158,0.001951,300,300,high_variance
vuamc,deepseek,expert_only,155.0,0.061803,0.003567,0.001577,0.003567,0.053862,0.001565,300,300,high_variance
vuamc,deepseek,expert_only,200.0,0.053007,0.003034,0.006936,0.003034,0.049411,0.001427,300,300,high_variance
vuamc,deepseek,dsl,20.0,0.212764,0.012279,0.005941,0.012279,0.235804,0.006289,300,300,high_variance
vuamc,deepseek,dsl,26.0,0.199036,0.011173,0.046521,0.011173,0.207867,0.005563,300,300,high_variance
vuamc,deepseek,dsl,33.0,0.147874,0.008392,0.027204,0.008392,0.148191,0.004473,300,300,high_variance
vuamc,deepseek,dsl,43.0,0.112972,0.006513,0.006195,0.006513,0.118759,0.003317,300,300,high_variance
vuamc,deepseek,dsl,56.0,0.103313,0.005934,0.010412,0.005934,0.108542,0.003201,300,300,high_variance
vuamc,deepseek,dsl,72.0,0.093315,0.005378,-0.005494,0.005378,0.095562,0.002673,300,300,high_variance
vuamc,deepseek,dsl,93.0,0.074824,0.004319,-0.001163,0.004319,0.084923,0.002518,300,300,high_variance
vuamc,deepseek,dsl,120.0,0.064429,0.003719,0.001058,0.003719,0.070673,0.002048,300,300,high_variance
vuamc,deepseek,dsl,155.0,0.054672,0.003136,0.006166,0.003136,0.059492,0.001683,300,300,high_variance
vuamc,deepseek,dsl,200.0,0.046726,0.002698,-0.000145,0.002698,0.05074,0.001413,300,300,high_variance
vuamc,deepseek,ppi,20.0,0.308082,0.000229,-0.308056,0.000229,0.241579,0.00019,300,300,high_variance
vuamc,deepseek,ppi,26.0,0.306908,0.00029,-0.306867,0.00029,0.240656,0.000237,300,300,high_variance
vuamc,deepseek,ppi,33.0,0.303557,0.000327,-0.303505,0.000327,0.237877,0.000266,300,300,high_variance
vuamc,deepseek,ppi,43.0,0.300818,0.000362,-0.300753,0.000362,0.235844,0.000293,300,300,high_variance
vuamc,deepseek,ppi,56.0,0.296222,0.000399,-0.296142,0.000399,0.232596,0.000337,300,300,high_variance
vuamc,deepseek,ppi,72.0,0.292329,0.000471,-0.292215,0.000471,0.229263,0.000383,300,300,high_variance
vuamc,deepseek,ppi,93.0,0.285481,0.000497,-0.285352,0.000497,0.224009,0.000418,300,300,high_variance
vuamc,deepseek,ppi,120.0,0.276439,0.000569,-0.276263,0.000569,0.216822,0.000473,300,300,high_variance
vuamc,deepseek,ppi,155.0,0.264456,0.000621,-0.264237,0.000621,0.207634,0.000513,300,300,high_variance
vuamc,deepseek,ppi,200.0,0.251589,0.000696,-0.2513,0.000696,0.197678,0.000568,300,300,high_variance
vuamc,deepseek,ppipp,20.0,0.174373,0.009996,0.020773,0.009996,0.16429,0.005216,300,300,high_variance
vuamc,deepseek,ppipp,26.0,0.159924,0.009222,0.007873,0.009222,0.14453,0.004519,300,300,high_variance
vuamc,deepseek,ppipp,33.0,0.130241,0.007298,0.031394,0.007298,0.120375,0.00351,300,300,high_variance
vuamc,deepseek,ppipp,43.0,0.106044,0.006122,0.001764,0.006122,0.098245,0.002823,300,300,high_variance
vuamc,deepseek,ppipp,56.0,0.095214,0.005415,0.016413,0.005415,0.087531,0.002576,300,300,high_variance
vuamc,deepseek,ppipp,72.0,0.087611,0.00505,0.005053,0.00505,0.081535,0.002346,300,300,high_variance
vuamc,deepseek,ppipp,93.0,0.07288,0.004197,0.005207,0.004197,0.070425,0.002017,300,300,high_variance
vuamc,deepseek,ppipp,120.0,0.062094,0.003577,0.00404,0.003577,0.058356,0.001648,300,300,high_variance
vuamc,deepseek,ppipp,155.0,0.052191,0.003012,0.001519,0.003012,0.047225,0.001374,300,300,high_variance
vuamc,deepseek,ppipp,200.0,0.044054,0.00253,0.004591,0.00253,0.042902,0.001255,300,300,high_variance
