dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
vuamc,gpt54,llm_only,,0.524719,0.0,-0.198013,0.0,300,300,full_logistic
vuamc,gpt54,expert_only,20.0,1.30558,0.024121,0.489622,0.128521,300,300,full_logistic
vuamc,gpt54,expert_only,26.0,1.392033,0.024314,0.703844,0.118844,300,300,full_logistic
vuamc,gpt54,expert_only,33.0,1.348654,0.027021,0.31842,0.107988,300,300,full_logistic
vuamc,gpt54,expert_only,43.0,1.414599,0.030143,0.24868,0.102825,300,300,full_logistic
vuamc,gpt54,expert_only,56.0,1.249767,0.031845,0.461349,0.083177,300,300,full_logistic
vuamc,gpt54,expert_only,72.0,1.072931,0.029079,0.208635,0.061674,300,300,full_logistic
vuamc,gpt54,expert_only,93.0,0.999724,0.030379,0.238768,0.052946,300,300,full_logistic
vuamc,gpt54,expert_only,120.0,0.828495,0.023961,0.141059,0.041397,300,300,full_logistic
vuamc,gpt54,expert_only,155.0,0.672283,0.019534,0.170743,0.033801,300,300,full_logistic
vuamc,gpt54,expert_only,200.0,0.518838,0.014997,0.044014,0.024579,300,300,full_logistic
vuamc,gpt54,dsl,20.0,0.808916,0.004744,-0.55906,0.035392,300,300,full_logistic
vuamc,gpt54,dsl,26.0,0.772385,0.00358,-0.453679,0.027851,300,300,full_logistic
vuamc,gpt54,dsl,33.0,0.764833,0.001909,-0.548702,0.020418,300,300,full_logistic
vuamc,gpt54,dsl,43.0,0.764094,0.001642,-0.563228,0.016995,300,300,full_logistic
vuamc,gpt54,dsl,56.0,0.761679,0.001475,-0.558326,0.015163,300,300,full_logistic
vuamc,gpt54,dsl,72.0,0.762353,0.00113,-0.566042,0.013722,300,300,full_logistic
vuamc,gpt54,dsl,93.0,0.760045,0.00107,-0.556465,0.011876,300,300,full_logistic
vuamc,gpt54,dsl,120.0,0.759912,0.000911,-0.566179,0.010787,300,300,full_logistic
vuamc,gpt54,dsl,155.0,0.759522,0.00075,-0.570598,0.009479,300,300,full_logistic
vuamc,gpt54,dsl,200.0,0.758421,0.000717,-0.562706,0.008335,300,300,full_logistic
vuamc,gpt54,ppi,20.0,1.809272,0.076217,-0.335116,0.154583,300,300,full_logistic
vuamc,gpt54,ppi,26.0,1.320684,0.049757,-0.371032,0.10806,300,300,full_logistic
vuamc,gpt54,ppi,33.0,1.204713,0.044406,-0.491166,0.099374,300,300,full_logistic
vuamc,gpt54,ppi,43.0,0.880517,0.022991,-0.381698,0.074281,300,300,full_logistic
vuamc,gpt54,ppi,56.0,0.74532,0.016112,-0.363772,0.053523,300,300,full_logistic
vuamc,gpt54,ppi,72.0,0.684891,0.010964,-0.376429,0.040251,300,300,full_logistic
vuamc,gpt54,ppi,93.0,0.676588,0.01055,-0.322367,0.041372,300,300,full_logistic
vuamc,gpt54,ppi,120.0,0.638268,0.008111,-0.372857,0.031875,300,300,full_logistic
vuamc,gpt54,ppi,155.0,0.627324,0.005995,-0.390371,0.027779,300,300,full_logistic
vuamc,gpt54,ppi,200.0,0.606152,0.004567,-0.345357,0.021843,300,300,full_logistic
vuamc,gpt54,ppipp,20.0,0.671316,0.005141,-0.331212,0.039889,300,300,full_logistic
vuamc,gpt54,ppipp,26.0,0.65821,0.004805,-0.292972,0.033901,300,300,full_logistic
vuamc,gpt54,ppipp,33.0,0.645128,0.004215,-0.358063,0.029708,300,300,full_logistic
vuamc,gpt54,ppipp,43.0,0.630979,0.003965,-0.391551,0.02614,300,300,full_logistic
vuamc,gpt54,ppipp,56.0,0.62188,0.003309,-0.312179,0.021985,300,300,full_logistic
vuamc,gpt54,ppipp,72.0,0.613051,0.002886,-0.372635,0.018711,300,300,full_logistic
vuamc,gpt54,ppipp,93.0,0.610821,0.002375,-0.356668,0.016301,300,300,full_logistic
vuamc,gpt54,ppipp,120.0,0.603228,0.002256,-0.358405,0.014988,300,300,full_logistic
vuamc,gpt54,ppipp,155.0,0.599872,0.001805,-0.344922,0.012849,300,300,full_logistic
vuamc,gpt54,ppipp,200.0,0.599375,0.001663,-0.36357,0.010884,300,300,full_logistic
