dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,gpt54,llm_only,,0.122143,0.0,-0.122143,0.0,0.089219,0.0,300,300,high_variance
vuamc,gpt54,expert_only,20.0,0.215811,0.012187,0.04491,0.012187,0.19454,0.006308,300,300,high_variance
vuamc,gpt54,expert_only,26.0,0.196843,0.011198,0.033553,0.011198,0.17321,0.00557,300,300,high_variance
vuamc,gpt54,expert_only,33.0,0.159589,0.008802,0.04716,0.008802,0.143234,0.004339,300,300,high_variance
vuamc,gpt54,expert_only,43.0,0.125471,0.00723,0.007948,0.00723,0.111895,0.003134,300,300,high_variance
vuamc,gpt54,expert_only,56.0,0.117958,0.006677,0.023242,0.006677,0.103232,0.003193,300,300,high_variance
vuamc,gpt54,expert_only,72.0,0.105372,0.006042,0.012282,0.006042,0.09419,0.002823,300,300,high_variance
vuamc,gpt54,expert_only,93.0,0.088363,0.005072,0.009438,0.005072,0.080588,0.002261,300,300,high_variance
vuamc,gpt54,expert_only,120.0,0.075532,0.004341,0.007136,0.004341,0.068158,0.001951,300,300,high_variance
vuamc,gpt54,expert_only,155.0,0.061803,0.003567,0.001577,0.003567,0.053862,0.001565,300,300,high_variance
vuamc,gpt54,expert_only,200.0,0.053007,0.003034,0.006936,0.003034,0.049411,0.001427,300,300,high_variance
vuamc,gpt54,dsl,20.0,0.216287,0.012481,0.007099,0.012481,0.237065,0.006287,300,300,high_variance
vuamc,gpt54,dsl,26.0,0.209206,0.011112,0.081984,0.011112,0.205976,0.005642,300,300,high_variance
vuamc,gpt54,dsl,33.0,0.134502,0.007633,0.024723,0.007633,0.129528,0.003776,300,300,high_variance
vuamc,gpt54,dsl,43.0,0.103788,0.005982,-0.005914,0.005982,0.101723,0.002885,300,300,high_variance
vuamc,gpt54,dsl,56.0,0.095793,0.00552,0.00586,0.00552,0.096084,0.002812,300,300,high_variance
vuamc,gpt54,dsl,72.0,0.080793,0.004645,-0.007311,0.004645,0.085902,0.002373,300,300,high_variance
vuamc,gpt54,dsl,93.0,0.064127,0.0037,0.002446,0.0037,0.071086,0.00204,300,300,high_variance
vuamc,gpt54,dsl,120.0,0.057934,0.003343,-0.002046,0.003343,0.060596,0.001721,300,300,high_variance
vuamc,gpt54,dsl,155.0,0.053108,0.003054,0.004658,0.003054,0.053907,0.001569,300,300,high_variance
vuamc,gpt54,dsl,200.0,0.042638,0.002456,-0.002882,0.002456,0.044265,0.001226,300,300,high_variance
vuamc,gpt54,ppi,20.0,0.119686,0.000197,-0.119637,0.000197,0.087514,0.000122,300,300,high_variance
vuamc,gpt54,ppi,26.0,0.119219,0.000222,-0.119157,0.000222,0.087088,0.000133,300,300,high_variance
vuamc,gpt54,ppi,33.0,0.117987,0.000251,-0.117907,0.000251,0.086334,0.000156,300,300,high_variance
vuamc,gpt54,ppi,43.0,0.11761,0.00028,-0.11751,0.00028,0.085804,0.000176,300,300,high_variance
vuamc,gpt54,ppi,56.0,0.115126,0.000318,-0.114994,0.000318,0.084073,0.000198,300,300,high_variance
vuamc,gpt54,ppi,72.0,0.113979,0.000369,-0.113799,0.000369,0.083264,0.000223,300,300,high_variance
vuamc,gpt54,ppi,93.0,0.110731,0.000374,-0.110542,0.000374,0.081047,0.000233,300,300,high_variance
vuamc,gpt54,ppi,120.0,0.107785,0.000431,-0.107527,0.000431,0.079002,0.000261,300,300,high_variance
vuamc,gpt54,ppi,155.0,0.102576,0.00054,-0.102148,0.00054,0.075227,0.000327,300,300,high_variance
vuamc,gpt54,ppi,200.0,0.098605,0.000564,-0.098121,0.000564,0.07224,0.000351,300,300,high_variance
vuamc,gpt54,ppipp,20.0,0.176097,0.010116,0.017677,0.010116,0.162121,0.005327,300,300,high_variance
vuamc,gpt54,ppipp,26.0,0.159302,0.009174,0.011426,0.009174,0.142565,0.004565,300,300,high_variance
vuamc,gpt54,ppipp,33.0,0.127436,0.00723,0.023601,0.00723,0.117047,0.003528,300,300,high_variance
vuamc,gpt54,ppipp,43.0,0.104851,0.006048,-0.004388,0.006048,0.095087,0.00283,300,300,high_variance
vuamc,gpt54,ppipp,56.0,0.096883,0.005548,0.01232,0.005548,0.087335,0.002635,300,300,high_variance
vuamc,gpt54,ppipp,72.0,0.085915,0.004957,0.003107,0.004957,0.07996,0.002374,300,300,high_variance
vuamc,gpt54,ppipp,93.0,0.072671,0.004185,0.005239,0.004185,0.069083,0.00194,300,300,high_variance
vuamc,gpt54,ppipp,120.0,0.062357,0.003596,0.003164,0.003596,0.0577,0.00164,300,300,high_variance
vuamc,gpt54,ppipp,155.0,0.052869,0.003052,0.00114,0.003052,0.047272,0.001371,300,300,high_variance
vuamc,gpt54,ppipp,200.0,0.045424,0.002615,0.003452,0.002615,0.043035,0.001261,300,300,high_variance
