dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
vuamc,llama,llm_only,,0.943216,0.0,-0.888315,0.0,300,300,full_logistic
vuamc,llama,expert_only,20.0,1.30558,0.024121,0.489622,0.128521,300,300,full_logistic
vuamc,llama,expert_only,26.0,1.392033,0.024314,0.703844,0.118844,300,300,full_logistic
vuamc,llama,expert_only,33.0,1.348654,0.027021,0.31842,0.107988,300,300,full_logistic
vuamc,llama,expert_only,43.0,1.414599,0.030143,0.24868,0.102825,300,300,full_logistic
vuamc,llama,expert_only,56.0,1.249767,0.031845,0.461349,0.083177,300,300,full_logistic
vuamc,llama,expert_only,72.0,1.072931,0.029079,0.208635,0.061674,300,300,full_logistic
vuamc,llama,expert_only,93.0,0.999724,0.030379,0.238768,0.052946,300,300,full_logistic
vuamc,llama,expert_only,120.0,0.828495,0.023961,0.141059,0.041397,300,300,full_logistic
vuamc,llama,expert_only,155.0,0.672283,0.019534,0.170743,0.033801,300,300,full_logistic
vuamc,llama,expert_only,200.0,0.518838,0.014997,0.044014,0.024579,300,300,full_logistic
vuamc,llama,dsl,20.0,0.809197,0.004718,-0.559445,0.035122,300,300,full_logistic
vuamc,llama,dsl,26.0,0.787437,0.003925,-0.532969,0.028271,300,300,full_logistic
vuamc,llama,dsl,33.0,0.787453,0.003929,-0.526594,0.021556,300,300,full_logistic
vuamc,llama,dsl,43.0,0.794476,0.003878,-0.58476,0.019545,300,300,full_logistic
vuamc,llama,dsl,56.0,0.783786,0.003482,-0.570571,0.016186,300,300,full_logistic
vuamc,llama,dsl,72.0,0.782323,0.002933,-0.572139,0.014673,300,300,full_logistic
vuamc,llama,dsl,93.0,0.779868,0.002703,-0.588418,0.012502,300,300,full_logistic
vuamc,llama,dsl,120.0,0.775076,0.002518,-0.570891,0.011535,300,300,full_logistic
vuamc,llama,dsl,155.0,0.769395,0.002061,-0.573872,0.010266,300,300,full_logistic
vuamc,llama,dsl,200.0,0.768194,0.001906,-0.568812,0.008942,300,300,full_logistic
vuamc,llama,ppi,20.0,5.170026,0.230785,2.652151,0.347563,300,300,full_logistic
vuamc,llama,ppi,26.0,4.614149,0.204716,2.608396,0.322742,300,300,full_logistic
vuamc,llama,ppi,33.0,3.782401,0.161801,2.42324,0.281565,300,300,full_logistic
vuamc,llama,ppi,43.0,3.23073,0.142214,1.42857,0.240351,300,300,full_logistic
vuamc,llama,ppi,56.0,2.636585,0.108899,1.280525,0.191653,300,300,full_logistic
vuamc,llama,ppi,72.0,2.036753,0.082341,0.78816,0.15352,300,300,full_logistic
vuamc,llama,ppi,93.0,1.724102,0.063657,0.568208,0.119937,300,300,full_logistic
vuamc,llama,ppi,120.0,1.729706,0.065705,0.668213,0.124846,300,300,full_logistic
vuamc,llama,ppi,155.0,1.283767,0.043163,0.269483,0.088028,300,300,full_logistic
vuamc,llama,ppi,200.0,1.143642,0.037237,0.19774,0.076965,300,300,full_logistic
vuamc,llama,ppipp,20.0,0.686182,0.005802,-0.340836,0.041032,300,300,full_logistic
vuamc,llama,ppipp,26.0,0.667845,0.005178,-0.294356,0.035433,300,300,full_logistic
vuamc,llama,ppipp,33.0,0.650702,0.00446,-0.356436,0.030047,300,300,full_logistic
vuamc,llama,ppipp,43.0,0.637099,0.004129,-0.390822,0.026935,300,300,full_logistic
vuamc,llama,ppipp,56.0,0.62736,0.003547,-0.311877,0.022545,300,300,full_logistic
vuamc,llama,ppipp,72.0,0.616563,0.003009,-0.374047,0.018955,300,300,full_logistic
vuamc,llama,ppipp,93.0,0.61362,0.002441,-0.359084,0.016628,300,300,full_logistic
vuamc,llama,ppipp,120.0,0.605581,0.002376,-0.360459,0.015295,300,300,full_logistic
vuamc,llama,ppipp,155.0,0.600826,0.001865,-0.344929,0.013004,300,300,full_logistic
vuamc,llama,ppipp,200.0,0.600512,0.001705,-0.364937,0.010972,300,300,full_logistic
