dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,llama,llm_only,,0.351857,0.0,-0.351857,0.0,0.410084,0.0,300,300,high_variance
vuamc,llama,expert_only,20.0,0.215811,0.012187,0.04491,0.012187,0.19454,0.006308,300,300,high_variance
vuamc,llama,expert_only,26.0,0.196843,0.011198,0.033553,0.011198,0.17321,0.00557,300,300,high_variance
vuamc,llama,expert_only,33.0,0.159589,0.008802,0.04716,0.008802,0.143234,0.004339,300,300,high_variance
vuamc,llama,expert_only,43.0,0.125471,0.00723,0.007948,0.00723,0.111895,0.003134,300,300,high_variance
vuamc,llama,expert_only,56.0,0.117958,0.006677,0.023242,0.006677,0.103232,0.003193,300,300,high_variance
vuamc,llama,expert_only,72.0,0.105372,0.006042,0.012282,0.006042,0.09419,0.002823,300,300,high_variance
vuamc,llama,expert_only,93.0,0.088363,0.005072,0.009438,0.005072,0.080588,0.002261,300,300,high_variance
vuamc,llama,expert_only,120.0,0.075532,0.004341,0.007136,0.004341,0.068158,0.001951,300,300,high_variance
vuamc,llama,expert_only,155.0,0.061803,0.003567,0.001577,0.003567,0.053862,0.001565,300,300,high_variance
vuamc,llama,expert_only,200.0,0.053007,0.003034,0.006936,0.003034,0.049411,0.001427,300,300,high_variance
vuamc,llama,dsl,20.0,0.209272,0.012079,0.004932,0.012079,0.233873,0.006165,300,300,high_variance
vuamc,llama,dsl,26.0,0.200761,0.011234,0.04942,0.011234,0.20856,0.005686,300,300,high_variance
vuamc,llama,dsl,33.0,0.129732,0.007439,0.015114,0.007439,0.143194,0.0041,300,300,high_variance
vuamc,llama,dsl,43.0,0.101121,0.005838,0.000951,0.005838,0.114691,0.003249,300,300,high_variance
vuamc,llama,dsl,56.0,0.09645,0.005568,-0.00133,0.005568,0.106949,0.00301,300,300,high_variance
vuamc,llama,dsl,72.0,0.076589,0.004422,-0.000645,0.004422,0.087345,0.00246,300,300,high_variance
vuamc,llama,dsl,93.0,0.070063,0.004044,0.001906,0.004044,0.082293,0.002434,300,300,high_variance
vuamc,llama,dsl,120.0,0.063645,0.003674,-0.000733,0.003674,0.069575,0.001943,300,300,high_variance
vuamc,llama,dsl,155.0,0.050998,0.002941,0.002411,0.002941,0.058734,0.001569,300,300,high_variance
vuamc,llama,dsl,200.0,0.040147,0.002311,-0.003166,0.002311,0.049501,0.001343,300,300,high_variance
vuamc,llama,ppi,20.0,0.344886,0.000203,-0.344868,0.000203,0.402014,0.000214,300,300,high_variance
vuamc,llama,ppi,26.0,0.342484,0.000235,-0.34246,0.000235,0.399154,0.000244,300,300,high_variance
vuamc,llama,ppi,33.0,0.34028,0.000281,-0.340246,0.000281,0.396542,0.000284,300,300,high_variance
vuamc,llama,ppi,43.0,0.337208,0.000292,-0.33717,0.000292,0.393062,0.000302,300,300,high_variance
vuamc,llama,ppi,56.0,0.332413,0.00034,-0.33236,0.00034,0.387331,0.000355,300,300,high_variance
vuamc,llama,ppi,72.0,0.326234,0.000367,-0.326172,0.000367,0.380325,0.000374,300,300,high_variance
vuamc,llama,ppi,93.0,0.318977,0.000456,-0.318879,0.000456,0.371556,0.000472,300,300,high_variance
vuamc,llama,ppi,120.0,0.309576,0.000487,-0.309461,0.000487,0.360833,0.000509,300,300,high_variance
vuamc,llama,ppi,155.0,0.296976,0.000524,-0.296837,0.000524,0.346126,0.000542,300,300,high_variance
vuamc,llama,ppi,200.0,0.281714,0.000585,-0.281532,0.000585,0.32865,0.000634,300,300,high_variance
vuamc,llama,ppipp,20.0,0.184034,0.010526,0.02514,0.010526,0.17187,0.005185,300,300,high_variance
vuamc,llama,ppipp,26.0,0.17102,0.009791,0.022121,0.009791,0.153529,0.004717,300,300,high_variance
vuamc,llama,ppipp,33.0,0.139686,0.007851,0.031944,0.007851,0.129038,0.003913,300,300,high_variance
vuamc,llama,ppipp,43.0,0.109996,0.00635,0.001081,0.00635,0.10032,0.002742,300,300,high_variance
vuamc,llama,ppipp,56.0,0.102287,0.005838,0.015407,0.005838,0.092085,0.002769,300,300,high_variance
vuamc,llama,ppipp,72.0,0.09247,0.005308,0.009952,0.005308,0.083297,0.002442,300,300,high_variance
vuamc,llama,ppipp,93.0,0.076836,0.004422,0.006101,0.004422,0.072517,0.002016,300,300,high_variance
vuamc,llama,ppipp,120.0,0.065929,0.003797,0.004752,0.003797,0.060437,0.001648,300,300,high_variance
vuamc,llama,ppipp,155.0,0.054107,0.003123,0.001155,0.003123,0.048174,0.001341,300,300,high_variance
vuamc,llama,ppipp,200.0,0.046999,0.002698,0.005075,0.002698,0.043912,0.001253,300,300,high_variance
