dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,llama,llm_only,,0.848864,0.0,-0.848864,0.0,0.90444,0.0,300,300,low_variance
vuamc,llama,expert_only,20.0,0.557725,0.031995,0.062918,0.031995,0.555127,0.020352,300,300,low_variance
vuamc,llama,expert_only,26.0,0.494521,0.028349,0.058816,0.028349,0.492773,0.017937,300,300,low_variance
vuamc,llama,expert_only,33.0,0.491246,0.027884,0.089829,0.027884,0.488464,0.019145,300,300,low_variance
vuamc,llama,expert_only,43.0,0.428628,0.024308,0.080318,0.024308,0.42661,0.015934,300,300,low_variance
vuamc,llama,expert_only,56.0,0.371263,0.020797,0.089906,0.020797,0.368447,0.014354,300,300,low_variance
vuamc,llama,expert_only,72.0,0.32316,0.01845,0.048113,0.01845,0.321172,0.013304,300,300,low_variance
vuamc,llama,expert_only,93.0,0.26588,0.01534,0.009667,0.01534,0.264318,0.0096,300,300,low_variance
vuamc,llama,expert_only,120.0,0.238285,0.013716,0.018505,0.013716,0.238365,0.009232,300,300,low_variance
vuamc,llama,expert_only,155.0,0.189407,0.010871,0.020462,0.010871,0.190161,0.006661,300,300,low_variance
vuamc,llama,expert_only,200.0,0.155902,0.008999,-0.003072,0.008999,0.154628,0.005286,300,300,low_variance
vuamc,llama,dsl,20.0,0.823373,0.004054,-0.820373,0.004054,0.825711,0.003683,300,300,low_variance
vuamc,llama,dsl,26.0,0.803507,0.004084,-0.800388,0.004084,0.808731,0.003441,300,300,low_variance
vuamc,llama,dsl,33.0,0.810119,0.003436,-0.807929,0.003436,0.811141,0.00313,300,300,low_variance
vuamc,llama,dsl,43.0,0.817893,0.003099,-0.816129,0.003099,0.819684,0.002895,300,300,low_variance
vuamc,llama,dsl,56.0,0.808395,0.003224,-0.806464,0.003224,0.810288,0.002888,300,300,low_variance
vuamc,llama,dsl,72.0,0.810367,0.002361,-0.809335,0.002361,0.81226,0.002214,300,300,low_variance
vuamc,llama,dsl,93.0,0.810364,0.002435,-0.809266,0.002435,0.811325,0.002188,300,300,low_variance
vuamc,llama,dsl,120.0,0.810914,0.002157,-0.810053,0.002157,0.810875,0.001955,300,300,low_variance
vuamc,llama,dsl,155.0,0.808472,0.001921,-0.807787,0.001921,0.810062,0.001715,300,300,low_variance
vuamc,llama,dsl,200.0,0.810307,0.00161,-0.809827,0.00161,0.811046,0.001492,300,300,low_variance
vuamc,llama,ppi,20.0,2.706715,0.154689,0.384307,0.154689,2.804039,0.138338,300,300,low_variance
vuamc,llama,ppi,26.0,2.117094,0.121233,0.269875,0.121233,2.182958,0.102354,300,300,low_variance
vuamc,llama,ppi,33.0,1.865764,0.107502,0.118627,0.107502,1.932311,0.091319,300,300,low_variance
vuamc,llama,ppi,43.0,1.564442,0.090262,-0.057525,0.090262,1.621427,0.071518,300,300,low_variance
vuamc,llama,ppi,56.0,1.432827,0.082694,0.038473,0.082694,1.46791,0.062098,300,300,low_variance
vuamc,llama,ppi,72.0,1.021736,0.057711,-0.211584,0.057711,1.045297,0.040131,300,300,low_variance
vuamc,llama,ppi,93.0,0.888955,0.049998,-0.200746,0.049998,0.904221,0.028368,300,300,low_variance
vuamc,llama,ppi,120.0,0.914634,0.05132,-0.215455,0.05132,0.931608,0.033617,300,300,low_variance
vuamc,llama,ppi,155.0,0.772033,0.041205,-0.294425,0.041205,0.781473,0.025249,300,300,low_variance
vuamc,llama,ppi,200.0,0.679874,0.033765,-0.346707,0.033765,0.686533,0.018819,300,300,low_variance
vuamc,llama,ppipp,20.0,0.558397,0.009392,-0.534177,0.009392,0.564959,0.008653,300,300,low_variance
vuamc,llama,ppipp,26.0,0.540069,0.007842,-0.52271,0.007842,0.547803,0.007285,300,300,low_variance
vuamc,llama,ppipp,33.0,0.518457,0.007119,-0.50358,0.007119,0.522838,0.006586,300,300,low_variance
vuamc,llama,ppipp,43.0,0.518715,0.006289,-0.507149,0.006289,0.524665,0.005892,300,300,low_variance
vuamc,llama,ppipp,56.0,0.501956,0.005296,-0.493504,0.005296,0.506482,0.00482,300,300,low_variance
vuamc,llama,ppipp,72.0,0.502588,0.004225,-0.497232,0.004225,0.506437,0.00386,300,300,low_variance
vuamc,llama,ppipp,93.0,0.511352,0.003994,-0.506651,0.003994,0.512719,0.003699,300,300,low_variance
vuamc,llama,ppipp,120.0,0.506085,0.003304,-0.50284,0.003304,0.506882,0.003058,300,300,low_variance
vuamc,llama,ppipp,155.0,0.50361,0.002718,-0.501405,0.002718,0.506372,0.002581,300,300,low_variance
vuamc,llama,ppipp,200.0,0.505768,0.002497,-0.503915,0.002497,0.506667,0.002299,300,300,low_variance
