dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
vuamc,mistral,llm_only,,0.81792,0.0,-0.913082,0.0,300,300,full_logistic
vuamc,mistral,expert_only,20.0,1.280865,0.022705,0.48924,0.121285,300,300,full_logistic
vuamc,mistral,expert_only,26.0,1.366842,0.024216,0.656051,0.117909,300,300,full_logistic
vuamc,mistral,expert_only,33.0,1.401359,0.026927,0.618639,0.113202,300,300,full_logistic
vuamc,mistral,expert_only,43.0,1.406664,0.031069,0.407703,0.102832,300,300,full_logistic
vuamc,mistral,expert_only,56.0,1.256154,0.031815,0.477745,0.079144,300,300,full_logistic
vuamc,mistral,expert_only,72.0,1.174253,0.03267,0.262648,0.065945,300,300,full_logistic
vuamc,mistral,expert_only,93.0,0.979859,0.028797,0.21724,0.055208,300,300,full_logistic
vuamc,mistral,expert_only,120.0,0.766608,0.0221,0.13996,0.042125,300,300,full_logistic
vuamc,mistral,expert_only,155.0,0.703321,0.021205,0.147078,0.031629,300,300,full_logistic
vuamc,mistral,expert_only,200.0,0.563714,0.015481,0.072407,0.026187,300,300,full_logistic
vuamc,mistral,dsl,20.0,0.813545,0.004832,-0.556835,0.032058,300,300,full_logistic
vuamc,mistral,dsl,26.0,0.785736,0.003831,-0.581577,0.0303,300,300,full_logistic
vuamc,mistral,dsl,33.0,0.781121,0.002997,-0.530689,0.025488,300,300,full_logistic
vuamc,mistral,dsl,43.0,0.784287,0.002695,-0.571674,0.021593,300,300,full_logistic
vuamc,mistral,dsl,56.0,0.776054,0.002462,-0.588478,0.017049,300,300,full_logistic
vuamc,mistral,dsl,72.0,0.778767,0.002328,-0.582842,0.016354,300,300,full_logistic
vuamc,mistral,dsl,93.0,0.769478,0.001873,-0.555515,0.014236,300,300,full_logistic
vuamc,mistral,dsl,120.0,0.768997,0.001652,-0.582141,0.012531,300,300,full_logistic
vuamc,mistral,dsl,155.0,0.764748,0.001401,-0.593918,0.010869,300,300,full_logistic
vuamc,mistral,dsl,200.0,0.764757,0.00126,-0.579071,0.010303,300,300,full_logistic
vuamc,mistral,ppi,20.0,3.812867,0.158395,0.749109,0.287707,300,300,full_logistic
vuamc,mistral,ppi,26.0,3.194617,0.133579,1.024661,0.220331,300,300,full_logistic
vuamc,mistral,ppi,33.0,3.07656,0.123338,1.161079,0.229356,300,300,full_logistic
vuamc,mistral,ppi,43.0,2.179028,0.085346,0.589615,0.166657,300,300,full_logistic
vuamc,mistral,ppi,56.0,1.728652,0.062159,0.308175,0.103508,300,300,full_logistic
vuamc,mistral,ppi,72.0,1.652978,0.057906,0.39899,0.121369,300,300,full_logistic
vuamc,mistral,ppi,93.0,1.412646,0.048856,0.352634,0.100204,300,300,full_logistic
vuamc,mistral,ppi,120.0,1.066989,0.030309,0.001103,0.076154,300,300,full_logistic
vuamc,mistral,ppi,155.0,0.911272,0.020218,-0.138378,0.054513,300,300,full_logistic
vuamc,mistral,ppi,200.0,0.876024,0.019901,-0.044142,0.056175,300,300,full_logistic
vuamc,mistral,ppipp,20.0,0.684635,0.005684,-0.311363,0.039786,300,300,full_logistic
vuamc,mistral,ppipp,26.0,0.657319,0.005307,-0.303851,0.035068,300,300,full_logistic
vuamc,mistral,ppipp,33.0,0.658503,0.004614,-0.312345,0.031057,300,300,full_logistic
vuamc,mistral,ppipp,43.0,0.634927,0.004089,-0.390885,0.026767,300,300,full_logistic
vuamc,mistral,ppipp,56.0,0.622338,0.003497,-0.311612,0.022623,300,300,full_logistic
vuamc,mistral,ppipp,72.0,0.621468,0.003,-0.364263,0.019638,300,300,full_logistic
vuamc,mistral,ppipp,93.0,0.613097,0.00262,-0.359811,0.017205,300,300,full_logistic
vuamc,mistral,ppipp,120.0,0.610406,0.002249,-0.352599,0.014451,300,300,full_logistic
vuamc,mistral,ppipp,155.0,0.601176,0.002,-0.362199,0.012858,300,300,full_logistic
vuamc,mistral,ppipp,200.0,0.600321,0.001739,-0.373561,0.011591,300,300,full_logistic
