dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,50,,0.013081,0.0,-0.013081,0.0,300,300,low_variance
cuad,deepseek,expert_only,50,70.0,0.518848,0.029141,0.120155,0.029141,300,300,low_variance
cuad,deepseek,expert_only,50,97.0,0.494853,0.027721,0.119772,0.027721,300,300,low_variance
cuad,deepseek,expert_only,50,136.0,0.51558,0.029647,0.04625,0.029647,300,300,low_variance
cuad,deepseek,expert_only,50,189.0,0.535774,0.029925,0.135656,0.029925,300,300,low_variance
cuad,deepseek,expert_only,50,264.0,0.51406,0.029097,0.101307,0.029097,300,300,low_variance
cuad,deepseek,expert_only,50,368.0,0.504224,0.028338,0.115421,0.028338,300,300,low_variance
cuad,deepseek,expert_only,50,513.0,0.545943,0.030892,0.108432,0.030892,300,300,low_variance
cuad,deepseek,expert_only,50,715.0,0.499888,0.028158,0.109678,0.028158,300,300,low_variance
cuad,deepseek,expert_only,50,997.0,0.573005,0.031845,0.155276,0.031845,300,300,low_variance
cuad,deepseek,dsl,50,70.0,0.316957,0.016746,-0.127789,0.016746,300,300,low_variance
cuad,deepseek,dsl,50,97.0,0.278284,0.014121,-0.132746,0.014121,300,300,low_variance
cuad,deepseek,dsl,50,136.0,0.27845,0.013572,-0.149239,0.013572,300,300,low_variance
cuad,deepseek,dsl,50,189.0,0.246857,0.011982,-0.133672,0.011982,300,300,low_variance
cuad,deepseek,dsl,50,264.0,0.237811,0.010434,-0.154581,0.010434,300,300,low_variance
cuad,deepseek,dsl,50,368.0,0.218705,0.009857,-0.136687,0.009857,300,300,low_variance
cuad,deepseek,dsl,50,513.0,0.23613,0.009888,-0.162559,0.009888,300,300,low_variance
cuad,deepseek,dsl,50,715.0,0.21294,0.009413,-0.136973,0.009413,300,300,low_variance
cuad,deepseek,dsl,50,997.0,0.197169,0.009139,-0.11755,0.009139,300,300,low_variance
cuad,deepseek,ppi,50,70.0,1.088974,0.061693,0.209876,0.061693,300,300,low_variance
cuad,deepseek,ppi,50,97.0,0.571413,0.032875,0.047816,0.032875,300,300,low_variance
cuad,deepseek,ppi,50,136.0,0.422105,0.024259,0.040223,0.024259,300,300,low_variance
cuad,deepseek,ppi,50,189.0,0.324198,0.018684,-0.019317,0.018684,300,300,low_variance
cuad,deepseek,ppi,50,264.0,0.295786,0.016937,-0.037792,0.016937,300,300,low_variance
cuad,deepseek,ppi,50,368.0,0.279241,0.016074,-0.021612,0.016074,300,300,low_variance
cuad,deepseek,ppi,50,513.0,0.264224,0.014862,-0.059592,0.014862,300,300,low_variance
cuad,deepseek,ppi,50,715.0,0.241624,0.013858,-0.027731,0.013858,300,300,low_variance
cuad,deepseek,ppi,50,997.0,0.236164,0.013631,-0.005743,0.013631,300,300,low_variance
cuad,deepseek,ppipp,50,70.0,0.398292,0.022983,0.012858,0.022983,300,300,low_variance
cuad,deepseek,ppipp,50,97.0,0.346835,0.020024,0.003286,0.020024,300,300,low_variance
cuad,deepseek,ppipp,50,136.0,0.353837,0.02029,-0.041132,0.02029,300,300,low_variance
cuad,deepseek,ppipp,50,189.0,0.325141,0.018771,0.002484,0.018771,300,300,low_variance
cuad,deepseek,ppipp,50,264.0,0.291137,0.0167,-0.033112,0.0167,300,300,low_variance
cuad,deepseek,ppipp,50,368.0,0.280306,0.016156,-0.016333,0.016156,300,300,low_variance
cuad,deepseek,ppipp,50,513.0,0.291631,0.01671,-0.035802,0.01671,300,300,low_variance
cuad,deepseek,ppipp,50,715.0,0.270199,0.015566,-0.017768,0.015566,300,300,low_variance
cuad,deepseek,ppipp,50,997.0,0.295861,0.017069,0.011531,0.017069,300,300,low_variance
