dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
cuad,gpt54,llm_only,50,,0.040816,0.0,-0.040816,0.0,300,300,prevalence
cuad,gpt54,expert_only,50,70.0,0.148218,0.008557,-0.000423,0.008557,300,300,prevalence
cuad,gpt54,expert_only,50,97.0,0.135516,0.007768,-0.016158,0.007768,300,300,prevalence
cuad,gpt54,expert_only,50,136.0,0.137029,0.007906,0.005274,0.007906,300,300,prevalence
cuad,gpt54,expert_only,50,189.0,0.130273,0.007521,0.000798,0.007521,300,300,prevalence
cuad,gpt54,expert_only,50,264.0,0.137388,0.007906,-0.011139,0.007906,300,300,prevalence
cuad,gpt54,expert_only,50,368.0,0.130399,0.007528,-0.000965,0.007528,300,300,prevalence
cuad,gpt54,expert_only,50,513.0,0.147439,0.0085,-0.008019,0.0085,300,300,prevalence
cuad,gpt54,expert_only,50,715.0,0.144685,0.008325,-0.011953,0.008325,300,300,prevalence
cuad,gpt54,expert_only,50,997.0,0.140067,0.008066,-0.009918,0.008066,300,300,prevalence
cuad,gpt54,dsl,50,70.0,0.129659,0.007486,-0.000544,0.007486,300,300,prevalence
cuad,gpt54,dsl,50,97.0,0.106765,0.006147,-0.007995,0.006147,300,300,prevalence
cuad,gpt54,dsl,50,136.0,0.096011,0.005542,-0.001857,0.005542,300,300,prevalence
cuad,gpt54,dsl,50,189.0,0.088476,0.0051,0.00515,0.0051,300,300,prevalence
cuad,gpt54,dsl,50,264.0,0.079014,0.004552,-0.005225,0.004552,300,300,prevalence
cuad,gpt54,dsl,50,368.0,0.072802,0.004203,-0.000648,0.004203,300,300,prevalence
cuad,gpt54,dsl,50,513.0,0.070703,0.004082,0.000467,0.004082,300,300,prevalence
cuad,gpt54,dsl,50,715.0,0.062017,0.003579,0.001977,0.003579,300,300,prevalence
cuad,gpt54,dsl,50,997.0,0.062811,0.003626,-0.000784,0.003626,300,300,prevalence
cuad,gpt54,ppi,50,70.0,0.130395,0.007528,-0.001074,0.007528,300,300,prevalence
cuad,gpt54,ppi,50,97.0,0.107672,0.006192,-0.009624,0.006192,300,300,prevalence
cuad,gpt54,ppi,50,136.0,0.097818,0.005645,-0.002925,0.005645,300,300,prevalence
cuad,gpt54,ppi,50,189.0,0.089041,0.005136,0.003655,0.005136,300,300,prevalence
cuad,gpt54,ppi,50,264.0,0.0797,0.004584,-0.006989,0.004584,300,300,prevalence
cuad,gpt54,ppi,50,368.0,0.073901,0.004264,-0.002697,0.004264,300,300,prevalence
cuad,gpt54,ppi,50,513.0,0.071873,0.004147,-0.002477,0.004147,300,300,prevalence
cuad,gpt54,ppi,50,715.0,0.063598,0.003671,-0.001364,0.003671,300,300,prevalence
cuad,gpt54,ppi,50,997.0,0.063044,0.003634,-0.003431,0.003634,300,300,prevalence
cuad,gpt54,ppipp,50,70.0,0.134967,0.007792,-0.000582,0.007792,300,300,prevalence
cuad,gpt54,ppipp,50,97.0,0.113517,0.006515,-0.012408,0.006515,300,300,prevalence
cuad,gpt54,ppipp,50,136.0,0.106365,0.00614,0.001469,0.00614,300,300,prevalence
cuad,gpt54,ppipp,50,189.0,0.09818,0.005666,0.002748,0.005666,300,300,prevalence
cuad,gpt54,ppipp,50,264.0,0.097228,0.005593,-0.008249,0.005593,300,300,prevalence
cuad,gpt54,ppipp,50,368.0,0.090044,0.005198,-0.001108,0.005198,300,300,prevalence
cuad,gpt54,ppipp,50,513.0,0.095718,0.005521,-0.004127,0.005521,300,300,prevalence
cuad,gpt54,ppipp,50,715.0,0.091227,0.005257,-0.005533,0.005257,300,300,prevalence
cuad,gpt54,ppipp,50,997.0,0.087305,0.005029,-0.005838,0.005029,300,300,prevalence
