dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
cuad,llama,llm_only,200,,0.070434,0.0,0.070434,0.0,300,300,low_variance
cuad,llama,expert_only,200,239.0,0.211543,0.012152,0.021235,0.012152,300,300,low_variance
cuad,llama,expert_only,200,286.0,0.205956,0.011865,0.013614,0.011865,300,300,low_variance
cuad,llama,expert_only,200,342.0,0.247162,0.014223,0.020094,0.014223,300,300,low_variance
cuad,llama,expert_only,200,408.0,0.220268,0.012702,0.010771,0.012702,300,300,low_variance
cuad,llama,expert_only,200,488.0,0.23527,0.013459,0.03172,0.013459,300,300,low_variance
cuad,llama,expert_only,200,584.0,0.221231,0.01277,0.004216,0.01277,300,300,low_variance
cuad,llama,expert_only,200,698.0,0.231198,0.013247,0.028484,0.013247,300,300,low_variance
cuad,llama,expert_only,200,834.0,0.230642,0.013215,0.028332,0.013215,300,300,low_variance
cuad,llama,expert_only,200,997.0,0.254192,0.014521,0.03687,0.014521,300,300,low_variance
cuad,llama,dsl,200,239.0,0.204402,0.008653,-0.138998,0.008653,300,300,low_variance
cuad,llama,dsl,200,286.0,0.187579,0.00798,-0.12681,0.00798,300,300,low_variance
cuad,llama,dsl,200,342.0,0.196861,0.008274,-0.134961,0.008274,300,300,low_variance
cuad,llama,dsl,200,408.0,0.182019,0.00712,-0.133882,0.00712,300,300,low_variance
cuad,llama,dsl,200,488.0,0.174462,0.006828,-0.128258,0.006828,300,300,low_variance
cuad,llama,dsl,200,584.0,0.182837,0.005823,-0.152498,0.005823,300,300,low_variance
cuad,llama,dsl,200,698.0,0.156978,0.005374,-0.126406,0.005374,300,300,low_variance
cuad,llama,dsl,200,834.0,0.16698,0.005974,-0.131063,0.005974,300,300,low_variance
cuad,llama,dsl,200,997.0,0.158317,0.005142,-0.130894,0.005142,300,300,low_variance
cuad,llama,ppi,200,239.0,0.586681,0.033847,-0.02272,0.033847,300,300,low_variance
cuad,llama,ppi,200,286.0,0.405138,0.023256,0.04338,0.023256,300,300,low_variance
cuad,llama,ppi,200,342.0,0.316088,0.018189,-0.025664,0.018189,300,300,low_variance
cuad,llama,ppi,200,408.0,0.248204,0.01425,-0.02617,0.01425,300,300,low_variance
cuad,llama,ppi,200,488.0,0.23131,0.013212,-0.03376,0.013212,300,300,low_variance
cuad,llama,ppi,200,584.0,0.192138,0.010367,-0.068359,0.010367,300,300,low_variance
cuad,llama,ppi,200,698.0,0.169435,0.009635,-0.029287,0.009635,300,300,low_variance
cuad,llama,ppi,200,834.0,0.163484,0.009095,-0.043699,0.009095,300,300,low_variance
cuad,llama,ppi,200,997.0,0.137784,0.007529,-0.044464,0.007529,300,300,low_variance
cuad,llama,ppipp,200,239.0,0.187383,0.010494,-0.045581,0.010494,300,300,low_variance
cuad,llama,ppipp,200,286.0,0.173465,0.009698,-0.043315,0.009698,300,300,low_variance
cuad,llama,ppipp,200,342.0,0.19328,0.010845,-0.045541,0.010845,300,300,low_variance
cuad,llama,ppipp,200,408.0,0.170516,0.009404,-0.050444,0.009404,300,300,low_variance
cuad,llama,ppipp,200,488.0,0.16698,0.0094,-0.037052,0.0094,300,300,low_variance
cuad,llama,ppipp,200,584.0,0.158033,0.008288,-0.066073,0.008288,300,300,low_variance
cuad,llama,ppipp,200,698.0,0.146504,0.008151,-0.039146,0.008151,300,300,low_variance
cuad,llama,ppipp,200,834.0,0.156992,0.008737,-0.041802,0.008737,300,300,low_variance
cuad,llama,ppipp,200,997.0,0.154596,0.008655,-0.037776,0.008655,300,300,low_variance
