dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
cuad,llama,llm_only,50,,4.949331,0.0,2.06553,0.0,300,300,full_logistic
cuad,llama,expert_only,50,70.0,55.363639,2.537892,7.493108,1.248923,300,300,full_logistic
cuad,llama,expert_only,50,97.0,47.665702,2.039628,4.791139,1.097367,300,300,full_logistic
cuad,llama,expert_only,50,136.0,59.669744,2.66555,7.575027,1.344745,300,300,full_logistic
cuad,llama,expert_only,50,189.0,54.28338,2.44622,5.944402,1.235409,300,300,full_logistic
cuad,llama,expert_only,50,264.0,54.39784,2.386902,8.130302,1.199255,300,300,full_logistic
cuad,llama,expert_only,50,368.0,57.546421,2.576356,8.799515,1.294087,300,300,full_logistic
cuad,llama,expert_only,50,513.0,62.110777,2.824431,7.547602,1.412485,300,300,full_logistic
cuad,llama,expert_only,50,715.0,60.60534,2.891891,6.652524,1.386756,300,300,full_logistic
cuad,llama,expert_only,50,997.0,51.932129,2.377977,5.10919,1.199161,300,300,full_logistic
cuad,llama,dsl,50,70.0,30.775912,1.346045,3.741274,0.684327,300,300,full_logistic
cuad,llama,dsl,50,97.0,24.765944,1.066742,2.799297,0.552905,300,300,full_logistic
cuad,llama,dsl,50,136.0,21.453887,0.934246,2.210601,0.479935,300,300,full_logistic
cuad,llama,dsl,50,189.0,17.714071,0.755547,1.563395,0.399628,300,300,full_logistic
cuad,llama,dsl,50,264.0,14.641304,0.561848,0.879642,0.335479,300,300,full_logistic
cuad,llama,dsl,50,368.0,13.955268,0.568498,0.613439,0.323206,300,300,full_logistic
cuad,llama,dsl,50,513.0,14.079475,0.585754,0.182236,0.330501,300,300,full_logistic
cuad,llama,dsl,50,715.0,15.329496,0.668631,-0.774336,0.362606,300,300,full_logistic
cuad,llama,dsl,50,997.0,11.636776,0.503614,-0.17794,0.274057,300,300,full_logistic
cuad,llama,ppi,50,70.0,105.164737,4.60134,3.781836,2.466186,300,300,full_logistic
cuad,llama,ppi,50,97.0,61.422997,2.672255,4.66619,1.427,300,300,full_logistic
cuad,llama,ppi,50,136.0,37.421972,1.724655,0.85298,0.883135,300,300,full_logistic
cuad,llama,ppi,50,189.0,35.659278,1.702316,0.410988,0.84136,300,300,full_logistic
cuad,llama,ppi,50,264.0,26.304724,1.220012,-0.631777,0.620298,300,300,full_logistic
cuad,llama,ppi,50,368.0,28.986467,1.461994,-0.516417,0.683461,300,300,full_logistic
cuad,llama,ppi,50,513.0,29.595333,1.516685,-1.321274,0.696753,300,300,full_logistic
cuad,llama,ppi,50,715.0,31.543462,1.60563,-2.484445,0.738039,300,300,full_logistic
cuad,llama,ppi,50,997.0,19.563616,0.971263,-0.572943,0.462993,300,300,full_logistic
cuad,llama,ppipp,50,70.0,30.274204,1.296352,3.789599,0.677201,300,300,full_logistic
cuad,llama,ppipp,50,97.0,24.487752,1.012364,2.592464,0.554091,300,300,full_logistic
cuad,llama,ppipp,50,136.0,26.719525,1.14104,3.636458,0.587837,300,300,full_logistic
cuad,llama,ppipp,50,189.0,22.747924,0.975024,2.721523,0.508086,300,300,full_logistic
cuad,llama,ppipp,50,264.0,21.281164,0.851662,2.98992,0.465885,300,300,full_logistic
cuad,llama,ppipp,50,368.0,22.248602,0.935334,2.803702,0.498882,300,300,full_logistic
cuad,llama,ppipp,50,513.0,23.709344,1.037956,2.639752,0.533757,300,300,full_logistic
cuad,llama,ppipp,50,715.0,21.072379,0.921412,1.754309,0.481684,300,300,full_logistic
cuad,llama,ppipp,50,997.0,18.542923,0.822809,1.408528,0.428644,300,300,full_logistic
