dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
fomc,mistral,llm_only,50,,9.875182,0.0,4.696006,0.0,300,300,full_logistic
fomc,mistral,expert_only,50,70.0,7.24147,0.210414,0.846703,0.167728,300,300,full_logistic
fomc,mistral,expert_only,50,97.0,7.610078,0.221152,1.040623,0.18037,300,300,full_logistic
fomc,mistral,expert_only,50,136.0,7.132757,0.188398,0.651208,0.171232,300,300,full_logistic
fomc,mistral,expert_only,50,189.0,7.345826,0.209025,0.522406,0.172167,300,300,full_logistic
fomc,mistral,expert_only,50,264.0,8.462046,0.294406,0.404917,0.212701,300,300,full_logistic
fomc,mistral,expert_only,50,368.0,7.021199,0.20054,0.348477,0.169954,300,300,full_logistic
fomc,mistral,expert_only,50,513.0,7.732804,0.232036,0.798342,0.188225,300,300,full_logistic
fomc,mistral,expert_only,50,715.0,6.841242,0.192933,0.340936,0.150095,300,300,full_logistic
fomc,mistral,expert_only,50,997.0,7.241189,0.202156,0.781755,0.164925,300,300,full_logistic
fomc,mistral,dsl,50,70.0,5.304116,0.135184,0.313523,0.119375,300,300,full_logistic
fomc,mistral,dsl,50,97.0,5.390346,0.132242,0.516255,0.129652,300,300,full_logistic
fomc,mistral,dsl,50,136.0,5.337594,0.128259,0.196966,0.126919,300,300,full_logistic
fomc,mistral,dsl,50,189.0,5.301373,0.135997,0.176634,0.127336,300,300,full_logistic
fomc,mistral,dsl,50,264.0,5.302893,0.137684,-0.018674,0.125113,300,300,full_logistic
fomc,mistral,dsl,50,368.0,4.692609,0.115056,0.039971,0.11321,300,300,full_logistic
fomc,mistral,dsl,50,513.0,5.189986,0.12933,0.167933,0.121569,300,300,full_logistic
fomc,mistral,dsl,50,715.0,5.105611,0.123945,0.080097,0.120591,300,300,full_logistic
fomc,mistral,dsl,50,997.0,4.9714,0.12155,0.308262,0.113439,300,300,full_logistic
fomc,mistral,ppi,50,70.0,58.571424,2.624728,-5.967007,1.240175,300,300,full_logistic
fomc,mistral,ppi,50,97.0,21.163873,0.862986,-0.111591,0.474534,300,300,full_logistic
fomc,mistral,ppi,50,136.0,14.200858,0.553267,-0.648628,0.363263,300,300,full_logistic
fomc,mistral,ppi,50,189.0,14.675402,0.662655,-0.419246,0.326029,300,300,full_logistic
fomc,mistral,ppi,50,264.0,10.297411,0.388855,-0.333964,0.235263,300,300,full_logistic
fomc,mistral,ppi,50,368.0,8.510998,0.287161,-0.19278,0.203158,300,300,full_logistic
fomc,mistral,ppi,50,513.0,9.097411,0.335917,0.208568,0.216683,300,300,full_logistic
fomc,mistral,ppi,50,715.0,9.67063,0.380565,-0.110384,0.227216,300,300,full_logistic
fomc,mistral,ppi,50,997.0,7.78491,0.248825,0.432754,0.168423,300,300,full_logistic
fomc,mistral,ppipp,50,70.0,5.876814,0.15856,0.508143,0.131599,300,300,full_logistic
fomc,mistral,ppipp,50,97.0,6.067219,0.159632,0.690601,0.145399,300,300,full_logistic
fomc,mistral,ppipp,50,136.0,5.719371,0.135997,0.331953,0.135641,300,300,full_logistic
fomc,mistral,ppipp,50,189.0,5.924038,0.15832,0.292184,0.138975,300,300,full_logistic
fomc,mistral,ppipp,50,264.0,6.184992,0.177021,0.190554,0.150309,300,300,full_logistic
fomc,mistral,ppipp,50,368.0,5.448326,0.137902,0.192084,0.131609,300,300,full_logistic
fomc,mistral,ppipp,50,513.0,6.032782,0.16874,0.462472,0.144509,300,300,full_logistic
fomc,mistral,ppipp,50,715.0,5.3902,0.133724,0.153709,0.121353,300,300,full_logistic
fomc,mistral,ppipp,50,997.0,5.649673,0.147029,0.518777,0.129313,300,300,full_logistic
