dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,claude,llm_only,50,,4.63187,0.0,-2.369633,0.0,300,300,full_logistic
misogynistic,claude,expert_only,50,70.0,23.927121,0.965966,2.036948,0.543184,300,300,full_logistic
misogynistic,claude,expert_only,50,97.0,22.316311,0.892721,1.563287,0.511409,300,300,full_logistic
misogynistic,claude,expert_only,50,136.0,21.281036,0.788732,1.281368,0.492128,300,300,full_logistic
misogynistic,claude,expert_only,50,189.0,23.978081,0.95101,1.645694,0.545083,300,300,full_logistic
misogynistic,claude,expert_only,50,264.0,19.352881,0.712407,1.053603,0.44785,300,300,full_logistic
misogynistic,claude,expert_only,50,368.0,25.074986,0.996425,2.537313,0.581766,300,300,full_logistic
misogynistic,claude,expert_only,50,513.0,23.813365,0.940537,1.854162,0.544084,300,300,full_logistic
misogynistic,claude,expert_only,50,715.0,21.284413,0.812014,1.65546,0.484842,300,300,full_logistic
misogynistic,claude,expert_only,50,997.0,21.316093,0.83587,1.725297,0.485743,300,300,full_logistic
misogynistic,claude,dsl,50,70.0,7.73401,0.302288,1.345119,0.153836,300,299,full_logistic
misogynistic,claude,dsl,50,97.0,6.789643,0.254206,1.09848,0.137906,300,300,full_logistic
misogynistic,claude,dsl,50,136.0,5.588942,0.180883,0.866544,0.108829,300,300,full_logistic
misogynistic,claude,dsl,50,189.0,5.38535,0.182405,0.702971,0.10884,300,300,full_logistic
misogynistic,claude,dsl,50,264.0,5.282896,0.172731,0.851177,0.099853,300,300,full_logistic
misogynistic,claude,dsl,50,368.0,4.697785,0.159695,0.608128,0.085269,300,300,full_logistic
misogynistic,claude,dsl,50,513.0,4.769055,0.150869,0.693421,0.08574,300,300,full_logistic
misogynistic,claude,dsl,50,715.0,4.753782,0.16589,0.592642,0.08858,300,300,full_logistic
misogynistic,claude,dsl,50,997.0,5.122342,0.188832,0.633184,0.087083,300,300,full_logistic
misogynistic,claude,ppi,50,70.0,61.451777,3.01963,7.612542,1.255446,300,300,full_logistic
misogynistic,claude,ppi,50,97.0,74.419224,3.793487,10.244534,1.48399,300,300,full_logistic
misogynistic,claude,ppi,50,136.0,70.726964,3.656611,9.437653,1.429811,300,300,full_logistic
misogynistic,claude,ppi,50,189.0,54.409839,2.873513,5.309308,1.151894,300,300,full_logistic
misogynistic,claude,ppi,50,264.0,59.832348,3.173221,6.785786,1.26987,300,300,full_logistic
misogynistic,claude,ppi,50,368.0,51.782451,2.746746,5.430299,1.092972,300,300,full_logistic
misogynistic,claude,ppi,50,513.0,52.184565,2.795608,5.144362,1.093899,300,300,full_logistic
misogynistic,claude,ppi,50,715.0,47.839274,2.559583,4.541785,1.015326,300,300,full_logistic
misogynistic,claude,ppi,50,997.0,65.567274,3.516057,7.12327,1.381685,300,300,full_logistic
misogynistic,claude,ppipp,50,70.0,7.359818,0.233145,1.09929,0.152494,300,300,full_logistic
misogynistic,claude,ppipp,50,97.0,7.199977,0.223746,0.948906,0.152614,300,300,full_logistic
misogynistic,claude,ppipp,50,136.0,6.868826,0.214859,0.790387,0.153374,300,300,full_logistic
misogynistic,claude,ppipp,50,189.0,7.365018,0.231315,0.802535,0.15939,300,300,full_logistic
misogynistic,claude,ppipp,50,264.0,6.573635,0.202728,0.756615,0.146872,300,300,full_logistic
misogynistic,claude,ppipp,50,368.0,7.394519,0.251559,1.01821,0.161649,300,300,full_logistic
misogynistic,claude,ppipp,50,513.0,7.104856,0.227684,0.898899,0.155205,300,300,full_logistic
misogynistic,claude,ppipp,50,715.0,6.718754,0.214709,0.812501,0.147581,300,300,full_logistic
misogynistic,claude,ppipp,50,997.0,6.783754,0.223213,0.917662,0.145475,300,300,full_logistic
