dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,200,,9.586076,0.0,-4.173798,0.0,300,300,full_logistic
misogynistic,deepseek,expert_only,200,239.0,6.590149,0.224135,0.45945,0.150478,300,300,full_logistic
misogynistic,deepseek,expert_only,200,286.0,6.660308,0.229554,0.508671,0.154442,300,300,full_logistic
misogynistic,deepseek,expert_only,200,342.0,6.922915,0.247485,0.608425,0.156409,300,300,full_logistic
misogynistic,deepseek,expert_only,200,408.0,5.930458,0.207717,0.648755,0.134354,300,300,full_logistic
misogynistic,deepseek,expert_only,200,488.0,7.49951,0.261546,0.606463,0.170662,300,300,full_logistic
misogynistic,deepseek,expert_only,200,584.0,7.745323,0.287388,0.457372,0.176276,300,300,full_logistic
misogynistic,deepseek,expert_only,200,698.0,7.113522,0.243972,0.753563,0.163382,300,300,full_logistic
misogynistic,deepseek,expert_only,200,834.0,6.429227,0.218828,0.122324,0.148925,300,300,full_logistic
misogynistic,deepseek,expert_only,200,997.0,6.570956,0.220133,0.489493,0.151343,300,300,full_logistic
misogynistic,deepseek,dsl,200,239.0,3.883146,0.10417,0.822344,0.054625,300,300,full_logistic
misogynistic,deepseek,dsl,200,286.0,3.599896,0.091505,0.676995,0.049448,300,300,full_logistic
misogynistic,deepseek,dsl,200,342.0,3.805167,0.107862,0.70561,0.051891,300,300,full_logistic
misogynistic,deepseek,dsl,200,408.0,3.781389,0.107633,0.684085,0.053729,300,300,full_logistic
misogynistic,deepseek,dsl,200,488.0,3.952894,0.112906,0.751779,0.053569,300,300,full_logistic
misogynistic,deepseek,dsl,200,584.0,3.70159,0.109769,0.636594,0.050456,300,300,full_logistic
misogynistic,deepseek,dsl,200,698.0,3.777494,0.112357,0.647624,0.052082,300,300,full_logistic
misogynistic,deepseek,dsl,200,834.0,3.842169,0.112617,0.671377,0.051184,300,300,full_logistic
misogynistic,deepseek,dsl,200,997.0,3.887736,0.121816,0.654457,0.052027,300,300,full_logistic
misogynistic,deepseek,ppi,200,239.0,33.207856,1.385259,7.812049,0.610837,300,300,full_logistic
misogynistic,deepseek,ppi,200,286.0,27.797794,1.207713,6.082522,0.530445,300,300,full_logistic
misogynistic,deepseek,ppi,200,342.0,20.770936,0.924295,3.823248,0.418559,300,300,full_logistic
misogynistic,deepseek,ppi,200,408.0,22.277602,1.044223,3.874373,0.45453,300,300,full_logistic
misogynistic,deepseek,ppi,200,488.0,20.888032,0.971611,3.718456,0.422066,300,300,full_logistic
misogynistic,deepseek,ppi,200,584.0,21.963965,1.068546,3.528085,0.456916,300,300,full_logistic
misogynistic,deepseek,ppi,200,698.0,18.180242,0.859121,2.715623,0.379163,300,300,full_logistic
misogynistic,deepseek,ppi,200,834.0,17.598004,0.817637,2.944933,0.357665,300,300,full_logistic
misogynistic,deepseek,ppi,200,997.0,20.398289,0.975282,3.313819,0.416358,300,300,full_logistic
misogynistic,deepseek,ppipp,200,239.0,4.030062,0.122072,0.640974,0.077484,300,300,full_logistic
misogynistic,deepseek,ppipp,200,286.0,4.091685,0.122527,0.621744,0.079549,300,300,full_logistic
misogynistic,deepseek,ppipp,200,342.0,4.117137,0.12288,0.606094,0.077633,300,300,full_logistic
misogynistic,deepseek,ppipp,200,408.0,3.876298,0.119504,0.64201,0.072143,300,300,full_logistic
misogynistic,deepseek,ppipp,200,488.0,4.354232,0.132084,0.597814,0.086085,300,300,full_logistic
misogynistic,deepseek,ppipp,200,584.0,4.188702,0.137103,0.501243,0.083139,300,300,full_logistic
misogynistic,deepseek,ppipp,200,698.0,4.225246,0.133831,0.691033,0.081301,300,300,full_logistic
misogynistic,deepseek,ppipp,200,834.0,3.713927,0.111959,0.383214,0.077622,300,300,full_logistic
misogynistic,deepseek,ppipp,200,997.0,3.944884,0.115973,0.56148,0.077235,300,300,full_logistic
