dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,50,,0.040245,0.0,0.040245,0.0,300,300,low_variance
misogynistic,deepseek,expert_only,50,70.0,6.203339,0.334517,2.216067,0.334517,300,300,low_variance
misogynistic,deepseek,expert_only,50,97.0,6.342732,0.342105,2.262634,0.342105,300,300,low_variance
misogynistic,deepseek,expert_only,50,136.0,6.636207,0.366928,1.910061,0.366928,300,300,low_variance
misogynistic,deepseek,expert_only,50,189.0,6.798635,0.371028,2.218778,0.371028,300,300,low_variance
misogynistic,deepseek,expert_only,50,264.0,6.197168,0.341385,1.855221,0.341385,300,300,low_variance
misogynistic,deepseek,expert_only,50,368.0,5.682169,0.300937,2.262313,0.300937,300,300,low_variance
misogynistic,deepseek,expert_only,50,513.0,6.192155,0.343598,1.710234,0.343598,300,300,low_variance
misogynistic,deepseek,expert_only,50,715.0,6.533398,0.351242,2.382004,0.351242,300,300,low_variance
misogynistic,deepseek,expert_only,50,997.0,5.978698,0.32035,2.226567,0.32035,300,300,low_variance
misogynistic,deepseek,dsl,50,70.0,3.661274,0.203625,0.982845,0.203625,300,300,low_variance
misogynistic,deepseek,dsl,50,97.0,3.492319,0.196652,0.771133,0.196652,300,300,low_variance
misogynistic,deepseek,dsl,50,136.0,2.541193,0.145363,0.344328,0.145363,300,300,low_variance
misogynistic,deepseek,dsl,50,189.0,2.703847,0.154424,0.395969,0.154424,300,300,low_variance
misogynistic,deepseek,dsl,50,264.0,2.402823,0.13719,0.356728,0.13719,300,300,low_variance
misogynistic,deepseek,dsl,50,368.0,2.031759,0.117264,0.052608,0.117264,300,300,low_variance
misogynistic,deepseek,dsl,50,513.0,2.078984,0.120028,0.012273,0.120028,300,300,low_variance
misogynistic,deepseek,dsl,50,715.0,1.921205,0.110471,0.172942,0.110471,300,300,low_variance
misogynistic,deepseek,dsl,50,997.0,1.929748,0.111409,0.01861,0.111409,300,300,low_variance
misogynistic,deepseek,ppi,50,70.0,17.699359,0.996996,3.881602,0.996996,300,300,low_variance
misogynistic,deepseek,ppi,50,97.0,11.772152,0.660778,2.755953,0.660778,300,300,low_variance
misogynistic,deepseek,ppi,50,136.0,8.571472,0.483887,1.796165,0.483887,300,300,low_variance
misogynistic,deepseek,ppi,50,189.0,9.207962,0.519708,1.938481,0.519708,300,300,low_variance
misogynistic,deepseek,ppi,50,264.0,5.757271,0.322322,1.406637,0.322322,300,300,low_variance
misogynistic,deepseek,ppi,50,368.0,4.71694,0.268768,0.760707,0.268768,300,300,low_variance
misogynistic,deepseek,ppi,50,513.0,4.762709,0.273239,0.534414,0.273239,300,300,low_variance
misogynistic,deepseek,ppi,50,715.0,4.248785,0.243011,0.579506,0.243011,300,300,low_variance
misogynistic,deepseek,ppi,50,997.0,5.044531,0.289523,0.548005,0.289523,300,300,low_variance
misogynistic,deepseek,ppipp,50,70.0,4.330637,0.236522,1.404126,0.236522,300,300,low_variance
misogynistic,deepseek,ppipp,50,97.0,4.162641,0.228307,1.300154,0.228307,300,300,low_variance
misogynistic,deepseek,ppipp,50,136.0,3.783496,0.210795,0.992227,0.210795,300,300,low_variance
misogynistic,deepseek,ppipp,50,189.0,3.97111,0.218642,1.19514,0.218642,300,300,low_variance
misogynistic,deepseek,ppipp,50,264.0,3.461235,0.192326,0.939882,0.192326,300,300,low_variance
misogynistic,deepseek,ppipp,50,368.0,3.204035,0.175346,1.020754,0.175346,300,300,low_variance
misogynistic,deepseek,ppipp,50,513.0,3.491121,0.19466,0.905613,0.19466,300,300,low_variance
misogynistic,deepseek,ppipp,50,715.0,3.687183,0.199853,1.270044,0.199853,300,300,low_variance
misogynistic,deepseek,ppipp,50,997.0,3.329864,0.181172,1.113992,0.181172,300,300,low_variance
