dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,gpt54,llm_only,200,,3.375913,0.0,-1.97141,0.0,300,300,full_logistic
misogynistic,gpt54,expert_only,200,239.0,6.590149,0.224135,0.45945,0.150478,300,300,full_logistic
misogynistic,gpt54,expert_only,200,286.0,6.660308,0.229554,0.508671,0.154442,300,300,full_logistic
misogynistic,gpt54,expert_only,200,342.0,6.922915,0.247485,0.608425,0.156409,300,300,full_logistic
misogynistic,gpt54,expert_only,200,408.0,5.930458,0.207717,0.648755,0.134354,300,300,full_logistic
misogynistic,gpt54,expert_only,200,488.0,7.49951,0.261546,0.606463,0.170662,300,300,full_logistic
misogynistic,gpt54,expert_only,200,584.0,7.745323,0.287388,0.457372,0.176276,300,300,full_logistic
misogynistic,gpt54,expert_only,200,698.0,7.113522,0.243972,0.753563,0.163382,300,300,full_logistic
misogynistic,gpt54,expert_only,200,834.0,6.429227,0.218828,0.122324,0.148925,300,300,full_logistic
misogynistic,gpt54,expert_only,200,997.0,6.570956,0.220133,0.489493,0.151343,300,300,full_logistic
misogynistic,gpt54,dsl,200,239.0,3.924762,0.10567,0.846058,0.054865,300,300,full_logistic
misogynistic,gpt54,dsl,200,286.0,3.597919,0.089526,0.701208,0.047922,300,300,full_logistic
misogynistic,gpt54,dsl,200,342.0,3.803074,0.106887,0.730616,0.050601,300,300,full_logistic
misogynistic,gpt54,dsl,200,408.0,3.763188,0.103402,0.725041,0.048232,300,300,full_logistic
misogynistic,gpt54,dsl,200,488.0,3.852074,0.106171,0.75063,0.050223,300,300,full_logistic
misogynistic,gpt54,dsl,200,584.0,3.630715,0.100523,0.674589,0.046655,300,300,full_logistic
misogynistic,gpt54,dsl,200,698.0,3.83979,0.108221,0.732385,0.049093,300,300,full_logistic
misogynistic,gpt54,dsl,200,834.0,3.602218,0.101287,0.62054,0.04536,300,300,full_logistic
misogynistic,gpt54,dsl,200,997.0,3.717116,0.11162,0.656279,0.047519,300,300,full_logistic
misogynistic,gpt54,ppi,200,239.0,45.092894,1.906814,10.161987,0.825373,300,300,full_logistic
misogynistic,gpt54,ppi,200,286.0,34.150436,1.505072,6.949115,0.662436,300,300,full_logistic
misogynistic,gpt54,ppi,200,342.0,26.756597,1.229219,4.779052,0.540128,300,300,full_logistic
misogynistic,gpt54,ppi,200,408.0,26.692933,1.258944,4.380166,0.547921,300,300,full_logistic
misogynistic,gpt54,ppi,200,488.0,24.332522,1.150044,4.094593,0.494068,300,300,full_logistic
misogynistic,gpt54,ppi,200,584.0,22.77674,1.092568,3.622562,0.478989,300,300,full_logistic
misogynistic,gpt54,ppi,200,698.0,22.082131,1.043226,3.482235,0.460333,300,300,full_logistic
misogynistic,gpt54,ppi,200,834.0,17.979217,0.824935,2.836504,0.368687,300,300,full_logistic
misogynistic,gpt54,ppi,200,997.0,23.040558,1.116267,3.55392,0.479372,300,300,full_logistic
misogynistic,gpt54,ppipp,200,239.0,4.066101,0.122318,0.657664,0.077784,300,300,full_logistic
misogynistic,gpt54,ppipp,200,286.0,4.137831,0.124405,0.638805,0.080367,300,300,full_logistic
misogynistic,gpt54,ppipp,200,342.0,4.221395,0.126051,0.658279,0.07792,300,300,full_logistic
misogynistic,gpt54,ppipp,200,408.0,3.968242,0.121323,0.693663,0.072678,300,300,full_logistic
misogynistic,gpt54,ppipp,200,488.0,4.417414,0.133044,0.63934,0.086098,300,300,full_logistic
misogynistic,gpt54,ppipp,200,584.0,4.256487,0.137787,0.540927,0.083433,300,300,full_logistic
misogynistic,gpt54,ppipp,200,698.0,4.29823,0.134284,0.746647,0.080802,300,300,full_logistic
misogynistic,gpt54,ppipp,200,834.0,3.804856,0.114331,0.438581,0.077821,300,300,full_logistic
misogynistic,gpt54,ppipp,200,997.0,4.066786,0.118566,0.61375,0.078375,300,300,full_logistic
